,29086,31633,31906,31907,31908,31909,31910,31911,31912,31913,31914,31915,31916,31917,31918,31919,31920
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
倒车视频影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全景摄像头,○,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
定速巡航,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应巡航,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节,软硬+高低调节
空气悬架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,●,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
无钥匙进入系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮
运动风格座椅,○,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,12.3英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,○,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX+SD卡插槽,USB+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽
CD/DVD,多碟CD,单碟DVD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD,多碟CD
扬声器品牌,Naim,-,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim,Naim
扬声器数量,10-11喇叭,10-11喇叭(选装≥12喇叭),10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭,10-11喇叭
近光灯,氙气,LED,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气
远光灯,氙气,LED,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,○,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,○,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
转向头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前雾灯,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,○,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车型名称,欧陆 2017款 4.0T GT V8 标准版,欧陆 2018款 6.0T GT W12,欧陆 2016款 4.0T GT V8 标准版,欧陆 2016款 4.0T GT V8 敞篷版,欧陆 2016款 4.0T GT V8 S 标准版,欧陆 2016款 4.0T GT V8 S 敞篷版,欧陆 2016款 6.0T GT W12 标准版,欧陆 2016款 6.0T GT W12 敞篷版,欧陆 2016款 6.0T GT W12 极致版,欧陆 2016款 6.0T GT W12 敞篷极致版,欧陆 2017款 4.0T GT V8 敞篷版,欧陆 2017款 4.0T GT V8 S 标准版,欧陆 2017款 4.0T GT V8 S 敞篷版,欧陆 2017款 6.0T GT W12 标准版,欧陆 2017款 6.0T GT W12 敞篷版,欧陆 2017款 6.0T GT W12 极致版,欧陆 2017款 6.0T GT W12 敞篷极致版
厂商指导价(元),288.00万,321.80万,288.00万,317.80万,304.00万,334.80万,369.80万,406.80万,418.80万,459.80万,317.80万,304.00万,334.80万,369.80万,406.80万,418.80万,459.80万
厂商,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利,宾利
级别,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,-,2018.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,373,467,373,373,388,388,434,434,467,467,373,388,388,434,434,472,472
最大扭矩(N·m)_x,660,900,660,660,680,680,720,720,820,820,660,680,680,720,720,840,840
发动机,4.0T 507马力 V8,6.0T 635马力 W12,4.0T 507马力 V8,4.0T 507马力 V8,4.0T 528马力 V8,4.0T 528马力 V8,6.0T 590马力 W12,6.0T 590马力 W12,6.0T 635马力 W12,6.0T 635马力 W12,4.0T 507马力 V8,4.0T 528马力 V8,4.0T 528马力 V8,6.0T 590马力 W12,6.0T 590马力 W12,6.0T 642马力 W12,6.0T 642马力 W12
变速箱,8挡手自一体,8挡双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4818*1947*1401,4805*1954*1405,4818*1947*1401,4818*1947*1400,4818*1947*1391,4818*1947*1390,4818*1947*1401,4818*1947*1400,4818*1947*1391,4818*1947*1390,4818*1947*1400,4818*1947*1391,4818*1947*1390,4818*1947*1401,4818*1947*1400,4818*1947*1391,4818*1947*1390
车身结构_x,2门4座硬顶跑车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车
最高车速(km/h),305,-,305,301,309,308,319,315,331,327,301,309,308,319,315,332,328
官方0-100km/h加速(s),4.8,-,4.8,5,4.5,4.7,4.5,4.7,4.2,4.4,5,4.5,4.7,4.5,4.7,4.1,4.3
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),10.6,-,10.6,10.9,10.7,11.1,14.2,14.3,14.6,14.9,10.9,10.7,11.1,14.2,14.3,14.6,14.9
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),4818,4805,4818,4818,4818,4818,4818,4818,4818,4818,4818,4818,4818,4818,4818,4818,4818
宽度(mm),1947,1954,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947
高度(mm),1401,1405,1401,1400,1391,1390,1401,1400,1391,1390,1400,1391,1390,1401,1400,1391,1390
轴距(mm),2746,2851,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746
前轮距(mm),-,1672,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,1664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,硬顶跑车,硬顶跑车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车
车门数(个),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
座位数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
油箱容积(L),90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
行李厢容积(L),-,358,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),2295,2244,2295,2470,2295,2470,2320,2495,2320,2495,2470,2295,2470,2320,2495,2320,2495
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),3993,5950,3993,3993,3993,3993,5998,5998,5998,5998,3993,3993,3993,5998,5998,5998,5998
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
气缸排列形式,V,W,V,V,V,V,W,W,W,W,V,V,V,W,W,W,W
气缸数(个),8,12,8,8,8,8,12,12,12,12,8,8,8,12,12,12,12
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,10.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,89.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),507,635,507,507,528,528,590,590,635,635,507,528,528,590,590,642,642
最大功率(kW)_y,373,467,373,373,388,388,434,434,467,467,373,388,388,434,434,472,472
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5900,5900
最大扭矩(N·m)_y,660,900,660,660,680,680,720,720,820,820,660,680,680,720,720,840,840
最大扭矩转速(rpm),1700,1350-4500,1700,1700,1700,1700,1800,1800,2000,2000,1700,1700,1700,1800,1800,2000,2000
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,98号,95号,98号,98号,98号,98号,98号,98号,98号,98号,98号,98号,98号,98号,98号,98号,98号
供油方式,直喷,混合喷射,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI,欧VI
挡位个数,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
