Feature,49578,49579,50801,50802,50803,58229,58230,58858,58859,58860,58861,58862,58863,58864,58865,59064,59118
车型名称,极狐 阿尔法S(ARCFOX αS) 2021款 708S+ 160kW,极狐 阿尔法S(ARCFOX αS) 2021款 603H,极狐 阿尔法S(ARCFOX αS) 2022款 HI版 进阶版,极狐 阿尔法S(ARCFOX αS) 2022款 HI版 高阶版,极狐 阿尔法S(ARCFOX αS) 2021款 525S 160kW,极狐 阿尔法S(ARCFOX αS) 2021款 525S 175kW,极狐 阿尔法S(ARCFOX αS) 2021款 708S+ 175kW,极狐 阿尔法S(ARCFOX αS) 2022款 525S 175kW,极狐 阿尔法S(ARCFOX αS) 2022款 525S+ 160kW,极狐 阿尔法S(ARCFOX αS) 2022款 525S+ 175kW,极狐 阿尔法S(ARCFOX αS) 2022款 708S 160kW,极狐 阿尔法S(ARCFOX αS) 2022款 708S 175kW,极狐 阿尔法S(ARCFOX αS) 2022款 708S+ 160kW,极狐 阿尔法S(ARCFOX αS) 2022款 708S+ 175kW,极狐 阿尔法S(ARCFOX αS) 2022款 603H,极狐 阿尔法S(ARCFOX αS) 2022款 708S+ 小王子联名版,极狐 阿尔法S(ARCFOX αS) 2022款 603H 小王子联名版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
芯片总算力,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,●,●,●,-,-,-,-,-,-,-,-,-,-,●,-,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,,,-,-,-,,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),16,16,15.5,15.5,16,16,16,16,16,16,16,16,16,16,16,16,16
百公里耗电量(kWh/100km),15.4,17.1,16.6,16.6,14.8,14.8,15.4,14.8,14.8,14.8,15.4,15.4,15.4,15.4,17.1,15.4,17.1
疲劳驾驶提示,●,●,●,●,-,-,●,○,●,●,-,-,●,●,●,●,●
电芯品牌,北电爱思特,北电爱思特/江苏时代,宁德时代,宁德时代,北电爱思特,江苏时代,江苏时代,江苏时代,北电爱思特,江苏时代,北电爱思特,江苏时代,北电爱思特,江苏时代,北电爱思特/江苏时代,北电爱思特,北电爱思特/江苏时代
电能当量燃料消耗量(L/100km),1.74,1.93,1.88,1.88,1.67,1.67,1.74,1.67,1.67,1.67,1.74,1.74,1.74,1.74,1.93,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),194.12,191.72,181,181,187.47,183.3,188.8,183.3,187.47,183.3,194.12,188.8,194.12,188.8,191.72,194.12,191.72
电池能量(kWh),93.6,93.6,74.5,74.5,67.3,66,94.5,66,67.3,66,93.6,94.5,93.6,94.5,93.6,93.6,93.6
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置+后置,前置+后置,前置+后置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置+后置,前置,前置+后置
电动机总扭矩(N·m),360,720,655,655,360,360,360,360,360,360,360,360,360,360,720,360,720
电动机总功率(kW),160,320,473,473,160,175,175,175,160,175,160,175,160,175,320,160,320
电动机总功率(Ps),218,435,643,643,218,238,238,238,218,238,218,238,218,238,435,218,435
电动机(Ps),218,435,643,643,218,238,238,238,218,238,218,238,218,238,435,218,435
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,,,,,,,,,,,,,,,,
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
热泵空调,-,●,●,●,-,-,-,-,-,-,-,-,-,-,●,-,●
灯光特色功能,-,,,,-,-,-,-,-,-,-,-,-,-,,-,
激光雷达数量,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-
满载最小离地间隙(mm),140,140,-,-,140,140,140,140,140,140,140,140,140,140,140,140,140
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
毫米波雷达数量,,,,,,,,,,,,,,,,,
最高车速(km/h),180,180,200,200,180,180,180,180,180,180,180,180,180,180,180,-,-
最大满载质量(kg),2528,2695,2565,2565,2390,2350,2528,2350,2390,2390,2518,2480,2528,2528,2695,-,-
最大扭矩(N·m),360,720,655,655,360,360,360,360,360,360,360,360,360,360,720,360,720
最大功率(kW),160,320,473,473,160,175,175,175,160,175,160,175,160,175,320,160,320
无钥匙进入功能,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘材质,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,●,●,●,●,-,-,●,○,●,●,-,-,●,●,●,●,●
方向盘位置调节,,,,,,,,,,,,,,,,,
整车质保,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里
整备质量(kg),2078,2245,2115,2115,1940,1900,2078,1900,1940,1940,2068,2030,2078,2078,2245,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
摄像头数量,,,,,,,,,,,,,,,,,
接近角(°),16,16,13.5,13.5,16,16,16,16,16,16,16,16,16,16,16,16,16
换电,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
换挡形式,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,
扬声器品牌名称,,,,,-,-,,,,,-,-,,,,,
手机无线充电功能,,,,,,,,,,,,,,,,,
手机互联/映射,,,,,,,,,,,,,,,,,
手机APP远程控制,,,,,,,,,,,,,,,,,
手势控制,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时)_y,15.5,15.5,13,13,11.5,11.5,15.5,11.5,11.5,11.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
慢充时间(小时)_x,15.5,15.5,13,13,11.5,11.5,15.5,11.5,11.5,11.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
感应雨刷功能,,,,,,,,,,,,,,,,,
感应后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
快充电量百分比,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
快充时间(小时)_y,0.6,0.6,0.25,0.25,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
快充时间(小时)_x,0.6,0.6,0.25,0.25,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),-,-,180,180,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
巡航系统,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1940,1940,1960,1960,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
官方0-100km/h加速(s),8.3,4.2,3.5,3.5,7.7,7.7,8.3,7.7,7.7,7.7,8.3,8.3,8.3,8.3,4.2,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,,,,,,,,,,
多媒体/充电接口,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,
备胎规格,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
地图品牌,,,,,,,,,,,,,,,,,
四驱形式,-,电动四驱,电动四驱,电动四驱,-,-,-,-,-,-,-,-,-,-,电动四驱,-,电动四驱
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
后轮胎规格,235/50 R19,245/45 R20,245/45 R20,245/45 R20,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,245/45 R20,235/50 R19,245/45 R20
后电动机最大扭矩(N·m),-,360,370,370,-,-,-,-,-,-,-,-,-,-,360,-,360
后电动机最大功率(kW),-,160,252,252,-,-,-,-,-,-,-,-,-,-,160,-,160
后方碰撞预警,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),560-1300,560-1300,550-1290,550-1290,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300
后制动器类型,盘式,盘式,通风盘式,通风盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),28.73万,35.03万,39.79万,42.99万,24.73万,24.73万,28.73万,22.38万,25.38万,25.38万,26.73万,26.73万,28.73万,28.73万,35.03万,29.33万,35.63万
厂商,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,
前轮距(mm),1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
前轮胎规格,235/50 R19,245/45 R20,245/45 R20,245/45 R20,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,245/45 R20,235/50 R19,245/45 R20
前电动机最大扭矩(N·m),360,360,285,285,360,360,360,360,360,360,360,360,360,360,360,360,360
前电动机最大功率(kW),160,160,221,221,160,175,175,175,160,175,160,175,160,175,160,160,160
前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前排座椅功能,,,,,,,,,,,,,,,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,●,●,●,●,-,-,●,○,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
倒车车侧预警系统,●,●,●,●,-,-,●,-,●,●,-,-,●,●,●,●,●
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,,
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
