Feature,52076,52077,52080,52081,52147,52148,52832,53509,57574,57575,57582,59187,59695,59699,59700,59705,59706,60211,60212,60223,60224,62941
系统综合扭矩(N·m),-,-,-,-,-,-,-,-,-,-,545,-,545,-,-,-,-,-,-,-,-,-
系统综合功率(kW),-,-,-,-,-,-,-,-,-,-,180,-,180,-,-,-,-,-,-,-,-,-
系统综合功率(Ps),-,-,-,-,-,-,-,-,-,-,245,-,245,-,-,-,-,-,-,-,-,-
简称,8挡手自一体,7挡湿式双离合,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,3挡DHT,8挡手自一体,3挡DHT,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,7挡湿式双离合
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),132,147,147,132,147,147,132,132,132,147,147,132,147,147,147,132,132,146,146,132,132,147
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),16,13,13,16,13,13,16,16,17,18,18,17,18,18,18,17,17,15,15,16,16,18
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,●,●,-,●,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-
电芯品牌,-,-,-,-,-,-,-,-,-,-,威睿电动,-,威睿电动,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,1.82,-,1.82,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,三元锂电池,-,三元锂电池,-,-,-,-,-,-,-,-,-
电池冷却方式,-,-,-,-,-,-,-,-,-,-,液冷,-,液冷,-,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-,-,-,永磁/同步,-,永磁/同步,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,前置,-,前置,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,320,-,320,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,100,-,100,-,-,-,-,-,-,-,-,-
电动机总功率(Ps),-,-,-,-,-,-,-,-,-,-,136,-,136,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-,136,-,136,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,,-,,-,,,,,,,,-,-,,,,-,,,,
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,92号,95号,92号,95号,95号,95号,95号,92号,92号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,-,-,,,-,,-,-,-,,,-,-,-,-,-
满载最小离地间隙(mm),117,120,120,117,120,120,117,117,117,120,120,117,120,120,120,117,117,120,120,117,117,120
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
气缸数(个),4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,,,-,,-,,,,,,,,-,-,,,,-,,,,
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),250,205,205,250,210,210,250,250,250,215,195,250,195,215,215,250,250,205,205,250,250,215
最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
最大马力(Ps),254,180,180,254,190,190,265,265,265,254,150,265,150,254,254,265,265,181,181,254,254,254
最大满载质量(kg),2100,1887,1887,2100,1980,1980,2100,2100,2100,1980,2100,2100,2100,1980,1980,2100,2100,1930,1930,2100,2100,1980
最大扭矩转速(rpm),1800-4800,1500-4000,1500-4000,1800-4800,1400-4000,1400-4000,2000-4000,2000-4000,2000-4000,1800-4800,2500-4000,2000-4000,2500-4000,1800-4800,1800-4800,2000-4000,2000-4000,2000-3500,2000-3500,1800-4800,1800-4800,1800-4800
最大扭矩(N·m)_y,350,265,265,350,300,300,380,380,380,350,225,380,225,350,350,380,380,290,290,350,350,350
最大扭矩(N·m)_x,350,265,265,350,300,300,380,380,380,350,545,380,545,350,350,380,380,290,290,350,350,350
最大功率转速(rpm),5500,5500,5500,5500,4700,4700,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,187,132,132,187,140,140,195,195,195,187,110,195,110,187,187,195,195,133,133,187,187,187
最大功率(kW)_x,187,132,132,187,140,140,195,195,195,187,180,195,180,187,187,195,195,133,133,187,187,187
最大净功率(kW),187,132,132,187,140,140,195,195,195,187,108,195,108,187,187,195,195,128,128,187,187,187
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●,●,●,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),1620,1512,1512,1620,1560,1560,1620,1620,1645,1560,1650,1645,1650,1560,1560,1645,1645,1512,1512,1620,1620,1560
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
摄像头数量,,,,,,,,,,,,,,,,,,,,,,
接近角(°),12,13,13,13,13,13,12,13,12,14,14,12,14,14,14,13,13,13,13,13,13,14
排量(mL),1969,1477,1477,1969,1969,1969,1969,1969,1969,1969,1480,1969,1480,1969,1969,1969,1969,1499,1499,1969,1969,1969
换挡形式,,,,,,,,,,,,,,,,,,,,,,
挡位个数,8,7,7,8,7,7,8,8,8,7,3,8,3,7,7,8,8,7,7,8,8,7
扬声器数量,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,,,-,,-,,,,,,,,,-,,,,-,,,,
手机无线充电功能,,,-,,-,,,,,,,,,-,,,,-,,,,
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,,,,,,,,,,,,,,,,,,,,
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,●,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
巡航系统,,,,,,,,,,,,,-,-,,,,-,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1840,1840,1840,1840,1840,1840,1840,1840,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1840,1840,1843
官方0-100km/h加速(s),5.9,7.9,7.9,5.9,7.4,7.4,5.7,5.7,5.7,6.9,7.2,5.7,7.2,6.9,6.9,5.7,5.7,-,-,5.9,5.9,6.9
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,-,-,,,,-,,,,,-,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,无,无,非全尺寸,非全尺寸,无,无,无,非全尺寸,非全尺寸,非全尺寸,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
地图品牌,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,-
四驱形式,适时四驱,-,-,适时四驱,-,-,适时四驱,适时四驱,适时四驱,-,-,适时四驱,-,-,-,适时四驱,适时四驱,-,-,适时四驱,适时四驱,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1587,1597,1597,1587,1597,1597,1587,1587,1587,1597,1597,1587,1597,1597,1597,1587,1587,1597,1597,1587,1587,1597
后轮胎规格,245/35 R19,225/45 R18,215/50 R17,245/40 R18,215/50 R17,225/45 R18,245/35 R19,245/35 R19,245/35 R19,225/45 R18,225/45 R18,245/35 R19,225/45 R18,215/50 R17,225/45 R18,245/40 R18,245/35 R19,215/50 R17,225/45 R18,245/40 R18,245/35 R19,225/45 R18
后方碰撞预警,●,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),414,414,414,414,414,414,414,414,414,414,367,414,367,414,414,414,414,414,414,414,414,414
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),湿式双离合变速箱(DCT),混合动力专用变速箱(DHT),手自一体变速箱(AT),混合动力专用变速箱(DHT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),湿式双离合变速箱(DCT)
变速箱,8挡手自一体,7挡湿式双离合,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,3挡DHT,8挡手自一体,3挡DHT,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,JLH-4G20TDC,JLH-3G15TD,JLH-3G15TD,JLH-4G20TDC,JLH-4G20TD,JLH-4G20TD,JLH-4G20TDH,JLH-4G20TDH,JLH-4G20TDH,JLH-4G20TDC,DHE15-ESZ,JLH-4G20TDH,DHE15-ESZ,JLH-4G20TDC,JLH-4G20TDC,JLH-4G20TDH,JLH-4G20TDH,BHE15-EFZ,BHE15-EFZ,JLH-4G20TDC,JLH-4G20TDC,JLH-4G20TDC
发动机启停技术,-,-,-,-,●,●,-,-,-,●,-,-,-,●,●,-,-,●,●,-,-,●
