Feature,1006145,1006146,1006147,1006148,1006149,1006150,1006151,1006152,1006153,1006154,1006155,1006156,1006157,1006158,1006159,1006160,1006161,1006162,1006163,1006164,1006165,1006166,1006167,1006168,1006169,1006170,1006171,1006172,1006579,1006580,1006582,1006583,1006584,1006585,1006586,1006587,1006588,1006589,1006590,1006591
遥控钥匙,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,4,4,2,4,2,4,2,2,4,2,4,4,2,2,4,4,2,2,4,2,4,2,4,2,4,2,4,4,2,4,2,4,4,2,4,4,2,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,神骐T20 2018款 1.3L超值版单排DAM13R,神骐T20 2018款 1.3L超值版双排DAM13R,神骐T20 2018款 1.5L载货车标准型双排DAM15R,神骐T20 2018款 1.5L载货车标准型单排DAM15R,神骐T20 2018款 1.3L载货车标准型双排DAM13R,神骐T20 2018款 1.3L载货车标准型单排DAM13R,神骐T20 2018款 1.5L载货车舒适型双排DAM15R,神骐T20 2018款 1.5L载货车舒适型单排DAM15R,神骐T20 2018款 1.3L仓栅车标准型单排DAM13R,神骐T20 2018款 1.3L仓栅车标准型双排DAM13R,神骐T20 2018款 1.5L仓栅车标准型单排DAM15R,神骐T20 2018款 1.5L仓栅车标准型双排DAM15R,神骐T20 2018款 1.5L复合板厢货舒适型双排DAM15R,神骐T20 2018款 1.5L复合板厢货舒适型单排DAM15R,神骐T20 2018款 1.3L复合板厢货标准型单排DAM13R,神骐T20 2018款 1.3L复合板厢货标准型双排DAM13R,神骐T20 2018款 1.5L钢板厢货标准型双排DAM15R,神骐T20 2018款 1.5L钢板厢货标准型单排DAM15R,神骐T20 2018款 1.3L钢板厢货标准型单排DAM13R,神骐T20 2018款 1.3L钢板厢货标准型双排DAM13R,神骐T20 2018款 1.5L CNG舒适型载货车单排DAM15R,神骐T20 2018款 1.5L CNG舒适型载货车双排DAM15R,神骐T20 2018款 1.5L CNG舒适型复合板厢货单排DAM15R,神骐T20 2018款 1.5L CNG舒适型复合板厢货双排DAM15R,神骐T20 2018款 1.5L CNG舒适型钢板厢货单排DAM15R,神骐T20 2018款 1.5L CNG舒适型钢板厢货双排DAM15R,神骐T20 2018款 1.3L CNG载货车标准型单排DAM13R,神骐T20 2018款 1.3L CNG载货车舒适型双排DAM13R,神骐T20 2018款 1.5L T20L载货车舒适型双排3.01米货厢DAM15R,神骐T20 2018款 1.5L T20L载货车舒适型单排3.6米货箱DAM15R,神骐T20 2018款 1.5L T20L载货车舒适型双排2.85米货箱DAM15R,神骐T20 2018款 1.5L T20L载货车标准型单排3.6米货箱DAM15R,神骐T20 2018款 1.5L T20L载货车标准型双排3.01米货厢DAM15R,神骐T20 2018款 1.5L T20L载货车标准型双排2.85米货箱DAM15R,神骐T20 2018款 1.5L T20L仓栅车舒适型单排3.6米货箱DAM15R,神骐T20 2018款 1.5L T20L仓栅车舒适型双排2.85米货箱DAM15R,神骐T20 2018款 1.5L T20L仓栅车舒适型双排3.01米货箱DAM15R,神骐T20 2018款 1.5L T20L厢货车舒适型单排3.65米货箱DAM15R,神骐T20 2018款 1.5L T20L厢货车舒适型双排2.89米货箱DAM15R,神骐T20 2018款 1.5L T20L厢货车舒适型双排3.05米货箱DAM15R
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,●,●,-,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,-,●,●,●,●,-,-,-,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3000x1650x370,2300x1650x370,2500x1650x370,3300x1650x370,2500x1650x370,3300x1650x370,2500x1650x370,3300x1650x370,3300x1650x370,2500x1650x370,3300x1650x370,2500x1650x370,2500x1650x1650,3300x1650x1650,3300x1650x1650,2500x1650x1650,2520x1700x1650,3320x1700x1650,3300x1700x1650,2500x1700x1650,3300x1650x370,2500x1650x370,3300x1650x1650,2500x1650x1650,3320x1700x1650,2520x1700x1650,3300*1650*370,2500x1650x370,3010x1650x370,3600x1650x370,2850x1650x370,3600x1650x370,3010x1650x370,2850x1650x370,3600x1650x370,2850x1650x370,3010x1650x370,3650x1695x1650,2890x1695x1650,3050x1695x1650
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,-,-,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,-,-,-,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,4,4,未知,未知,4,4,未知,未知,4,4,4,4,未知,未知,4,4,未知,未知,4,4,4,4,4,4,未知,未知,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),99,99,112,112,99,99,112,112,99,99,112,112,112,112,99,99,112,112,99,99,112,112,112,112,112,112,99,99,112,112,112,112,112,112,112,112,112,112,112,112
最大载重质量(kg),1495,1215,1715,1880,1555,1960,1715,1880,1900,1425,1780,1645,1445,1725,1885,1495,1585,1345,1810,1445,1675,1495,1575,1415,1515,1345,1790,1365,745,1245,745,1245,745,745,1155,665,665,1085,610,610
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,73,73,82,82,73,73,82,82,73,73,82,82,82,82,73,73,82,82,73,73,82,82,82,82,82,82,73,73,82,82,82,82,82,82,82,82,82,82,82,82
最大功率(kW)_x,73,73,82,82,73,73,82,82,73,73,82,82,82,82,73,73,82,82,73,73,82,82,82,82,82,82,73,73,82,82,82,82,82,82,82,82,82,82,82,82
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1235,1320,1450,1365,1480,1400,1450,1365,1460,1370,1465,1520,1530,1520,1475,1540,1580,1540,1550,1590,1570,1550,1670,1630,1730,1700,1570,1430,1470,1410,1470,1410,1470,1470,1500,1550,1550,1570,1605,1605
排量(mL),1299,1299,1498,1498,1299,1299,1498,1498,1299,1299,1498,1498,1498,1498,1299,1299,1498,1498,1299,1299,1498,1498,1498,1498,1498,1498,1299,1299,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材料,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物
座位数(个),2,5,5,2,5,2,5,2,2,5,2,5,5,2,2,5,5,2,2,5,2,5,2,5,2,5,2,5,5,2,5,2,5,5,2,5,5,2,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1770,1770,1770,1770,1770,1770,1770,1770,1730,1730,1770,1760,1770,1760,1730,1730,1725,1725,1725,1725,1725,1725,1725,1725,1725,1820,1770,1770
定速巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320
