Feature,50292,53276,53520,53521,53522,53523,53524,61459,63225,63226,63227,63228,63229,63230,63231,63232
行程(mm),103.4,97.6,97.6,97.6,97.6,103.4,103.4,97.6,97.6,97.6,97.6,97.6,103.4,103.4,103.4,103.4
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,●,-,-,-,-,●,●,-,-,-,-,-,●,●,●,●
能源类型,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),87.5,80.5,80.5,80.5,80.5,87.5,87.5,80.5,80.5,80.5,80.5,80.5,87.5,87.5,87.5,87.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
系统综合功率(kW),163,-,-,-,-,160,163,-,-,-,-,-,160,163,163,163
系统综合功率(Ps),222,-,-,-,-,218,222,-,-,-,-,-,218,222,222,222
简称,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,,,,,,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,
离去角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
电芯品牌,新中源丰田,-,-,-,-,新中源丰田,新中源丰田,-,-,-,-,-,比亚迪,比亚迪,比亚迪,比亚迪
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,八年或20万公里,-,-,-,-,八年或20万公里,八年或20万公里,-,-,-,-,-,八年或20万公里,八年或20万公里,八年或20万公里,八年或20万公里
电池类型,三元锂电池,-,-,-,-,三元锂电池,三元锂电池,-,-,-,-,-,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁/同步,-,-,-,-,永磁/同步,永磁/同步,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,-,-,-,-,前置,前置+后置,-,-,-,-,-,前置,前置+后置,前置+后置,前置+后置
电动机总扭矩(N·m),323,-,-,-,-,202,323,-,-,-,-,-,202,323,323,323
电动机总功率(kW),128,-,-,-,-,88,128,-,-,-,-,-,88,128,128,128
电动机总功率(Ps),174,-,-,-,-,120,174,-,-,-,-,-,120,174,174,174
电动机(Ps),174,-,-,-,-,120,174,-,-,-,-,-,120,174,174,174
电动座椅记忆功能,,,-,-,,-,,,-,-,,,-,-,,
电动后备厢位置记忆,●,-,-,-,●,-,-,-,-,-,●,●,-,-,-,●
电动后备厢,●,-,-,-,●,-,-,-,-,-,●,●,-,-,-,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,
油箱容积(L),55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),180,175,175,175,175,180,180,175,175,175,175,175,180,180,180,180
最小转弯半径(m),5.7,5.7,5.5,5.5,5.7,5.5,5.7,5.7,5.5,5.5,5.7,5.7,5.5,5.5,5.7,5.7
最大马力(Ps),178,171,171,171,171,178,178,171,171,171,171,171,178,178,178,178
最大满载质量(kg),2230,2065,2065,2065,2065,2160,2230,2065,2065,2065,2065,2065,2160,2230,2230,2230
最大扭矩转速(rpm),-,-,-,-,-,-,-,4400-5000,4400-5000,4400-5000,4400-5000,4400-5000,3600-5200,3600-5200,3600-5200,3600-5200
最大扭矩(N·m)_y,221,209,209,209,209,221,221,209,209,209,209,209,221,221,221,221
最大扭矩(N·m)_x,-,209,209,209,209,-,-,209,209,209,209,209,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-,-,6600,6600,6600,6600,6600,5700,5700,5700,5700
最大功率(kW)_y,131,126,126,126,126,131,131,126,126,126,126,126,131,131,131,131
最大功率(kW)_x,163,126,126,126,126,160,163,126,126,126,126,126,160,163,163,163
最大净功率(kW),131,126,126,126,126,131,131,126,126,126,126,126,131,131,131,131
无钥匙进入功能,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
方向盘位置调节,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1775,1615,1585,1595,1630,1680,1760,1615,1585,1595,1615,1615,1680,1740,1760,1775
接近角(°),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
排量(mL),2487,1987,1987,1987,1987,2487,2487,1987,1987,1987,1987,1987,2487,2487,2487,2487
换挡形式,,,,,,,,,,,,,,,,
挡位个数,无级变速,10,10,10,10,无级变速,无级变速,10,10,10,10,10,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,,,,,,,
扬声器品牌名称,,-,-,-,,-,-,-,-,-,-,-,-,-,-,
手机无线充电功能,-,-,-,-,-,-,-,,-,,,,,,,
手机互联/映射,-,-,,,-,,-,-,,,-,-,,,-,-
手机APP远程功能,,,-,-,,-,,,-,-,,,-,-,,
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,-,-,-,,-,-,-,-,-,-,-,-,-,-,
感应后备厢,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
巡航系统,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,-,-,●,-,●,●,-,-,●,●,-,-,●,●
宽度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
实测油耗(L/100km),5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),40.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),7.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多层隔音玻璃,,-,-,-,,-,-,-,-,-,-,-,-,-,-,
多媒体/充电接口,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,电动四驱,-,-,-,-,-,电动四驱,-,-,-,-,-,-,电动四驱,电动四驱,电动四驱
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1627,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627
后轮胎规格,225/55 R19,225/55 R19,225/60 R18,225/60 R18,225/55 R19,225/60 R18,225/55 R19,225/55 R19,225/60 R18,225/60 R18,225/55 R19,225/55 R19,225/60 R18,225/60 R18,225/55 R19,225/55 R19
后电动机最大扭矩(N·m),121,-,-,-,-,-,121,-,-,-,-,-,-,121,121,121
后电动机最大功率(kW),40,-,-,-,-,-,40,-,-,-,-,-,-,40,40,40
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后悬架类型,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
变速箱,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,A25F,M20D,M20D,M20D,M20D,A25F,A25F,M20D,M20D,M20D,M20D,M20D,A25F,A25F,A25F,A25F
发动机启停技术,-,●,●,●,●,-,-,●,●,●,●,●,-,-,-,-
发动机,2.5L 178马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.5L 178马力 L4,2.5L 178马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.5L 178马力 L4,2.5L 178马力 L4,2.5L 178马力 L4,2.5L 178马力 L4
厂商指导价(元),29.78万,23.98万,21.18万,22.98万,25.58万,25.98万,28.18万,23.98万,21.18万,22.98万,24.38万,24.58万,26.08万,27.28万,28.28万,29.88万
厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
卫星导航系统,●,●,-,-,●,-,●,●,-,-,●,●,-,-,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,
前轮距(mm),1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
前轮胎规格,225/55 R19,225/55 R19,225/60 R18,225/60 R18,225/55 R19,225/60 R18,225/55 R19,225/55 R19,225/60 R18,225/60 R18,225/55 R19,225/55 R19,225/60 R18,225/60 R18,225/55 R19,225/55 R19
前电动机最大扭矩(N·m),202,-,-,-,-,202,202,-,-,-,-,-,202,202,202,202
前电动机最大功率(kW),88,-,-,-,-,88,88,-,-,-,-,-,88,88,88,88
前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前排座椅功能,,,-,,,,,,-,,,,,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,
全液晶仪表盘,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
倒车车侧预警系统,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
低速行车警告,●,-,-,-,-,●,●,-,-,-,-,-,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,
中央差速器结构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2021.11,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),5.27,6.57,6.57,6.57,6.57,5.07,5.27,6.54,6.54,6.54,6.54,6.54,5.07,5.28,5.28,5.28
USB/Type-C接口数量,,,,,,,,,,,,,,,,
OTA升级,●,●,-,-,●,-,●,●,-,-,●,●,-,-,●,●
NEDC综合油耗(L/100km),5,6,6,6,6,4.5,5,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,-,-,●,-,●,●,-,-,●,●,-,-,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ETC装置,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,-,-,-,-,-,-,-,,-,-,,,-,-,,
