,20300,20301,20302,20303,20304,20305
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,195/60 R15,195/60 R15,195/60 R15,195/60 R15,195/60 R15,195/60 R15
后轮胎规格,195/60 R15,195/60 R15,195/60 R15,195/60 R15,195/60 R15,195/60 R15
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
