,34132,34133,34134,34135,34136
前雾灯,-,-,-,-,-
大灯高度可调,●,●,●,●,●
大灯清洗装置,-,-,-,-,-
车内氛围灯,●,○,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●
后视镜电动调节,●,●,●,●,●
后视镜加热,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●
后视镜记忆,●,○,●,●,●
后风挡遮阳帘,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-
后排侧隐私玻璃,-,●,●,●,●
遮阳板化妆镜,●,●,●,●,●
后雨刷,●,●,●,●,●
感应雨刷,-,-,-,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●
后排独立空调,●,●,●,●,●
后座出风口,●,●,●,●,●
温度分区控制,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车载冰箱,-,-,-,-,-
车型名称,奔驰GLS 2018款 改款 GLS 320 4MATIC,奔驰GLS 2018款 改款 GLS 350d 4MATIC,奔驰GLS 2018款 改款 GLS 400 4MATIC动感型,奔驰GLS 2018款 改款 GLS 400 4MATIC豪华型,奔驰GLS 2018款 改款 GLS 500 4MATIC
厂商指导价(元),102.28万,107.08万,115.18万,133.50万,158.80万
厂商,奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口),奔驰(进口)
级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
能源类型,汽油,柴油,汽油,汽油,汽油
上市时间,2018.04,2018.04,2018.04,2018.04,2018.04
工信部纯电续驶里程(km),-,-,-,-,-
最大功率(kW)_x,200,190,245,245,310
最大扭矩(N·m)_x,400,620,480,480,600
发动机,3.0T 272马力 V6,3.0T 258马力 V6,3.0T 333马力 V6,3.0T 333马力 V6,4.0T 422马力 V8
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
长*宽*高(mm),5135*1934*1857,5130*1934*1860,5130*1982*1860,5130*1982*1860,5130*1982*1860
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
最高车速(km/h),225,220,245,245,250
官方0-100km/h加速(s),8.6,8.3,7,7,5.9
实测0-100km/h加速(s),-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-
工信部综合油耗(L/100km),10,7.9,10,10,11.9
实测油耗(L/100km),-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),5135,5130,5130,5130,5130
宽度(mm),1934,1934,1982,1982,1982
高度(mm),1857,1860,1860,1860,1860
轴距(mm),3075,3075,3075,3075,3075
前轮距(mm),1677,1677,1677,1677,1677
后轮距(mm),1696,1696,1696,1696,1696
最小离地间隙(mm),-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5
座位数(个),7,7,7,7,7
油箱容积(L),-,-,-,-,-
行李厢容积(L),-,-,-,-,-
整备质量(kg),-,-,-,-,-
发动机型号,276 821,642 826,276 821,276 821,278 912
排量(mL),2996,2987,2996,2996,3996
进气形式,双涡轮增压,涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
气缸排列形式,V,V,V,V,V
气缸数(个),6,6,6,6,8
每缸气门数(个),4,4,4,4,4
压缩比,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-
行程(mm),-,-,-,-,-
最大马力(Ps),272,258,333,333,422
最大功率(kW)_y,200,190,245,245,310
最大功率转速(rpm),5000,3400,5250,5250,5500
最大扭矩(N·m)_y,400,620,480,480,600
最大扭矩转速(rpm),1300-4500,1600-2400,1600-4000,1600-4000,1900-4000
发动机特有技术,-,-,-,-,-
燃料形式,汽油,柴油,汽油,汽油,汽油
燃油标号,95号,0号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧V,欧V,欧V,欧V,欧V
挡位个数,9,9,9,9,9
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 ,双叉臂独立悬架 
后悬架类型,双叉臂独立悬架,双叉臂独立悬架,双叉臂独立悬架,双叉臂独立悬架,双叉臂独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,275/55 R19,275/50 R20,275/50 R20,295/40 R21,295/40 R21
后轮胎规格,275/55 R19,275/50 R20,275/50 R20,295/40 R21,295/40 R21
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
