Feature,55243,55244,55245,55246,56655,56656,61402,61739,62279,62280,62281,62282,62298,62299,63432,63433,63434
远程召唤,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶系统,-,,,,-,,-,-,-,-,,,-,-,-,-,
辅助驾驶等级,-,,,,-,,-,-,-,-,,,-,-,-,-,
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●
车道偏离预警系统,-,●,●,●,-,●,-,-,-,-,●,●,-,-,-,-,●
车道保持辅助系统,-,●,●,●,-,●,-,-,-,-,●,●,-,-,-,-,●
车载空气净化器,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,
车型名称,AION S Plus 2022款 70 智领版,AION S Plus 2022款 70 智驾版,AION S Plus 2022款 80 科技版,AION S Plus 2022款 80 智驾版,AION S Plus 2022款 70 行政版,AION S Plus 2022款 80 行政版,AION S Plus 2022款 70 乐享版,AION S Plus 2022款 改款 70 智领版,2023款 70 乐享版 磷酸铁锂,2023款 70 智领版 磷酸铁锂,2023款 70 智驾版 三元锂,2023款 80 科技版 三元锂,AION S Plus 2023款 70 乐享版 三元锂,AION S Plus 2023款 70 智领版 三元锂,AION S Plus 2023款 70 行政版 磷酸铁锂,AION S Plus 2023款 70 行政版 三元锂,AION S Plus 2023款 80 行政版 三元锂
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,●,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-
语音连续识别,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,,,,
语音分区域唤醒识别,-,-,-,-,-,-,-,-,,,,,,,,,
语音免唤醒词,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,●,●,-,●,-,-,-,-,●,●,-,-,-,-,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,○,●,○,●,●,○,○,○,-,-,●,-,-,-,-,-,-
自动头灯,-,●,●,●,-,●,-,-,-,-,●,●,-,-,-,-,●
自动变道辅助,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,
离去角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
百公里耗电量(kWh/100km),12.9,12.9,13.1,13.1,12.9,13.1,12.9,12.9,12.9,12.9,12.9,12.8,12.9,12.9,12.9,12.9,12.8
疲劳驾驶提示,-,●,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-
电芯品牌,中创新航,中创新航,孚能科技,孚能科技,中创新航,孚能科技,中创新航,中创新航,中创新航/孚能科技,中创新航/孚能科技,中创新航/孚能科技,孚能科技,中创新航/孚能科技,中创新航/孚能科技,中创新航/孚能科技,中创新航/孚能科技,孚能科技
电能当量燃料消耗量(L/100km),1.46,1.46,1.48,1.48,1.46,1.48,1.46,1.46,1.46,1.46,1.46,1.45,1.46,1.46,1.46,1.46,1.45
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),170,170,170,170,170,170,142.88,142.88,-,-,-,-,-,-,-,-,-
电池能量(kWh),58.8,58.8,69.9,69.9,58.8,69.9,59.4,59.4,59.4,59.4,58.8,68,58.8,58.8,59.4,58.8,68
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),-,350,350,350,350,350,225,225,225,225,350,350,350,350,225,350,350
电动机总功率(kW),150,150,165,165,150,165,150,150,150,150,150,150,150,150,150,150,150
电动机总功率(Ps),204,204,224,224,204,224,204,204,204,204,204,204,204,204,204,204,204
电动机(Ps),204,204,224,224,204,224,204,204,204,204,204,204,204,204,204,204,204
电动座椅记忆功能,-,,-,,-,-,-,-,-,-,,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
满载最小离地间隙(mm),125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,
最高车速(km/h),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
最大爬坡角度(°),16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
最大爬坡度(%),30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
最大满载质量(kg),2125,2125,2180,2180,2125,2180,2135,2135,2135,2135,2125,2180,2125,2125,2135,2125,2180
最大扭矩(N·m),350,350,350,350,350,350,225,225,225,225,350,350,350,350,225,350,350
最大功率(kW),150,150,165,165,150,165,150,150,150,150,150,150,150,150,150,150,150
无钥匙进入功能,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,
整车质保,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里
整备质量(kg),1660,1660,1750,1750,1660,1750,1730,1750,1750,1750,1660,1750,1660,1660,1750,1660,1750
接近角(°),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
换电,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
换挡形式,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,,,,,,,-,,-,,,,-,,-,-,
手机互联/映射,,,,,,,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,,,,,,,
慢充时间(小时)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,,,,-,,-,-,-,-,,,-,-,-,-,
快充电量百分比,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
快充时间(小时)_y,0.7,0.7,0.75,0.75,0.7,0.75,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
快充时间(小时)_x,0.7,0.7,0.75,0.75,0.7,0.75,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
官方0-100km/h加速(s),7.6,7.6,6.8,6.8,7.6,6.8,7.6,7.6,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,●,●,●,-,●,-,-,-,-,●,●,-,-,-,-,●
多媒体/充电接口,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,
备胎规格,无,无,无,无,非全尺寸,非全尺寸,无,无,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具
地图品牌,,,,,,,,,,,,,,,,,
四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
哨兵模式/千里眼,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602
后轮胎规格,235/45 R18,235/45 R18,235/45 R18,235/45 R18,235/45 R18,235/45 R18,215/55 R17,235/45 R18,215/55 R17,235/45 R18,235/45 R18,235/45 R18,215/55 R17,235/45 R18,215/55 R17,215/55 R17,235/45 R18
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可见即可说,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),16.38万,17.58万,17.58万,18.98万,18.49万,19.16万,14.98万,16.38万,14.98万,15.38万,16.58万,16.58万,14.98万,15.38万,17.38万,17.38万,19.16万
厂商,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,
前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
前轮胎规格,235/45 R18,235/45 R18,235/45 R18,235/45 R18,235/45 R18,235/45 R18,215/55 R17,235/45 R18,215/55 R17,235/45 R18,235/45 R18,235/45 R18,215/55 R17,235/45 R18,215/55 R17,215/55 R17,235/45 R18
前电动机最大扭矩(N·m),-,350,350,350,350,350,225,225,225,225,350,350,350,350,225,350,350
前电动机最大功率(kW),150,150,165,165,150,165,150,150,150,150,150,150,150,150,150,150,150
前方碰撞预警,-,●,●,●,-,●,-,-,-,-,●,●,-,-,-,-,●
前排座椅功能,-,,-,,-,-,-,-,-,-,,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前○&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
倒车车侧预警系统,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,,
主动闭合式进气格栅,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,●,●,●,-,●,-,-,-,-,●,●,-,-,-,-,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,
中央差速器结构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2022.01,2022.01,2022.01,2022.01,2022.04,2022.04,2023.02,2023.02,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.06,2023.06,2023.06
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
USB/Type-C接口数量,,,,,,,,,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
NEDC纯电续航里程(km)_y,510,510,602,602,510,602,510,510,-,-,-,-,-,-,-,-,-
NEDC纯电续航里程(km)_x,510,510,602,602,510,602,510,510,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ETC装置,○,○,○,○,●,●,○,○,○,○,○,○,○,○,●,●,●
CLTC纯电续航里程(km)_y,-,-,-,-,-,-,-,-,510,510,510,610,510,510,510,510,610
CLTC纯电续航里程(km)_x,-,-,-,-,-,-,-,-,510,510,510,610,510,510,510,510,610
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,,,,,,,,,
