,1001111,1002667,1006409,1006410,1006411,1006412,1006413,1006414
发动机,1.0L 61马力 L4,1.3L 86马力 L4,1.3L 86马力 L4,1.3L 86马力 L4,1.3L 86马力 L4,1.3L 86马力 L4,1.0L 61马力 L4,1.0L 61马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4758×1510×1870,4758×1510×1870,4758×1510×2150,4758×1510×2360,4770×1510×1870,4770×1550×1870,4770×1510×1870,4770×1550×1870
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车
最高车速(km/h),105,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-
长度(mm),4758,4758,4758,4758,4770,4770,4770,4770
宽度(mm),1510,1510,1510,1510,1510,1550,1510,1550
高度(mm),1870,1870,2150,2360,1870,1870,1870,1870
轴距(mm),2760,2760,2760,2760,2760,2760,2760,2760
前轮距(mm),1300,1300,1300,1300,1300,1300,1300,1300
后轮距(mm),1310,1310,1310,1310,1310,1310,1310,1310
最小离地间隙(mm),-,-,-,-,-,-,-,-
整备质量(kg),950,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车
车门数(个),4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),40,40,40,40,40,40,40,40
货箱尺寸(mm),2080x1440x340,2080x1440x370(420),2040x1455x1410,2040x1455x1620,2050x1450x370,2050x1450x420,2050x1450x370,2050x1450x420
最大载重质量(kg),490,490,410,410,520,470,495,445
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,无助力,无助力,电动助力,电动助力,电动助力,电动助力,无助力,无助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,165/70 R14,165/70 R14,155 R13LT,155 R13LT,155 R13LT,155 R13LT,155 R13LT,155 R13LT
后轮胎规格,165/70 R14,165/70 R14,155 R13LT,155 R13LT,155 R13LT,155 R13LT,155 R13LT,155 R13LT
发动机型号,DL465Q5,DLCG12,DLCG12,DLCG12,DLCG12,DLCG12,DL465Q5,DL465Q5
排量(mL),998,1298,1298,1298,1298,1298,998,998
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),未知,4,未知,未知,未知,未知,未知,未知
压缩比,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),61,86,86,86,86,86,61,61
最大功率(kW)_y,45,63,63,63,63,63,45,45
最大功率转速(rpm),-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,85,105,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国IV,国IV,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
