Feature,1012480,1012481,1012482,1012483,1012484,1012485,1012486,1012487,1012488,1012489,1012490,1012491,1012492,1012493,1012494,1012495,1012496,1012497,1012498,1012499,1012500,1012501,1012502,1012503,1012504,1012505,1012506,1012507,1012508,1012509,1012510,1012511,1012512,1012513,1012514,1012515,1012516,1012517,1012518,1012519,1012520,1012521,1012522,1012523,1012524,1012525,1012526,1012527,1012528,1012529,1012530,1012531,1012532,1012533,1012534,1012535,1012536,1012537,1012538,1012539,1012540,1012541,1012542,1012543,1012544,1012545,1012546,1012547,1012548,1012549,1012550,1012551,1012552,1012553,1012554,1012555,1012556,1012557,1012562,1012563,1012564,1012565,1012566,1012567,1012568,1012569,1012570,1012571,1012572,1012573
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3400,3400,3400,3400,3600,3600,3600,3600
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,2,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2,4,4,4,2,2,2,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,跨越王X5 2021款 2.3T柴油舒适版单排栏板3600mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油舒适版单排厢式3590mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油舒适版单排仓栅3600mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油舒适版双排栏板2850mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油舒适版双排栏板3050mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油舒适版双排厢式2840mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油舒适版双排厢式3040mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油舒适版双排仓栅2850mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油舒适版双排仓栅3050mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版单排栏板3600mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版单排厢式3590mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版单排仓栅3600mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版双排栏板2850mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版双排栏板3050mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版双排厢式2840mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版双排厢式3040mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版双排仓栅2850mm货箱4A2-88C55,跨越王X5 2021款 2.3T柴油标准版双排仓栅3050mm货箱4A2-88C55,跨越王X5 2021款 1.8L汽油舒适版单排双后轮栏板3400mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版单排双后轮厢式3385mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版单排双后轮仓栅3400mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮栏板2550mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮厢式2535mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮仓栅2550mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版单排双后轮栏板3400mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版单排双后轮厢式3385mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版单排双后轮仓栅3400mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮栏板2550mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮厢式2535mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮仓栅2550mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版单排双后轮栏板3600mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版单排双后轮厢式3585mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版单排双后轮仓栅3600mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版单排双后轮栏板3600mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版单排双后轮厢式3585mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版单排双后轮仓栅3600mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮栏板2850mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮栏板3050mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮厢式2835mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮厢式3035mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮仓栅2850mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油舒适版双排双后轮仓栅3050mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮栏板2850mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮栏板3050mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮厢式2835mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮厢式3035mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮仓栅2850mm货箱LJ4A18Q6,跨越王X5 2021款 1.8L汽油标准版双排双后轮仓栅3050mm货箱LJ4A18Q6,跨越王X5 2021款 1.6L汽油舒适版单排双后轮栏板3400mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版单排双后轮厢式3385mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版单排双后轮仓栅3400mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版单排双后轮栏板3400mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版单排双后轮厢式3385mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版单排双后轮仓栅3400mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮栏板2550mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮厢式2535mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮仓栅2550mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮栏板2550mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮厢式2535mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮仓栅2550mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版单排双后轮栏板3600mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版单排双后轮厢式3585mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版单排双后轮仓栅3600mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版单排双后轮栏板3600mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版单排双后轮厢式3585mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版单排双后轮仓栅3600mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮栏板2850mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮栏板3050mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮厢式2835mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮厢式3035mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮仓栅2850mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油舒适版双排双后轮仓栅3050mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮栏板2850mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮栏板3050mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮厢式2835mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮厢式3035mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮仓栅2850mm货箱DAM16KR,跨越王X5 2021款 1.6L汽油标准版双排双后轮仓栅3050mm货箱DAM16KR,跨越王X5 2021款 2.0L汽油CNG舒适版单排双后轮栏板3600mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG舒适版单排双后轮厢式3585mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG标准版单排双后轮栏板3600mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG标准版单排双后轮厢式3585mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG舒适版单排双后轮栏板3400mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG舒适版单排双后轮厢式3385mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG标准版单排双后轮栏板3400mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG标准版单排双后轮厢式3385mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG舒适版双排双后轮栏板3050mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG舒适版双排双后轮厢式3035mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG标准版双排双后轮栏板3050mm货箱LJ481QS6,跨越王X5 2021款 2.0L汽油CNG标准版双排双后轮厢式3035mm货箱LJ481QS6
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,●,●,●,●,●,●,○,○,○,○,○,○,●,●,●,○,○,○,●,●,●,●,●,●,○,○,○,○,○,○,●,●,●,○,○,○,●,●,●,○,○,○,●,●,●,○,○,○,●,●,●,●,●,●,○,○,○,○,○,○,●,●,○,○,●,●,○,○,●,●,○,○
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3600x1750x380,3590x1770x1800,3600x1750x380,2850x1750x380,3050x1750x380,2840x1770x1650,3040x1800x1650,2850x1750x380,3050x1750x380,3600x1750x380,3590x1770x1800,3600x1750x380,2850x1750x380,3050x1750x380,2840x1770x1650,3040x1800x1650,2850x1750x380,3050x1750x380,3400x1680x380,3385x1700x1750,3400x1680x380,2550x1680x380,2535x1700x1650,2550x1680x380,3400x1680x380,3385x1700x1650,3400x1680x380,2550x1680x380,2535x1700x1550,2550x1680x380,3600x1750x380,3385x1800x1750,3600x1750x380,3600x1750x380,3585x1770x1750,3600x1750x380,2850x1680x380,3050x1680x380,2835x1700x1650,3035x1730x1650,2850x1680x380,3050x1680x380,2850x1680x380,3050x1680x380,2835x1700x1650,3035x1730x1650,2850x1680x380,3050x1680x380,3400x1680x380,3385x1730x1750,3400x1680x380,3400x1680x380,3385x1700x1650,3400x1680x380,2550x1680x380,2535x1730x1650,2550x1680x380,2550x1680x380,2535x1700x1550,2550x1680x380,3600x1750x380,3585x1800x1750,3600x1750x380,3600x1750x380,3585x1770x1750,3600x1750x380,2850x1680x380,3050x1680x380,2835x1700x1650,3035x1730x1650,2850x1680x380,3050x1680x380,2850x1680x380,3050x1680x380,2835x1700x1650,3035x1730x1650,2850x1680x380,3050x1680x380,3600x1780x380,3585x1800x1750,3600x1780x380,3585x1770x1750,3400x1680x380,3385x1700x1650,3400x1680x380,3385x1700x1650,3050x1680x380,3035x1730x1650,3050x1680x380,3035x1700x1650
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
