,1005999,1006000,1006001,1006002,1006003,1006004,1006005,1006006,1006007,1006577,1006578
上坡辅助,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,(选装差速锁),-,-,-,-,(选装差速锁),-
电动天窗,-,-,-,-,-,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-,-
座椅材质,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,织物
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,-,●,-,●,●,-,●,-,-,-
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,-,●,-,●,●,-,●,-,-,-
蓝牙/车载电话,●,-,●,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车型名称,猎豹CT7 2018款 2.4L汽油两驱卓越型大双版2TZ,猎豹CT7 2018款 2.4L汽油两驱进取型大双版2TZ,猎豹CT7 2018款 2.4L汽油两驱卓越型标双版2TZ,猎豹CT7 2018款 2.4L汽油两驱进取型标双版2TZ,猎豹CT7 2018款 1.9T柴油四驱卓越型标双版D19TCIE,猎豹CT7 2018款 1.9T柴油两驱卓越型大双版D19TCIE,猎豹CT7 2018款 1.9T柴油两驱进取型大双版D19TCIE,猎豹CT7 2018款 1.9T柴油两驱卓越型标双版D19TCIE,猎豹CT7 2018款 1.9T柴油两驱进取型标双版D19TCIE,猎豹CT7 2018款 1.9T柴油四驱进取型标双版D19TCIE,猎豹CT7 2018款 1.9T柴油两驱舒适型标双版D19TCIE
厂商指导价(元),9.18万,8.58万,8.98万,8.38万,11.98万,10.18万,9.58万,9.98万,9.38万,11.38万,8.98万
厂商,猎豹汽车,猎豹汽车,猎豹汽车,猎豹汽车,猎豹汽车,猎豹汽车,猎豹汽车,猎豹汽车,猎豹汽车,猎豹汽车,猎豹汽车
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
上市时间,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-
发动机,2.4L 147马力 L4,2.4L 147马力 L4,2.4L 147马力 L4,2.4L 147马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
长*宽*高(mm),5585×1835×1785,5585×1835×1785,5310×1835×1785,5310×1835×1785,5310×1835×1785,5585×1835×1785,5585×1835×1785,5310×1835×1785,5310×1835×1785,5310×1835×1785,5310×1835×1785
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5585,5585,5310,5310,5310,5585,5585,5310,5310,5310,5310
宽度(mm),1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
高度(mm),1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785
轴距(mm),3380,3380,3105,3105,3105,3380,3380,3105,3105,3105,3105
前轮距(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
后轮距(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60
货箱尺寸(mm),1792x1518x450,1792x1518x450,1517x1518x450,1517x1518x450,1517x1518x450,1792x1518x450,1792x1518x450,1517x1518x450,1517x1518x450,1517x1518x450,1517x1518x450
最大载重质量(kg),600,600,520,520,500,600,600,500,500,500,500
简称,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
挡位个数,5,5,5,5,6,6,6,6,6,6,6
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱
前悬架类型,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架,双叉臂式扭杆弹簧独立悬架
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16
后轮胎规格,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16
发动机型号,2TZ,2TZ,2TZ,2TZ,D19TCIE,D19TCIE,D19TCIE,D19TCIE,D19TCIE,D19TCIE,D19TCIE
排量(mL),2438,2438,2438,2438,1850,1850,1850,1850,1850,1850,1850
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,未知,未知,4,4,4,4,4,4,4
压缩比,-,-,-,-,15.8,15.8,15.8,15.8,15.8,15.8,15.8
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,80,80,80,80,80,80,80
行程(mm),-,-,-,-,92,92,92,92,92,92,92
最大马力(Ps),147,147,147,147,150,150,150,150,150,150,150
最大功率(kW)_y,108,108,108,108,110,110,110,110,110,110,110
最大功率转速(rpm),4600-5000,4600-5000,4600-5000,4600-5000,4000,4000,4000,4000,4000,4000,4000
最大扭矩(N·m)_y,230,230,230,230,350,350,350,350,350,350,350
最大扭矩转速(rpm),2600-3600,2600-3600,2600-3600,2600-3600,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800,1800-2800
燃料形式,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
燃油标号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-
