,1000107,1000108,1000109,1000110,1000111,1000112,1000113,1000114,1001534,1001535,1001536,1001537
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,日产D22 2011款 2.5T柴油两驱标准型,日产D22 2011款 2.5T柴油两驱高级型,日产D22 2011款 2.5T柴油四驱标准型,日产D22 2011款 2.5T柴油四驱高级型,日产D22 2011款 2.4L汽油两驱标准型,日产D22 2011款 2.4L汽油两驱高级型,日产D22 2011款 2.4L汽油四驱标准型,日产D22 2011款 2.4L汽油四驱高级型,日产D22 2013款 2.4L汽油两驱标准型,日产D22 2013款 2.4L汽油两驱高级型,日产D22 2013款 2.4L汽油四驱标准型,日产D22 2013款 2.4L汽油四驱高级型
厂商指导价(元),14.38万,15.88万,17.88万,18.88万,13.88万,15.38万,17.38万,18.38万,14.18万,15.68万,17.68万,18.68万
厂商,郑州日产,郑州日产,郑州日产,郑州日产,郑州日产,郑州日产,郑州日产,郑州日产,郑州日产,郑州日产,郑州日产,郑州日产
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2013.02,2013.02,2013.02,2013.02
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.5T 133马力 L4,2.5T 133马力 L4,2.5T 133马力 L4,2.5T 133马力 L4,2.4L 150马力 L4,2.4L 150马力 L4,2.4L 150马力 L4,2.4L 150马力 L4,2.4L 150马力 L4,2.4L 150马力 L4,2.4L 150马力 L4,2.4L 150马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4980×1690×1650,4980×1690×1650,4980×1820×1715,4980×1820×1715,4980×1690×1650,4980×1690×1650,4980×1820×1725,4980×1820×1725,4980×1690×1650,4980×1690×1650,4980×1820×1725,4980×1820×1725
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),155,155,150,150,155,155,150,150,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980
宽度(mm),1690,1690,1820,1820,1690,1690,1820,1820,1690,1690,1820,1820
高度(mm),1650,1650,1715,1715,1650,1650,1725,1725,1650,1650,1725,1725
轴距(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
前轮距(mm),1415,1415,1545,1545,1415,1415,1545,1545,1415,1415,1545,1545
后轮距(mm),1410,1410,1525,1525,1410,1410,1525,1525,1410,1410,1525,1525
最小离地间隙(mm),210,210,215,215,210,210,215,215,210,210,215,215
整备质量(kg),1590,1590,1765,1765,1475,1475,1665,1665,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60
货箱尺寸(mm),1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430,1395x1390x430
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱
前悬架类型,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
后悬架类型,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,245/70 R16,245/70 R16
后轮胎规格,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,245/70 R16,245/70 R16
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),2488,2488,2488,2488,2388,2388,2388,2388,2388,2388,2388,2388
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),133,133,133,133,150,150,150,150,150,150,150,150
最大功率(kW)_y,98,98,98,98,110,110,110,110,110,110,110,110
最大功率转速(rpm),3600,3600,3600,3600,4800,4800,4800,4800,4800,4800,4800,4800
最大扭矩(N·m)_y,294,294,294,294,208,208,208,208,208,208,208,208
最大扭矩转速(rpm),2000,2000,2000,2000,3600,3600,3600,3600,3600,3600,3600,3600
燃料形式,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国III,国III,国III,国III,国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-
