Feature,1005218,1005219,1005220,1005221,1005222,1005223,1005224,1005225,1005401,1005402,1005403,1005404,1005405
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,4挡自动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,4JB1T-4B1,4G69S4N,4JB1T-4B1,4G69S4N,4JB1T-4B1,4G69S4N,4JB1T-4B1,4G69S4N,4G63TS4T,4G63TS4T,4G63TS4T,D19TCIE2,D19TCIE2
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.8T 109马力 L4,2.4L 131马力 L4,2.8T 109马力 L4,2.4L 131马力 L4,2.8T 109马力 L4,2.4L 131马力 L4,2.8T 109马力 L4,2.4L 131马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,1.9T 150马力 L4,1.9T 150马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),12.98万,11.58万,12.38万,10.78万,11.58万,10.18万,10.98万,9.38万,10.78万,10.98万,9.68万,12.38万,10.98万
厂商,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车,卡威汽车
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮距(mm),1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
前轮胎规格,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-
全景摄像头,-,-,-,-,-,-,-,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-,-,-,-,-,-,-,-
倒车视频影像,●,●,●,●,●,●,●,●,●,●,●,●,●
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,○,○,○,○
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,-,-,-,-,-
上坡辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
CD/DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,-,单碟DVD,单碟DVD,单碟DVD,单碟DVD
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-
