Feature,52356,52357,52359,52360,52554,52555,52556,52557,58505,59463,59464,59465,59540
车道保持辅助系统,○,○,○,-,○,-,○,-,○,○,○,-,○
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,掀背车,硬顶跑车,硬顶跑车,软顶敞篷车,软顶敞篷车,软顶敞篷车,掀背车,掀背车,掀背车,硬顶跑车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座软顶敞篷车,5门5座掀背车,5门5座掀背车,5门5座掀背车,2门4座硬顶跑车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车型名称,奥迪A5 2022款 Sportback 40 TFSI 时尚致雅型,奥迪A5 2022款 Sportback 40 TFSI 时尚动感型,奥迪A5 2022款 Sportback 40 TFSI quattro 豪华动感型,奥迪A5 2022款 Sportback 45 TFSI quattro 臻选动感型,奥迪A5 2022款 Coupe 40 TFSI 时尚动感型,奥迪A5 2022款 Coupe 45 TFSI quattro 臻选动感型,奥迪A5 2022款 Cabriolet 40 TFSI 时尚动感型,奥迪A5 2022款 Cabriolet 45 TFSI quattro 臻选动感型,奥迪A5 2023款 Cabriolet 40 TFSI 时尚动感型,奥迪A5 2023款 Sportback 40 TFSI 时尚动感型,奥迪A5 2023款 Sportback 40 TFSI quattro 豪华动感型,奥迪A5 2023款 Sportback 45 TFSI quattro 臻选动感型,奥迪A5 2023款 Coupe 40 TFSI 时尚动感型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,○,○,○,●,○,●,○,●,○,○,○,●,○
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,,,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,,,,,,,,,,,,
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,-,-,-,-,-,●,●,●,-
电动后备厢,●,●,●,●,-,-,-,-,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,,,,,,,,,,,,,
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,
油箱容积(L),54,54,58,58,54,58,54,58,54,54,58,58,54
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),244,244,241,250,243,250,237,250,237,244,241,250,243
最大马力(Ps),204,204,204,252,204,252,204,252,204,204,204,265,204
最大满载质量(kg),2095,2095,2170,2165,2015,2065,2145,2210,2145,2095,2170,2170,2015
最大扭矩转速(rpm),-,-,-,1600-4500,-,1600-4500,-,1600-4500,-,-,-,-,-
最大扭矩(N·m)_y,320,320,320,370,320,370,320,370,320,320,320,370,320
最大扭矩(N·m)_x,320,320,320,370,320,370,320,370,320,320,320,370,320
最大功率转速(rpm),-,-,-,5000-6000,-,5000-6000,-,5000-6000,-,-,-,-,-
最大功率(kW)_y,150,150,150,185,150,185,150,185,150,150,150,195,150
最大功率(kW)_x,150,150,150,185,150,185,150,185,150,150,150,195,150
最大净功率(kW),150,150,150,185,150,185,150,185,150,150,150,195,150
无钥匙进入功能,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,○,○,○,○,○,○,○,○,○,○,○,○,○
方向盘位置调节,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1625,1625,1700,1705,1595,1665,1725,1810,1725,1625,1700,1720,1595
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
换挡形式,,,,,,,,,,,,,
挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,,,
扬声器品牌名称,,,,,,,,,,,,,
手机无线充电功能,,,,,,,,,,,,,
手机互联/映射,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,,,,,,,,,,,
感应后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材质,,,,,,,,,,,,,
座位数(个),5,5,5,5,4,4,4,4,4,5,5,5,4
并线辅助,○,○,○,○,○,○,○,○,○,○,○,○,○
巡航系统,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1843,1843,1843,1843,1846,1846,1846,1846,1846,1843,1843,1843,1846
官方0-100km/h加速(s),7.7,7.7,7.5,6.4,7.6,6.2,7.9,6.6,7.9,7.7,7.5,6.4,7.7
安全带未系提醒,,,,,,,,,,,,,
头颈暖风系统,-,-,-,-,-,-,-,-,○,-,-,-,-
天窗类型,,,,,,,-,-,-,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,适时四驱,适时四驱,-,适时四驱,-,适时四驱,-,-,适时四驱,适时四驱,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,245/40 R18,245/40 R18,255/35 R19,255/35 R19,245/40 R18,255/35 R19,245/40 R18,255/35 R19,245/40 R18,245/40 R18,255/35 R19,255/35 R19,245/40 R18
后方碰撞预警,○,○,○,○,○,○,○,○,○,○,○,○,○
后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,○,○,-,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,○,○,○,○,○,○,○,○,○,○,○,○,○
可变悬架功能,,,,,,,,,,,,,
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,DMS,DMS,DMS,DLH,DMS,DLH,DMS,DLH,DMS,DMS,DMS,-,DMS
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 252马力 L4,2.0T 204马力 L4,2.0T 252马力 L4,2.0T 204马力 L4,2.0T 252马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 265马力 L4,2.0T 204马力 L4
厂商指导价(元),37.98万,37.98万,41.28万,48.88万,37.98万,48.88万,48.48万,55.98万,48.48万,38.58万,41.88万,49.88万,37.98万
厂商,奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口)
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,245/40 R18,245/40 R18,255/35 R19,255/35 R19,245/40 R18,255/35 R19,245/40 R18,255/35 R19,245/40 R18,245/40 R18,255/35 R19,255/35 R19,245/40 R18
前方碰撞预警,○,○,○,●,○,●,○,●,○,○,○,●,○
前排座椅功能,,,,,,,,,,,,,
前悬架类型,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架
前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●,●,●
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-
内后视镜功能,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●
倒车车侧预警系统,○,○,○,○,○,○,○,○,○,○,○,○,○
供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,直喷,混合喷射
主座椅调节方式,,,,,,,,,,,,,
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-
主动闭合式进气格栅,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,○,○,○,●,○,●,○,●,○,○,○,●,○
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,
中央差速器结构,-,-,多片离合器,多片离合器,-,多片离合器,-,多片离合器,-,-,多片离合器,多片离合器,-
上市时间,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2021.09,2022.09,2022.09,2022.09,2022.09,2022.09
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),6.88,6.88,7.09,7.28,6.79,7.38,7.17,7.76,7.08,6.7,7.08,7.3,6.31
USB/Type-C接口数量,,,,,,,,,,,,,
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-
NEDC综合油耗(L/100km),6.4,6.4,7,7.2,6.3,7,6.5,7.2,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,○,○,○,○,○,○,○,○,○,○,○,○,○
ETC装置,-,-,-,-,-,-,-,-,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,,,,,
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-
