Feature,26908,26909,26910,26911,26912,33900,34182,37879,38076
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,○,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB,USB,USB,USB
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●
后轮距(mm),1615,1615,1615,1615,1615,-,-,-,-
后轮胎规格,215/70 R16,215/70 R16,225/60 R17,235/55 R18,235/55 R18,225/55 R18,225/60 R17,225/55 R18,225/55 R18
后视镜记忆,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,●,●,●,●,-,●,●
后视镜加热,-,-,-,-,-,●,-,●,●
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,-,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后座出风口,-,-,●,●,●,●,-,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT)
变速箱,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手动,7挡双离合,7挡双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-
发动机型号,-,-,-,-,-,G4NA,G4NA,-,-
发动机启停技术,-,-,-,-,-,●,●,●,●
发动机,2.0L 165马力 L4,2.0L 165马力 L4,2.0L 165马力 L4,2.0L 165马力 L4,2.0L 165马力 L4,2.0L 160马力 L4,2.0L 160马力 L4,1.4T 140马力 L4,1.4T 140马力 L4
压缩比,-,-,-,-,-,-,-,-,-
厂商指导价(元),14.48万,15.88万,17.28万,17.78万,18.98万,13.99万,11.99万,13.79万,14.49万
厂商,东风悦达起亚,东风悦达起亚,东风悦达起亚,东风悦达起亚,东风悦达起亚,东风悦达起亚,东风悦达起亚,东风悦达起亚,东风悦达起亚
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●
前轮距(mm),1614,1614,1614,1614,1614,-,-,-,-
前轮胎规格,215/70 R16,215/70 R16,225/60 R17,235/55 R18,235/55 R18,225/55 R18,225/60 R17,225/55 R18,225/55 R18
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-,前○&nbsp;/&nbsp;后-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后○,-,-,前○&nbsp;/&nbsp;后○
前/后排头部气囊(气帘),-,-,-,-,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,-,-,前○&nbsp;/&nbsp;后○
前/后排侧气囊,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),-,-,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-
全景摄像头,-,-,-,-,-,-,-,-,○
全景天窗,-,-,-,●,●,●,-,-,●
倒车视频影像,-,-,●,●,●,●,-,●,●
侧滑门,-,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷
主动降噪,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,○,-,-,○
主/副驾驶座电动调节,-,-,-,-,主○&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-
中控台彩色大屏尺寸,-,-,-,-,-,8英寸,-,8英寸,8英寸
中控台彩色大屏,-,-,○,-,●,●,-,●,●
中央差速器锁止功能,-,-,-,-,-,-,-,-,-
上市时间,2016.06,2016.06,2016.06,2016.06,2016.06,2018.04,2018.04,2019.03,2019.03
上坡辅助,-,-,●,●,●,●,●,●,●
LED日间行车灯,-,-,●,●,●,●,-,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,○,-,●,●,-,-,●
CD/DVD,单碟CD,单碟CD,单碟CD(选装单碟DVD),单碟CD,单碟DVD,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-
