Feature,43182,43183,43184,43185,43186,43187,43188,43189,46521,46522,56464,56541,56683,57034,57035,57036,57037,57038,57039,62201
最大功率(kW)_y,122,122,122,122,122,122,122,122,122,122,162,162,162,162,162,162,162,162,162,162
最大功率(kW)_x,122,122,122,122,122,122,122,122,122,122,162,162,162,162,162,162,162,162,162,162
最大净功率(kW),120,120,120,120,120,120,120,120,120,120,160,160,160,160,160,160,160,160,160,160
无钥匙进入功能,-,-,,,-,-,,,,,,,,,,,,,,
无钥匙启动系统,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或6万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2005,2030,2005,2030,2105,2130,2105,2130,2105,2130,2000,2000,1905,1925,1905,1925,2000,2030,2030,2000
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
接近角(°),26,26,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28
排量(mL),1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997
换挡形式,,,,,,,,,,,,,,,,,,,,
挡位个数,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8
扬声器数量,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
手机互联/映射,-,-,,,-,-,,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,,,-,-,,,,,,,-,-,,,-,-,,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,
座椅布局,-,,-,,-,,-,,-,,-,-,-,,-,,-,,,-
座位数(个),5,7,5,7,5,7,5,7,5,7,5,5,5,7,5,7,5,7,7,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,-,-,●,●,-,-,●,●,●,●,●,●,-,-,●,●,-,-,●,-
多层隔音玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
四驱形式,-,-,-,-,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,分时四驱,-,-,-,-,分时四驱,分时四驱,分时四驱,分时四驱
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
后轮胎规格,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/65 R17,255/65 R17,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
发动机电子防盗,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L
发动机启停技术,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
发动机,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7
厂商指导价(元),18.18万,18.78万,19.88万,20.48万,21.28万,21.88万,22.98万,23.58万,24.78万,25.38万,27.98万,21.48万,16.68万,17.28万,18.38万,18.98万,19.78万,20.38万,22.08万,20.58万
厂商,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃
卫星导航系统,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力
加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
前轮胎规格,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/65 R17,255/65 R17,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18,255/60 R18
前排座椅功能,-,-,,,-,-,,,,,,,-,-,,,-,-,,-
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
