Feature,48454,48455,48456,48458,54386,54387,54388,57820,57923,57924,57925,57926,57927,57928,63007,63648,63649,63650,63651,63652,63653
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,●,●,●,●,-,-,-,●,●,●,-,-,-,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,
车型名称,名爵5 2021款 180DVVT 手动青春风尚版,名爵5 2021款 180DVVT CVT青春风尚版,名爵5 2021款 180DVVT 手动青春豪华版,名爵5 2021款 300TGI DCT青奢风潮版,名爵5 2021款 改款 180DVVT CVT青春豪华版,名爵5 2021款 改款 300TGI DCT青奢豪享版,名爵5 2021款 改款 300TGI DCT青奢旗舰版,名爵5 2022款 300TGI DCT潮越旗舰版,名爵5 2022款 180DVVT 手动青春风尚版,名爵5 2022款 180DVVT 手动青春豪华版,名爵5 2022款 180DVVT CVT青春风尚版,名爵5 2022款 180DVVT CVT青春豪华版,名爵5 2022款 180DVVT CVT青春旗舰版,名爵5 2022款 300TGI DCT潮越豪享版,名爵5 2023款 180DVVT 手动风尚版,名爵5 2023款 180DVVT 手动豪华版,名爵5 2023款 180DVVT CVT风尚版,名爵5 2023款 180DVVT CVT豪华版,名爵5 2023款 180DVVT CVT旗舰版,名爵5 2023款 300TGI DCT豪享版,名爵5 2023款 300TGI DCT旗舰版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,,,,,,,-,,-,,,,-,,-,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,●,-,●
自动驻车,-,●,-,●,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铝合金,铸铁,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,5挡手动,CVT无级变速(模拟8挡),5挡手动,7挡湿式双离合,CVT无级变速(模拟8挡),7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,5挡手动,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,5挡手动,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,
离去角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),45,45,45,45,45,45,45,50,50,50,50,50,50,50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),185,180,185,200,180,200,200,200,185,185,180,180,180,200,185,185,180,180,180,200,200
最大马力(Ps),120,120,120,173,120,173,173,173,120,120,120,120,120,173,129,129,129,129,129,181,181
最大满载质量(kg),1644,1699,1644,1757,1699,1757,1757,1757,1644,1644,1699,1699,1699,1757,1644,1644,1699,1699,1699,1754,1754
最大扭矩转速(rpm),4500,4500,4500,1750-4000,4500,1750-4000,1750-4000,1750-4000,4500,4500,4500,4500,4500,1750-4000,4500,4500,4500,4500,4500,1500-4000,1500-4000
最大扭矩(N·m)_y,150,150,150,275,150,275,275,275,150,150,150,150,150,275,158,158,158,158,158,285,285
最大扭矩(N·m)_x,150,150,150,275,150,275,275,275,150,150,150,150,150,275,158,158,158,158,158,285,285
最大功率转速(rpm),6000,6000,6000,5600,6000,5600,5600,5600,6000,6000,6000,6000,6000,5600,6000,6000,6000,6000,6000,5600,5600
最大功率(kW)_y,88,88,88,127,88,127,127,127,88,88,88,88,88,127,95,95,95,95,95,133,133
最大功率(kW)_x,88,88,88,127,88,127,127,127,88,88,88,88,88,127,95,95,95,95,95,133,133
最大净功率(kW),84,84,84,121,84,121,121,121,84,84,84,84,84,121,90,90,90,90,90,133,133
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,●,●,●,-,-,-,-,-,●,-,-,-,-,-,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1205,1260,1205,1318,1260,1318,1318,1318,1205,1205,1260,1260,1260,1318,1205,1205,1260,1260,1260,1315,1315
接近角(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
排量(mL),1498,1498,1498,1490,1498,1490,1490,1490,1498,1498,1498,1498,1498,1490,1495,1495,1495,1495,1495,1490,1490
换挡形式,,,,,,,,,,,,,,,,,,,,,
挡位个数,5,8,5,7,8,7,7,7,5,5,8,8,8,7,5,5,8,8,8,7,7
扬声器数量,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,-,-,,-,
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,,,,,-,-,-,-,,,,-,-,-,,,,-,-,-,-
手机APP远程功能,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,●,●,●,●,-,-,-,●,●,●,-,-,-,●,●,●,●
宽度(mm),1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,,,,,,,-,,-,,,,-,,-,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1574,1574,1574,1563,1574,1563,1563,1563,1574,1574,1574,1574,1574,1563,1574,1574,1574,1574,1574,1563,1563
后轮胎规格,205/55 R16,205/55 R16,205/55 R16,215/50 R17,205/55 R16,215/50 R17,215/50 R17,215/50 R17,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,215/50 R17,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,215/50 R17,215/50 R17
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,-,-,●,-,●,●,●,●,-,●,-,●,●,●,-,●,-,●,●,●,●
后备厢容积(L),401,401,401,401,401,401,401,401,401,401,401,401,401,401,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,手动变速箱(MT),无级变速箱(CVT),手动变速箱(MT),湿式双离合变速箱(DCT),无级变速箱(CVT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),湿式双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,5挡手动,CVT无级变速(模拟8挡),5挡手动,7挡湿式双离合,CVT无级变速(模拟8挡),7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,5挡手动,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,5挡手动,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,15S4C,15S4C,15S4C,15C4E,15S4C,15C4E,15C4E,15C4E,15S4C,15S4C,15S4C,15S4C,15S4C,15C4E,15FCD,15FCD,15FCD,15FCD,15FCD,15C4E,15C4E
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5T 173马力 L4,1.5L 120马力 L4,1.5T 173马力 L4,1.5T 173马力 L4,1.5T 173马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5T 173马力 L4,1.5L 129马力 L4,1.5L 129马力 L4,1.5L 129马力 L4,1.5L 129马力 L4,1.5L 129马力 L4,1.5T 181马力 L4,1.5T 181马力 L4
厂商指导价(元),6.79万,7.79万,7.29万,8.89万,8.29万,9.29万,9.99万,9.99万,6.79万,7.29万,7.79万,8.29万,8.89万,9.29万,6.79万,7.29万,7.79万,8.29万,8.89万,9.29万,9.99万
厂商,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团
卫星导航系统,-,-,-,-,●,●,●,●,-,-,-,●,●,●,-,-,-,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1570,1570,1570,1559,1570,1559,1559,1559,1570,1570,1570,1570,1570,1559,1570,1570,1570,1570,1570,1559,1559
前轮胎规格,205/55 R16,205/55 R16,205/55 R16,215/50 R17,205/55 R16,215/50 R17,215/50 R17,215/50 R17,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,215/50 R17,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,215/50 R17,215/50 R17
前方碰撞预警,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,●,-,●
前排座椅功能,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,-,-,,-,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后●
前/后排侧气囊,-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,●,●,-,-,-,-,●,-,-,-,-,-,●,-,●
内后视镜功能,,,,,,,,,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,直喷,多点电喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,●,●,-,-,-,-,●,-,-,-,-,-,●,-,●
主/副驾驶座电动调节,-,-,-,-,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,-,-,主●&nbsp;/&nbsp;副-,-,-,-,-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,,,,,
中央差速器结构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2020.11,2020.11,2020.11,2020.11,2021.11,2021.11,2021.11,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2023.05,2023.07,2023.07,2023.07,2023.07,2023.07,2023.07
上坡辅助,-,-,-,●,-,●,●,●,-,-,-,-,-,●,-,-,-,-,-,●,●
WLTC综合油耗(L/100km),-,6.5,-,-,6.5,-,-,-,-,-,6.5,6.5,6.5,-,5.98,5.98,6.38,6.38,6.38,6.47,6.47
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,,,,
OTA升级,-,-,-,-,●,●,●,●,-,-,-,●,●,●,-,-,-,●,●,●,●
NEDC综合油耗(L/100km),5.6,5.7,5.6,5.9,5.7,5.9,5.9,5.9,5.6,5.6,5.7,5.7,5.7,5.9,-,-,-,-,-,-,-
LED日间行车灯,-,-,●,●,●,●,●,●,-,●,-,●,●,●,-,●,-,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
