Feature,26012,27615,27723,30347,30348,30349,30350,30351,30352,32773,32835,32836,33967,33969,33970,33971,33972,33973,33974,35678,35942,36503,36504,36505,36506,36507,36508,36509,36510,36511,36512
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门2座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,瑞风M4 2016款 2.0L 手动豪华智能型,瑞风M4 2016款 2.0L 手动舒适型,瑞风M4 2016款 2.0L 手动豪华型,瑞风M4 2017款 2.0T 手动舒适型,瑞风M4 2017款 2.0T 手动豪华型,瑞风M4 2017款 2.0T 手动豪华智能型,瑞风M4 2017款 1.9T 柴油 手动舒适型,瑞风M4 2017款 1.9T 柴油 手动豪华型,瑞风M4 2017款 1.9T 柴油 手动豪华智能型,瑞风M4 2018款 1.5T 手动混合动力豪华智能型,瑞风M4 2018款 1.5T 手动混合动力舒适型,瑞风M4 2018款 1.5T 手动混合动力豪华型,瑞风M4 2018款 2.0L 手动速运版,瑞风M4 2018款 商务版 1.5T 手动豪华型,瑞风M4 2018款 商务版 1.5T 手动豪华智能型,瑞风M4 2018款 商务版 1.5T 手动智能尊享型,瑞风M4 2018款 商务版 1.5T 手动混合动力豪华型,瑞风M4 2018款 商务版 1.5T 手动混合动力豪华智能型,瑞风M4 2018款 商务版 1.5T 手动混合动力智能尊享型,瑞风M4 2018款 2.0T DCT行政版,瑞风M4 2018款 2.0T 手动行政版,瑞风M4 2019款 2.0L 手动盲窗版,瑞风M4 2019款 2.0L 手动速运版,瑞风M4 2019款 2.0L 手动舒适型,瑞风M4 2019款 2.0L 手动商务型,瑞风M4 2019款 1.9T 柴油 手动舒适型,瑞风M4 2019款 1.9T 柴油 手动商务型,瑞风M4 2019款 1.5T 手动混合动力舒适型,瑞风M4 2019款 1.5T 手动混合动力商务型,瑞风M4 2019款 2.0T 手动行政版,瑞风M4 2019款 2.0T DCT行政版
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,油电混合,油电混合,汽油,汽油
胎压监测装置,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
系统综合扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
系统综合功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡双离合,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,-,3座,3座,3座,3座,3座,3座,3座,3座,3座
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,待查,待查,待查,-,-,-,-,待查,待查,待查,-,-,-,-,-,-,-,-,待查,待查,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,55,55,55,-,-,-,-,55,55,55,-,-,-,-,-,-,-,-,55,55,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,12,12,12,-,-,-,-,12,12,12,-,-,-,-,-,-,-,-,12,12,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,-,-,-,-,●,-,-,●,●,-,-,-,-,●,●,-,●,●,●,●,-,-,-,○,-,○,-,○,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,-,-
燃油标号,92号,92号,92号,92号,92号,92号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,油电混合,油电混合,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80,75,75,75,75,75,75,75,75,80,80,80,80,80,80,80,80,75,75
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),155,155,155,170,170,170,170,170,170,170,170,170,155,170,170,170,170,170,170,170,170,155,155,155,155,170,170,170,170,170,170
最小离地间隙(mm),160,160,160,150,150,150,150,150,150,150,150,150,160,150,150,150,150,150,150,150,150,160,160,160,160,150,150,150,150,150,150
最大马力(Ps),147,147,147,190,190,190,139,139,139,174,174,174,147,174,174,174,174,174,174,190,190,147,147,147,147,139,139,174,174,190,190
最大扭矩转速(rpm),4000-4500,4000-4500,4000-4500,1800-4000,1800-4000,1800-4000,2200-2600,2200-2600,2200-2600,1500-4500,1500-4500,1500-4500,4000-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1800-4000,1800-4000,4000-4500,4000-4500,4000-4500,4000-4500,2200-2600,2200-2600,1500-4500,1500-4500,1800-4000,1800-4000
最大扭矩(N·m)_y,196,196,196,290,290,290,310,310,310,251,251,251,196,251,251,251,251,251,251,290,290,196,196,196,196,310,310,251,251,290,290
最大扭矩(N·m)_x,196,196,196,290,290,290,310,310,310,-,-,-,196,251,251,251,-,-,-,290,290,196,196,196,196,310,310,-,-,290,290
最大功率转速(rpm),6000,6000,6000,5000,5000,5000,4000,4000,4000,5500,5500,5500,6000,5500,5500,5500,5500,5500,5500,5000,5000,6000,6000,6000,6000,4000,4000,5500,5500,5000,5000
最大功率(kW)_y,108,108,108,140,140,140,102,102,102,128,128,128,108,128,128,128,128,128,128,140,140,108,108,108,108,102,102,128,128,140,140
最大功率(kW)_x,108,108,108,140,140,140,102,102,102,-,-,-,108,128,128,128,-,-,-,140,140,108,108,108,108,102,102,-,-,140,140
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,-,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
整备质量(kg),1950,1950,1950,2005,2005,2005,2020,2020,2020,1995,1995,1995,1950,2010,2010,2010,1995,1995,1995,2115,2005,1908,1950,1950,1950,2020,2020,1995,1995,2005,2115
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1997,1997,1997,1997,1997,1997,1947,1947,1947,1499,1499,1499,1997,1499,1499,1499,1499,1499,1499,1997,1997,1997,1997,1997,1997,1947,1947,1499,1499,1997,1997
挡位个数,5,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,4-5喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭
手机无线充电,●,-,-,-,-,●,-,-,●,●,-,-,-,-,●,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
座椅材料,仿皮,织物,织物,织物,织物,仿皮,织物,织物,仿皮,仿皮,织物,织物,织物,织物,仿皮,仿皮,织物,仿皮,仿皮,仿皮,仿皮,织物,织物,织物,织物(选装仿皮),织物,织物(选装仿皮),织物,织物(选装仿皮),仿皮,仿皮
座位数(个),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),9.5,9.5,9.5,10.1,10.1,10.1,8,8,8,8,8,8,9.5,9.4,9.4,9.4,8,8,8,-,10.1,10,9.5,9.5,9.5,8,8,8,8,10.1,10.6
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
定速巡航,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,-,●,-,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,-,●,-,●,●,●
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
后轮距(mm),1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545
后轮胎规格,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 ,205/70 R15 ,215/65 R16,215/65 R16,215/65 R16,205/70 R15 ,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,205/70 R15 ,205/70 R15 ,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16,215/65 R16
