Feature,1012400,1012401,1012402,1012403,1012404,1012405,1012409,1012410,1012411,1012412,1012413,1012414,1012415,1012416,1012417,1012421,1012422,1012423,1012424,1012425,1012426,1012427,1012428,1012429,1012430,1012431,1012432,1012433,1012434,1012435,1012436,1012437,1012438,1012439,1012440,1012441,1012442,1012443,1012444,1012445,1012446,1012447,1012448,1012449,1012450,1012451,1012452,1012453,1012454,1012455,1012456,1012457,1012458,1012459,1012460,1012461,1012462,1012463
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,跨越王X3 2021款 1.6L舒适型单排单后轮3200mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型单排单后轮厢式运输车3185mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型单排单后轮仓栅式运输车3200mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排单后轮2710mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排单后轮厢式运输车2695mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排单后轮仓栅式运输车2710mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排单后轮2550mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排单后轮厢式运输车2535mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排单后轮仓栅式运输车2550mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排单后轮3200mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排单后轮厢式运输车3185mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排单后轮仓栅式运输车3200mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排单后轮2710mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排单后轮厢式运输车2695mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排单后轮仓栅式运输车2710mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排单后轮2550mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排单后轮厢式运输车2535mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排单后轮仓栅式运输车2550mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型单排双后轮3200mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型单排双后轮3300mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型单排双后轮厢式运输车3185mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型单排双后轮厢式运输车3285mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型单排双后轮仓栅式运输车3200mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型单排双后轮仓栅式运输车3300mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排双后轮2550mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排双后轮2710mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排双后轮厢式运输车2535mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排双后轮厢式运输车2695mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排双后轮仓栅式运输车2550mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型双排双后轮仓栅式运输车2710mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排双后轮3200mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排双后轮3300mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排双后轮厢式运输车3185mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排双后轮厢式运输车3285mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排双后轮仓栅式运输车3200mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型单排双后轮仓栅式运输车3300mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排双后轮2550mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排双后轮2710mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排双后轮厢式运输车2535mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排双后轮厢式运输车2695mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排双后轮仓栅式运输车2550mm货箱DAM16KR,跨越王X3 2021款 1.6L标准型双排双后轮仓栅式运输车2710mm货箱DAM16KR,跨越王X3 2021款 1.6L舒适型CNG单排单后轮3200mm货箱DAM16KRC,跨越王X3 2021款 1.6L舒适型CNG单排单后轮3300mm货箱DAM16KRC,跨越王X3 2021款 1.6L舒适型CNG双排单后轮2550mm货箱DAM16KRC,跨越王X3 2021款 1.6L舒适型CNG双排单后轮2710mm货箱DAM16KRC,跨越王X3 2021款 1.6L舒适型CNG双排单后轮厢式运输车2535mm货箱DAM16KRC,跨越王X3 2021款 1.6L舒适型CNG双排单后轮厢式运输车2695mm货箱DAM16KRC,跨越王X3 2021款 1.6L标准型CNG单排单后轮3200mm货箱DAM16KRC,跨越王X3 2021款 1.6L标准型CNG单排单后轮3300mm货箱DAM16KRC,跨越王X3 2021款 1.6L标准型CNG双排单后轮2550mm货箱DAM16KRC,跨越王X3 2021款 1.6L标准型CNG双排单后轮2710mm货箱DAM16KRC,跨越王X3 2021款 1.6L标准型CNG双排单后轮厢式运输车2535mm货箱DAM16KRC,跨越王X3 2021款 1.6L标准型CNG双排单后轮厢式运输车2695mm货箱DAM16KRC,跨越王X3 2021款 1.6L舒适型CNG单排单后轮厢式运输车3185mm货箱DAM16KRC,跨越王X3 2021款 1.6L舒适型CNG单排单后轮厢式运输车3285mm货箱DAM16KRC,跨越王X3 2021款 1.6L标准型CNG单排单后轮厢式运输车3185mm货箱DAM16KRC,跨越王X3 2021款 1.6L标准型CNG单排单后轮厢式运输车3285mm货箱DAM16KRC
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,●,●,○,○,○,○,○,○,●,●,○,○
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3200x1600x360,3185x1650x1750,3200x1600x360,2710x1600x360,2695x1650x1650,2710x1600x360,2550x1600x360,2535x1620x1550,2550x1600x360,3200x1600x360,3185x1650x1750,3200x1600x360,2710x1600x360,2695x1650x1650,2710x1600x360,2550x1600x360,2535x1620x1550,2550x1600x360,3200x1680x360,3300x1680x360,3185x1700x1650,3285x1730x1750,3200x1680x360,3300x1680x360,2550x1680x360,2710x1680x360,2535x1700x1550,2695x1730x1650,2550x1680x360,2710x1680x360,3200x1680x360,3300x1680x360,3185x1700x1650,3285x1730x1750,3200x1680x360,3300x1680x360,2550x1680x360,2710x1680x360,2535x1700x1550,2695x1730x1650,2550x1680x360,2710x1680x360,3200x1680x360,3300x1680x360,2550x1680x360,2710x1680x360,2535x1700x1650,2695x1730x1650,3200x1680x360,3300x1680x360,2550x1680x360,2710x1680x360,2535x1700x1650,2695x1730x1650,3185x1700x1650,3285x1730x1750,3185x1700x1650,3285x1730x1750
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
