Feature,31824,31887,31888,32700,32701,32702,32703,32704,32705,37894,37895,37896,37897,37898,37899,37900,37901,37902,37903,37904,37905,37906,37928,37929,37930,37931,37932,37933,37934
车型名称,凯美瑞 2018款 2.5HQ 旗舰版,凯美瑞 2018款 2.5S 锋尚版,凯美瑞 2018款 2.5Q 旗舰版,凯美瑞 2018款 2.0E 精英版,凯美瑞 2018款 2.0E 领先版,凯美瑞 2018款 2.0G 豪华版,凯美瑞 2018款 2.5G 豪华版,凯美瑞 2018款 2.5HG 豪华版,凯美瑞 2018款 2.0S 锋尚版,凯美瑞 2019款 2.0E 精英版 国VI,凯美瑞 2019款 2.0E 领先版 国VI,凯美瑞 2019款 2.0G 豪华版 国VI,凯美瑞 2019款 2.5G 豪华版 国VI,凯美瑞 2019款 2.5Q 旗舰版 国VI,凯美瑞 2019款 2.5HG 豪华版 国V,凯美瑞 2019款 2.5HQ 旗舰版 国V,凯美瑞 2019款 2.5HS 锋尚版 国V,凯美瑞 2019款 2.0S 锋尚版 国VI,凯美瑞 2019款 2.5S 锋尚版 国VI,凯美瑞 2019款 2.5HG 豪华版 国VI,凯美瑞 2019款 2.5HQ 旗舰版 国VI,凯美瑞 2019款 2.5HS 锋尚版 国VI,凯美瑞 2019款 2.0E 精英版 国V,凯美瑞 2019款 2.0E 领先版 国V,凯美瑞 2019款 2.0G 豪华版 国V,凯美瑞 2019款 2.5G 豪华版 国V,凯美瑞 2019款 2.5Q 旗舰版 国V,凯美瑞 2019款 2.0S 锋尚版 国V,凯美瑞 2019款 2.5S 锋尚版 国V
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),103.4,103.4,103.4,86,86,86,103.4,103.4,86,97.6,97.6,97.6,103.4,103.4,103.4,103.4,103.4,97.6,103.4,103.4,103.4,103.4,97.6,97.6,97.6,103.4,103.4,97.6,103.4
行李厢容积(L),593,620,593,593,620,620,620,620,620,593,620,620,620,593,620,593,620,620,620,620,593,620,593,620,620,620,593,620,620
蓝牙/车载电话,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
自适应远近光,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
自适应巡航,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●
能源类型,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,-,●,-,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),87.5,87.5,87.5,86,86,86,87.5,87.5,86,80.5,80.5,80.5,87.5,87.5,87.5,87.5,87.5,80.5,87.5,87.5,87.5,87.5,80.5,80.5,80.5,87.5,87.5,80.5,87.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
系统综合扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
系统综合功率(kW),160,-,-,-,-,-,-,160,-,-,-,-,-,-,160,160,160,-,-,160,160,160,-,-,-,-,-,-,-
简称,E-CVT无级变速,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,E-CVT无级变速,6挡手自一体,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),8挡手自一体,8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),8挡手自一体,8挡手自一体,CVT无级变速(模拟10挡),8挡手自一体
第二排靠背角度调节,●,-,●,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,-,●,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,不限年限/不限里程,-,-,-,-,-,-,不限年限/不限里程,-,-,-,-,-,-,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,-,-,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,-,-,-,-,-,-,-
电池类型,镍氢电池,-,-,-,-,-,-,镍氢电池,-,-,-,-,-,-,镍氢电池,镍氢电池,镍氢电池,-,-,镍氢电池,镍氢电池,镍氢电池,-,-,-,-,-,-,-
电机类型,永磁 / 同步,-,-,-,-,-,-,永磁 / 同步,-,-,-,-,-,-,永磁 / 同步,永磁 / 同步,永磁 / 同步,-,-,永磁 / 同步,永磁 / 同步,永磁 / 同步,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),202,-,-,-,-,-,-,202,-,-,-,-,-,-,202,202,202,-,-,202,202,202,-,-,-,-,-,-,-
电动机总功率(kW),88,-,-,-,-,-,-,88,-,-,-,-,-,-,88,88,88,-,-,88,88,88,-,-,-,-,-,-,-
电动座椅记忆,●,-,●,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,-,●,-,-
电动天窗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),50,60,60,60,60,60,60,50,60,60,60,60,60,60,50,50,50,60,60,49,49,49,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),180,210,210,200,200,200,210,180,200,205,205,205,210,210,180,180,180,205,210,180,180,180,205,205,205,210,210,205,210
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),178,209,209,167,167,169,209,178,169,178,178,178,209,209,178,178,178,178,209,178,178,178,178,178,178,209,209,178,209
最大扭矩转速(rpm),3600-5200,5000,5000,4600,4600,4600,5000,3600-5200,4600,4400-5200,4400-5200,4400-5200,5000,5000,3600-5200,3600-5200,3600-5200,4400-5200,5000,3600-5200,3600-5200,3600-5200,4400-5200,4400-5200,4400-5200,5000,5000,4400-5200,5000
最大扭矩(N·m)_y,221,250,250,199,199,201,250,221,201,210,210,210,250,250,221,221,221,210,250,221,221,221,210,210,210,250,250,210,250
最大扭矩(N·m)_x,-,250,250,199,199,201,250,-,201,210,210,210,250,250,-,-,-,210,250,-,-,-,210,210,210,250,250,210,250
最大功率转速(rpm),5700,6600,6600,6500,6500,6500,6600,5700,6500,6600,6600,6600,6600,6600,5700,5700,5700,6600,6600,5700,5700,5700,6600,6600,6600,6600,6600,6600,6600
最大功率(kW)_y,131,154,154,123,123,124,154,131,124,131,131,131,154,154,131,131,131,131,154,131,131,131,131,131,131,154,154,131,154
最大功率(kW)_x,160,154,154,123,123,124,154,160,124,131,131,131,154,154,160,160,160,131,154,160,160,160,131,131,131,154,154,131,154
无钥匙进入系统,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
无钥匙启动系统,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,●,-,●,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,-,●,-,-
方向盘电动调节,●,-,●,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,-,●,-,-
方向盘换挡,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1690,1565,1605,1530,1545,1560,1580,1660,1565,1530,1550,1555,1585,1610,1665,1695,1650,1560,1570,1665,1695,1650,1530,1550,1555,1585,1610,1560,1570
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),2487,2487,2487,1998,1998,1998,2487,2487,1998,1987,1987,1987,2487,2487,2487,2487,2487,1987,2487,2487,2487,2487,1987,1987,1987,2487,2487,1987,2487
挡位个数,无级变速,8,8,6,6,6,8,无级变速,6,10,10,10,8,8,无级变速,无级变速,无级变速,10,8,无级变速,无级变速,无级变速,10,10,10,8,8,10,8
扬声器品牌,JBL,-,JBL,-,-,-,-,-,-,-,-,-,-,JBL,-,JBL,-,-,-,-,JBL,-,-,-,-,-,JBL,-,-
扬声器个数,8-9喇叭,6-7喇叭,8-9喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,8-9喇叭,6-7喇叭,8-9喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,8-9喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,8-9喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,仿皮+真皮,仿皮+真皮,仿皮+真皮,织物,仿皮+真皮,仿皮+真皮,仿皮+真皮,仿皮+真皮,织物,织物,仿皮+真皮,仿皮+真皮,仿皮+真皮,仿皮+真皮,仿皮+真皮,仿皮+真皮,仿皮+真皮,织物,仿皮+真皮,仿皮+真皮,仿皮+真皮,仿皮+真皮,织物,仿皮+真皮,仿皮+真皮,仿皮+真皮,仿皮+真皮,织物,仿皮+真皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,●,-,●,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,-,●,-,-
工信部综合油耗(L/100km),4.1,6,6,6.3,6.4,6.5,6,4.1,6.6,5.5,5.7,5.7,6,6,4.1,4.1,4.1,5.8,6,4.1,4.1,4.1,5.5,5.7,5.7,6,6,5.8,6
工信部纯电续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840
实测油耗(L/100km),5.1,-,7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),40.22,40.23,34.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),8.44,9.17,8.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
定速巡航,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,●,-,●,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,-,●,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1585,1585,1585,1605,1605,1595,1585,1585,1585,1605,1595,1595,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1605,1595,1595,1585,1585,1585,1585
