,31548,31803,31804,31840,31841,31842,31843,31844,31845,31846,31847,31848,35935,35936,35937,35938,35939,35940,35941
最大功率转速(rpm),5200-6500,5200-6500,5200-6500,4400-6000,5000-6500,5000-6500,4400-6000,5000-6500,5000-6500,5000-6500,5000-6500,5000-6500,5000-6500,5000-6500,5000-6500,5000-6500,5000-6500,5000-6500,5000-6500
最大扭矩(N·m)_y,350,350,350,220,270,270,220,270,270,270,270,270,270,270,270,270,270,270,270
最大扭矩转速(rpm),1450-4800,1450-4800,1450-4800,1250-4300,1350-4600,1350-4600,1250-4300,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱
四驱形式,-,全时四驱,-,-,-,-,-,-,全时四驱,-,-,-,-,-,-,-,-,-,全时四驱
中央差速器结构,-,多片离合器,-,-,-,-,-,-,多片离合器,-,-,-,-,-,-,-,-,-,多片离合器
前悬架类型,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,225/45 R18,225/45 R18,225/45 R18,225/50 R17,225/45 R18,225/45 R18,225/50 R17,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18,225/45 R18
后轮胎规格,255/40 R18,225/45 R18,255/40 R18,225/50 R17,255/40 R18,255/40 R18,225/50 R17,225/45 R18,225/45 R18,255/40 R18,225/45 R18,255/40 R18,255/40 R18,255/40 R18,225/45 R18,255/40 R18,255/40 R18,255/40 R18,225/45 R18
备胎规格,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
