Feature,1007813,1007814,1009245,1009246,1010468,1010469,1010470,1010471,1010472,1010473,1010474,1010475,1012069,1012149,1012150,1012151,1014267,1014268,1014269,1014270,1014271,1014272,1014273,1014274,1014275,1014276,1014277,1014278,1015450,1015731,1015732,1015733,1015734,1015735,1015736,1015737,1015738,1015739,1015782,1015783,1015784,1015785,1015786,1015787
车型名称,五菱荣光新卡 2019款 1.8L双排国VI LJ479Q6,五菱荣光新卡 2019款 1.8L单排国VI LJ479Q6,五菱荣光新卡 2019款 1.5L双排国VI L3C,五菱荣光新卡 2019款 1.5L单排国VI L3C,五菱荣光新卡 2021款 1.5L汽车下乡版LV0加长单排L3C,五菱荣光新卡 2021款 1.5L汽车下乡版LV0加长双排L3C,五菱荣光新卡 2021款 1.8L汽车下乡版LV1加长单排LJ479Q6,五菱荣光新卡 2021款 1.8L汽车下乡版LV1加长双排LJ479Q6,五菱荣光新卡 2021款 1.8L汽车下乡版LV0加长单排LJ479Q6,五菱荣光新卡 2021款 1.8L汽车下乡版LV0加长双排LJ479Q6,五菱荣光新卡 2021款 1.5L汽车下乡版LV1加长单排L3C,五菱荣光新卡 2021款 1.5L汽车下乡版LV1加长双排L3C,五菱荣光新卡 2021款 1.8L基本型单排双后轮LJ479Q6,五菱荣光新卡 2021款 1.8L基本型双排双后轮LJ479Q6,五菱荣光新卡 2021款 1.8L舒适型单排双后轮LJ479Q6,五菱荣光新卡 2021款 1.8L舒适型双排双后轮LJ479Q6,五菱荣光新卡 2022款 1.8L舒适型单排3.0T(吨)LJ479Q6,五菱荣光新卡 2022款 1.8L舒适型双排3.0T(吨)LJ479Q6,五菱荣光新卡 2022款 1.8L基本型单排3.0T(吨)LJ479Q6,五菱荣光新卡 2022款 1.8L基本型双排3.0T(吨)LJ479Q6,五菱荣光新卡 2022款 1.8L标准型加长单排LJ479Q6,五菱荣光新卡 2022款 1.8L标准型加长双排LJ479Q6,五菱荣光新卡 2022款 1.8L基本型加长单排LJ479Q6,五菱荣光新卡 2022款 1.8L基本型加长双排LJ479Q6,五菱荣光新卡 2022款 1.5L标准型加长单排LAR,五菱荣光新卡 2022款 1.5L标准型加长双排LAR,五菱荣光新卡 2022款 1.5L基本型加长单排LAR,五菱荣光新卡 2022款 1.5L基本型加长双排LAR,2023款 2.0L单排基本型LJM20B,2023款 2.0L双排基本型LJM20B,2023款 2.0L单排加长版基本型LJM20B,2023款 2.0L单排加长版标准型LJM20B,2023款 2.0L双排加长版基本型LJM20B,2023款 2.0L双排加长版标准型LJM20B,2023款 2.0L单排双后轮基本型LJM20B,2023款 2.0L单排双后轮舒适型LJM20B,2023款 2.0L双排双后轮基本型LJM20B,2023款 2.0L双排双后轮舒适型LJM20B,五菱荣光新卡 2023款 1.5L单排基本型,五菱荣光新卡 2023款 1.5L双排基本型,五菱荣光新卡 2023款 1.5L单排加长版基本型,五菱荣光新卡 2023款 1.5L双排加长版基本型,五菱荣光新卡 2023款 1.5L单排加长版标准型,五菱荣光新卡 2023款 1.5L双排加长版标准型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2450x1630x360,3150x1630x360,2450x1630x360,3150x1630x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1770x360,2600x1770x360,3300x1770x360,2600x1770x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3150x1630x360,2450x1630x360,3300x1650x360,3300x1650x360,2600x1650x360,2600x1650x360,3300x1770x360,3300x1770x360,2600x1770x360,2600x1770x360,3150x1630x360,2450x1630x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,○,○,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,-,-,-,-,-,-,-,-,-,-,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),105,105,103,103,110,110,115,115,115,115,110,110,100,100,100,100,110,110,110,110,115,115,115,115,110,110,110,110,140,140,140,140,140,140,110,110,110,110,110,110,110,110,110,110
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),125,125,99,99,99,99,125,125,125,125,99,99,125,125,125,125,125,125,125,125,125,125,125,125,102,102,102,102,136,136,136,136,136,136,136,136,136,136,102,102,102,102,102,102
最大载重质量(kg),614,809,585,830,1070,820,1105,910,1105,910,1070,820,1694,1499,1694,1499,1430,1215,1430,1215,930,735,930,735,995,745,995,745,900,650,975,975,720,720,1756,1756,1499,1499,830,585,995,745,995,745
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2995,2995,2995,2995,2670,2670,2670,2670,2495,2495,2495,2495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),3600-4400,3600-4400,3800-5000,3800-5000,3800-5000,3800-5000,3600-4400,3600-4400,3600-4400,3600-4400,3800-5000,3800-5000,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,4000-4800,4000-4800,4000-4800,4000-4800,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000,4000-8000
最大扭矩(N·m)_y,180,180,135,135,135,135,180,180,180,180,135,135,180,180,180,180,180,180,180,180,180,180,180,180,136,136,136,136,192,192,192,192,192,192,192,192,192,192,136,136,136,136,136,136
最大扭矩(N·m)_x,180,180,135,135,135,135,180,180,180,180,135,135,180,180,180,180,180,180,180,180,180,180,180,180,136,136,136,136,192,192,192,192,192,192,192,192,192,192,136,136,136,136,136,136
最大功率转速(rpm),5600,5600,5400,5400,5400,5400,5600,5600,5600,5600,5400,5400,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
最大功率(kW)_y,92,92,73,73,73,73,92,92,92,92,73,73,92,92,92,92,92,92,92,92,92,92,92,92,75,75,75,75,100,100,100,100,100,100,100,100,100,100,75,75,75,75,75,75
最大功率(kW)_x,92,92,73,73,73,73,92,92,92,92,73,73,92,92,92,92,92,92,92,92,92,92,92,92,75,75,75,75,100,100,100,100,100,100,100,100,100,100,75,75,75,75,75,75
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1431,1431,1390,1340,1370,1425,1435,1435,1435,1435,1370,1425,1661,1661,1661,1661,1435,1455,1435,1455,1435,1435,1435,1435,1370,1425,1370,1425,1340,1395,1390,1390,1450,1450,1599,1599,1661,1661,1340,1390,1375,1425,1375,1425
排量(mL),1798,1798,1485,1485,1485,1485,1798,1798,1798,1798,1485,1485,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1485,1485,1485,1485,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1485,1485,1485,1485,1485,1485
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,2,5,2,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,2,5,5,2,2,2,2,2,5,2,5,2,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.6,7.6,7.3,7.3,7.3,7.3,7.6,7.6,7.6,7.6,7.3,7.3,8.7,8.7,8.7,8.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.3,7.3,7.3,7.3,7.3,7.3
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1880,1880,1880,1880,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1880,1880,1880,1880,1760,1760,1760,1760,1760,1760
安全带未系提醒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1458,1458,1458,1458,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1458,1458,1458,1458,1519,1519,1519,1519,1519,1519
后轮胎规格,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,185 R14LT,185 R14LT,185 R14LT,185 R14LT,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,185 R14LT,185 R14LT,185 R14LT,185 R14LT,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15
后排车门开启方式,平开门,-,平开门,-,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,-,-,-,-,-,-,-,-,-,-,平开门,-,平开门,-,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
