Feature,1005600,1005601,1005635,1005636,1005637,1005641,1006527,1006528,1006529,1006747,1006748,1006749,1006750,1006751,1006752,1006753,1006754,1007048,1007049,1007050,1007051,1007052,1007053,1007054,1007055,1007056,1007057,1007058,1007059,1007066,1007067,1007068,1007255,1007257,1007258,1007259,1007260,1007261,1007262,1007263,1007264,1007265
车型名称,依维柯欧胜 2018款 2.3T 短轴低顶多功能车侧拉门F1A,依维柯欧胜 2018款 3.0T 加长轴高顶单排厢式车F1C,依维柯欧胜 2018款 2.3T 长轴短悬多功能车侧拉门F1A,依维柯欧胜 2018款 2.3T 短轴低顶厢式车F1A,依维柯欧胜 2018款 3.0T 7吨超长轴单排底盘F1C,依维柯欧胜 2018款 3.0T 4.5吨长轴单排底盘F1C,依维柯欧胜 2018款 3.0T 短轴低顶多功能车侧拉门F1C,依维柯欧胜 2018款 3.0T 短轴高顶多功能车侧拉门F1C,依维柯欧胜 2018款 2.3T 短轴高顶多功能车侧拉门F1A,依维柯欧胜 2018款 3.0T 客车19座电动门加长轴高顶F1C,依维柯欧胜 2018款 3.0T 客车20座手动门加长轴高顶F1C,依维柯欧胜 2018款 3.0T 客车13座电动门长轴高顶F1C,依维柯欧胜 2018款 3.0T 客车14座手动门长轴高顶F1C,依维柯欧胜 2018款 3.0T 客车14座手动门长轴短悬高顶F1C,依维柯欧胜 2018款 2.3T 客车14座手动门长轴短悬高顶F1A,依维柯欧胜 2018款 3.0T 客车11座手动门短轴高顶F1C,依维柯欧胜 2018款 2.3T 客车11座手动门短轴高顶F1A,依维柯欧胜 2018款 3.0T 自动客车14座手动门长轴高顶F1C,依维柯欧胜 2018款 3.0T 自动客车13座电动门长轴高顶F1C,依维柯欧胜 2018款 3.0T 自动客车19座电动门加长轴高顶F1C,依维柯欧胜 2018款 3.0T 自动客车20座手动门加长轴高顶F1C,依维柯欧胜 2018款 3.0T 长轴短悬多功能车侧拉门F1C,依维柯欧胜 2018款 2.3T 短轴高顶厢式车F1A,依维柯欧胜 2018款 3.0T 短轴高顶厢式车F1C,依维柯欧胜 2018款 3.0T 短轴低顶厢式车F1C,依维柯欧胜 2018款 3.0T 长轴短悬高顶厢式车F1C,依维柯欧胜 2018款 2.3T 长轴短悬高顶厢式车F1A,依维柯欧胜 2018款 3.0T 自动长轴高顶单排厢式车F1C,依维柯欧胜 2018款 3.0T 长轴高顶单排厢式车F1C,依维柯欧胜 2018款 3.0T 自动加长轴高顶单排厢式车F1C,依维柯欧胜 2018款 3.0T 自动加长轴高顶双排厢式车F1C,依维柯欧胜 2018款 3.0T 加长轴高顶双排厢式车F1C,依维柯欧胜 2018款 3.0T 自动7吨超长轴单排底盘F1C,依维柯欧胜 2018款 3.0T 自动4.5吨短轴单排底盘F1C,依维柯欧胜 2018款 3.0T 4.5吨短轴单排底盘F1C,依维柯欧胜 2018款 3.0T 自动6吨加长轴双排底盘F1C,依维柯欧胜 2018款 3.0T 6吨加长轴双排底盘F1C,依维柯欧胜 2018款 3.0T 自动6吨加长轴单排底盘F1C,依维柯欧胜 2018款 3.0T 6吨加长轴单排底盘F1C,依维柯欧胜 2018款 3.0T 自动4.5吨长轴双排底盘F1C,依维柯欧胜 2018款 3.0T 4.5吨长轴双排底盘F1C,依维柯欧胜 2018款 3.0T 自动4.5吨长轴单排底盘F1C
车内空气调节/花粉过滤,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测装置,○,○,○,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,6挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,6挡手动,5挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,5挡手动,6挡手动,6挡手动,6挡手动,5挡手动,8挡自动,6挡手动,8挡自动,8挡自动,6挡手动,8挡自动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,●,○,●,●,○,●,●,○,●,○,●,○,●,○,●
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),70,100,100,70,100,100,70,70,70,100,100,100,100,100,100,70,70,100,100,100,100,100,70,70,70,100,100,100,100,100,100,100,100,70,70,100,100,100,100,100,100,100
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),130,120,130,130,120,130,140,140,130,130,130,140,140,140,130,140,130,140,140,130,130,140,130,140,140,130,130,130,130,120,120,120,120,130,130,120,120,120,120,130,130,130
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),129,146,129,129,146,146,146,146,129,146,146,146,146,146,129,146,129,146,146,146,146,146,129,146,146,146,129,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1800-2400,1400-2400,1800-2400,1800-2400,1400-2400,1400-2400,1400-2400,1400-2400,1800-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1800-2400,1400-2400,1800-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1800-2400,1400-2400,1400-2400,1400-2400,1800-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400,1400-2400
最大扭矩(N·m)_y,330,370,330,330,370,370,370,370,330,370,370,370,370,370,330,370,330,370,370,370,370,370,330,370,370,370,330,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
最大扭矩(N·m)_x,330,370,330,330,370,370,370,370,330,370,370,370,370,370,330,370,330,370,370,370,370,370,330,370,370,370,330,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
最大功率转速(rpm),3600,3500,3600,3600,3500,3500,3500,3500,3600,3500,3500,3500,3500,3500,3600,3500,3600,3500,3500,3500,3500,3500,3600,3500,3500,3500,3600,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
最大功率(kW)_y,95,107,95,95,107,107,107,107,95,107,107,107,107,107,95,107,95,107,107,107,107,107,95,107,107,107,95,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
最大功率(kW)_x,95,107,95,95,107,107,107,107,95,107,107,107,107,107,95,107,95,107,107,107,107,107,95,107,107,107,95,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或11万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或12万公里,三年或11万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或12万公里,三年或11万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或11万公里,三年或12万公里,三年或12万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2315,2800,2500,2130,2780,2290,2375,2450,2390,3280,3280,2880,2880,2645,2595,2440,2380,2880,2880,3280,3280,2650,2170,2230,2190,2430,2350,2515,2515,2800,3000,3000,2780,2240,2240,2710,2710,2600,2600,2400,2400,2290
排量(mL),2287,2998,2287,2287,2998,2998,2998,2998,2287,2998,2998,2998,2998,2998,2287,2998,2287,2998,2998,2998,2998,2998,2287,2998,2998,2998,2287,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998
挡位个数,5,6,5,5,6,6,6,6,5,6,6,6,6,6,5,6,5,8,8,8,8,6,5,6,6,6,5,8,6,8,8,6,8,8,6,8,6,8,6,8,6,8
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,-,-,-,-,-,-,-,-,-,-,-,-,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物
座位数(个),6-7,3/6,7,3,3,3,6-7,6-7,6-7,19,20,13,14,14,14,11,11,14,13,19,20,7,3,3,3,3,3,3,3,3/6,3/6,3/6,3,3,3,6,6,3,3,6,6,3
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),10.5,13.6,10.5,11.9,13.6,11.3,10.5,10.5,10.5,11.3,11.3,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,11.3,11.3,10.5,11.9,11.3,11.3,11.3,11.9,11.3,11.3,13.6,13.6,13.6,13.6,11.3,11.3,13.6,13.6,13.6,13.6,11.3,11.3,11.3
