,1000779,1000780,1000781,1000782,1000783,1001451
轴距(mm),3110,3110,3110,3110,3110,3110
前轮距(mm),-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车
车门数(个),4,4,4,4,4,4
座位数(个),10-15,10-15,10-15,10-15,6-9,6-9
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),70,70,70,70,70,70
货箱尺寸(mm),-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,4挡自动,4挡自动
挡位个数,5,5,5,5,4,4
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,195 R15C,195 R15C,195 R15C,195 R15C,195/75 R16,195/75 R16
后轮胎规格,195 R15C,195 R15C,195 R15C,195 R15C,195/75 R16,195/75 R16
发动机型号,JM495QF,4RB2,4G69S4N,DK4B1,4G69S4N,4RB2
排量(mL),2693,2438,2378,2498,2378,2438
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,-,-,-,-,-,-
配气机构,DOHC,DOHC,SOHC,DOHC,SOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),150,139,136,116,136,139
最大功率(kW)_y,110,102,100,85,100,102
最大功率转速(rpm),4400-4800,4600-5000,5250,3800,5250,4600-5000
最大扭矩(N·m)_y,240,217,200,260,200,217
最大扭矩转速(rpm),2800-3600,2600-3200,2500-4000,1800-2600,2500-4000,2600-3200
燃料形式,汽油,汽油,汽油,柴油,汽油,汽油
燃油标号,92号,92号,92号,0号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,直喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知
环保标准,国III,国IV,国IV,国III,国IV,国IV
电机类型,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-
电机布局,-,-,-,-,-,-
电池类型,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-
电池组质保,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-
