Feature,35814,36906,36907,36908,36909,36910,36911,36912,36913,36914,36915,36916,36917,36918,36919,40746,40875,40876,40877,40878,40879,40880,40881,40882,40883
远光灯,卤素(选装LED),卤素,卤素(选装LED),卤素(选装LED),卤素,卤素(选装LED),卤素(选装LED),卤素,卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素,卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素(选装LED),卤素,卤素(选装LED),卤素(选装LED),卤素,卤素(选装LED),卤素(选装LED),卤素,卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素,卤素(选装LED),卤素(选装LED),卤素(选装LED),卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,-,●,●,-,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●
车窗防夹手功能,●,-,●,●,-,●,●,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,主驾驶位,全车,全车,主驾驶位,全车,全车,主驾驶位,全车,全车,全车,主驾驶位,全车,全车,全车,全车,主驾驶位,全车,全车,全车,全车,主驾驶位,全车,全车,全车
车型名称,瑞风S4 2019款 1.6L 手动梦想型,瑞风S4 2019款 1.6L 手动自由型,瑞风S4 2019款 1.6L 手动超越型,瑞风S4 2019款 1.6L CVT探索型,瑞风S4 2019款 1.6L CVT自由型,瑞风S4 2019款 1.6L CVT超越型,瑞风S4 2019款 1.6L CVT梦想型,瑞风S4 2019款 1.5T 手动自由型,瑞风S4 2019款 1.5T 手动超越型,瑞风S4 2019款 1.5T 手动梦想型,瑞风S4 2019款 1.5T 手动探索型,瑞风S4 2019款 1.5T CVT自由型,瑞风S4 2019款 1.5T CVT超越型,瑞风S4 2019款 1.5T CVT梦想型,瑞风S4 2019款 1.5T CVT探索型,瑞风S4 2020款 1.5T CVT探索型,瑞风S4 2020款 1.5T 手动自由型,瑞风S4 2020款 1.5T 手动超越型,瑞风S4 2020款 1.5T 手动梦想型,瑞风S4 2020款 1.5T 手动梦想II型,瑞风S4 2020款 1.5T 手动探索型,瑞风S4 2020款 1.5T CVT自由型,瑞风S4 2020款 1.5T CVT超越型,瑞风S4 2020款 1.5T CVT梦想型,瑞风S4 2020款 1.5T CVT梦想II型
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050,520-1050
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,-,●,●,-,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,6挡手动,6挡手动,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,6挡手动,6挡手动,6挡手动,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,手动●,手动●,手动●,手动●,自动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,-,●,●,-,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,●,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),120,120,120,120,120,120,120,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500
最大扭矩(N·m)_y,150,150,150,150,150,150,150,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
最大扭矩(N·m)_x,150,150,150,150,150,150,150,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,88,88,88,88,88,88,88,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
最大功率(kW)_x,88,88,88,88,88,88,88,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
无钥匙进入系统,●,-,●,●,-,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●
无钥匙启动系统,●,-,●,●,-,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1325,1325,1325,1340,1340,1340,1340,1355,1355,1355,1355,1365,1365,1365,1365,1375,1365,1365,1365,1365,1375,1375,1375,1375,1375
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1590,1590,1590,1590,1590,1590,1590,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
挡位个数,6,6,6,无级变速,无级变速,无级变速,无级变速,6,6,6,6,无级变速,无级变速,无级变速,无级变速,无级变速,6,6,6,6,6,无级变速,无级变速,无级变速,无级变速
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,仿皮,织物,仿皮,仿皮,织物,仿皮,仿皮,织物,仿皮,仿皮,仿皮,织物,仿皮,仿皮,仿皮,仿皮,织物,仿皮,仿皮,仿皮,仿皮,织物,仿皮,仿皮,仿皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,●,-,●,●,-,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●
宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,9.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,40.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,11.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
定速巡航,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
后轮胎规格,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
变速箱,6挡手动,6挡手动,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,6挡手动,6挡手动,6挡手动,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT,i-VVT
发动机型号,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB2.4D,HFC4GB2.4D,HFC4GB2.4D,HFC4GB2.4D,HFC4GB2.4D,HFC4GB2.4D,HFC4GB2.4D,HFC4GB2.4D,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E,HFC4GB2.4E
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
