,31085,31233
系统综合扭矩(N·m),-,-
驱动电机数,单电机,单电机
电机布局,前置,前置
电池类型,三元锂电池,三元锂电池
工信部续航里程(km),270,270
电池容量(kWh),36,36
百公里耗电量(kWh/100km),13.3,13.3
电池组质保,8年或15万公里,8年或15万公里
快充时间(小时)_y,0.5,0.5
慢充时间(小时)_y,-,-
快充电量(%),80,80
挡位个数,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱
简称,电动车单速变速箱,电动车单速变速箱
驱动方式,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力
车体结构,承载式,承载式
前制动器类型,通风盘式,通风盘式
后制动器类型,盘式,盘式
驻车制动类型,手刹,手刹
前轮胎规格,185/65 R15,185/65 R15
后轮胎规格,185/65 R15 ,185/65 R15 
备胎规格,非全尺寸,非全尺寸
