,1001619,1001621,1001623,1001624,1001625,1002015,1002016,1002017,1002018,1002019,1002020,1002021,1002022,1002023,1002024
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,佳宝V80 2013款 1.3L商务标准型CA4GX13,佳宝V80 2013款 1.3L商务舒适型CA4GX13,佳宝V80 2013款 1.3L商务豪华型CA4GX13,佳宝V80 2013款 1.3L物流标准型CA4GX13,佳宝V80 2013款 1.3L物流舒适型CA4GX13,佳宝V80 2014款 1.5L商务豪华型,佳宝V80 2014款 1.5L商务标准型,佳宝V80 2014款 1.5L商务舒适型,佳宝V80 2014款 1.5L物流标准型,佳宝V80 2014款 1.5L物流舒适型,佳宝V80 2014款 1.5L加长商务豪华型,佳宝V80 2014款 1.5L加长商务标准型,佳宝V80 2014款 1.5L加长商务舒适型,佳宝V80 2014款 1.5L加长全能标准型,佳宝V80 2014款 1.5L加长全能舒适型
厂商指导价(元),4.09万,4.39万,4.99万,4.14万,4.44万,5.19万,4.39万,4.69万,4.44万,4.74万,5.39万,4.74万,4.99万,4.69万,5.04万
厂商,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林,一汽吉林
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2013.05,2013.05,2013.05,2013.08,2013.08,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11,2013.11
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.3L 88马力 L4,1.3L 88马力 L4,1.3L 88马力 L4,1.3L 88马力 L4,1.3L 88马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4205×1685×1910,4205×1685×1910,4205×1685×1910,4205×1685×1910,4205×1685×1910,4205×1685×1910,4205×1685×1910,4205×1685×1910,4205×1685×1910,4205×1685×1910,4405×1685×1910,4405×1685×1910,4405×1685×1910,4405×1685×1910,4405×1685×1910
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
最高车速(km/h),140,140,140,140,140,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.9,6.9,6.9,6.9,6.9,-,-,-,-,-,7,7,7,7,7
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4205,4205,4205,4205,4205,4205,4205,4205,4205,4205,4405,4405,4405,4405,4405
宽度(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
高度(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2800,2800,2800,2800,2800
前轮距(mm),1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440
后轮距(mm),1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1260,1260,1260,1260,1260,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车门数(个),6,6,6,5,5,6,6,6,5,5,5,5,5,5,5
座位数(个),5-8,7,7,5-8,5-8,7,5-8,7,5-8,5-8,7,5-9,7-9,5-9,7-9
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
后悬架类型,钢板弹簧,钢板弹簧,多连杆式螺旋弹簧,钢板弹簧,钢板弹簧,多连杆式螺旋弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,无助力,无助力,电动助力,无助力,无助力,电动助力,无助力,无助力,无助力,无助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14
后轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14
发动机型号,CA4GX13,CA4GX13,CA4GX13,CA4GX13,CA4GX13,-,-,-,-,-,-,-,-,-,-
排量(mL),1298,1298,1298,1298,1298,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),88,88,88,88,88,102,102,102,102,102,102,102,102,102,102
最大功率(kW)_y,65,65,65,65,65,75,75,75,75,75,75,75,75,75,75
最大功率转速(rpm),5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000
最大扭矩(N·m)_y,120,120,120,120,120,135,135,135,135,135,135,135,135,135,135
最大扭矩转速(rpm),4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600,4000-4600
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
