Feature,24800,24801,24802,24803,24804,24805,24818,24819,25614,25615,25616,25617,25618,25619,25620,25621,25622,25623,26054,26055,26056,26057,26058,26059,26060,27194,28246,28247,29216,29217,29713,29714,29715,29716,29717,29718,29719,29720,29817,29818,29819,29820,30595,34693
遮阳板化妆镜,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,卤素,卤素,卤素,卤素,氙气,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,氙气,氙气,氙气,氙气,氙气,氙气,卤素,卤素,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,卤素,卤素,卤素,卤素,氙气,氙气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
轴距(mm),3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3937,3937,3429,3429,3937,3429,3429,3429,3429,3429,3937,3937,3429,3937,3937,3937,3937,3937,3937,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,4
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●
车载冰箱,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,5门12座MPV,6门12座MPV,5门7座MPV,5门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,6门7座MPV,5门6座MPV,4门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
车窗防夹手功能,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,●
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,主驾驶位
车型名称,SAVANA 2016款 5.3L 1500 两驱典藏版,SAVANA 2016款 5.3L 1500 四驱典藏版,SAVANA 2016款 5.3L 1500 两驱珍享版,SAVANA 2016款 5.3L 1500 四驱珍享版,SAVANA 2016款 5.3L 1500 两驱雅仕版,SAVANA 2016款 5.3L 1500 四驱雅仕版,SAVANA 2016款 5.3L 1500 两驱运动版,SAVANA 2016款 5.3L 1500 四驱运动版,SAVANA 2016款 5.3L G660S 四驱雅尊典藏版,SAVANA 2016款 5.3L G660S 两驱雅尊典藏版,SAVANA 2016款 5.3L G550S 四驱雅尊典藏版,SAVANA 2016款 5.3L G550S 两驱雅尊典藏版,SAVANA 2016款 5.3L G600S 四驱雅致版,SAVANA 2016款 6.0L G660L 雅尊典藏版,SAVANA 2016款 6.0L G550L 雅尊典藏版,SAVANA 2015款 5.3L G600S 四驱雅尊版,SAVANA 2015款 5.3L G600S 两驱雅尊版,SAVANA 2015款 6.0L G600L 雅尊版,SAVANA 2016款 G660 四驱版,SAVANA 2016款 G660 两驱版,SAVANA 2016款 G660 两驱雅尊版,SAVANA 2016款 1500S 两驱版,SAVANA 2016款 1500S 两驱运动版,SAVANA 2016款 2500S 两驱版,SAVANA 2016款 2500S 两驱运动版,SAVANA 2016款 6.0L 2500S 至尊版,SAVANA 2017款 6.0L 3500 公务版,SAVANA 2017款 6.0L 3500 行政版,SAVANA 2017款 6.0L G660S 雅尊天幕版,SAVANA 2017款 6.0L G550S 雅尊版,SAVANA 2016款 6.0L G660L 雅尊天幕版,SAVANA 2016款 6.0L G550L 雅尊版,SAVANA 2016款 5.3L G660S 四驱雅尊天幕版,SAVANA 2016款 5.3L G660S 雅尊天幕版,SAVANA 2016款 5.3L G550S 四驱雅尊版,SAVANA 2016款 5.3L G550S 雅尊版,SAVANA 2016款 5.3L G600S 全时四驱版,SAVANA 2016款 G600S 雅尊版,SAVANA 2017款 1500S 四驱经典版,SAVANA 2017款 1500S 两驱经典版,SAVANA 2017款 2500S 至尊版,SAVANA 2017款 G660 雅尊版,SAVANA 2017款 6.0L G760S 雅尊天玺版,SAVANA 2018款 6.0L GX777 尊翔星际版
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,-
车内氛围灯,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,-,-,-,-,-,-,-,-,-,-,-,-,88.4,88.4,92,92,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.01,-,-,-,-,-,-,-,-,-,-,-,-,101.6,101.6,96.01,96.01,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
简称,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,6挡手自一体,6挡手自一体,4挡自动,4挡自动,6挡手自一体,4挡自动,4挡自动,6挡手自一体,4挡自动,4挡自动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,4挡自动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,2座,2座,2座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,2座,2座
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,手动●&nbsp;/&nbsp;自动○,手动●&nbsp;/&nbsp;自动○,手动●&nbsp;/&nbsp;自动○,手动●&nbsp;/&nbsp;自动○,自动●,自动●
空气悬架,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,○,○,●,○,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国V,国V,国IV(国V),国IV(国V),国IV(国V),国IV(国V)
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
油箱容积(L),117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
气缸数(个),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
气缸排列形式,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,160,160,160,160,160,160,-,-,-,-,-,-,-,-,-,-,160,160,160,160,160,160,160,160,160,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),305,305,305,305,305,305,305,305,314,314,314,314,314,328,328,314,314,328,310,310,305,310,310,305,305,322,305,305,328,328,328,328,314,314,314,314,314,314,310,310,322,322,328,328
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,4500,4500,4500,4500,4500,4400,4400,4500,4500,4400,4500,4500,4400,4500,4500,4400,4400,4400,4400,4400,4400,4400,4400,4400,4500,4500,4500,4500,4500,4500,4500,4500,4400,4400,4400,4400
最大扭矩(N·m)_y,-,-,-,-,-,-,-,-,453,453,453,453,453,506,506,453,453,506,453,453,360,453,453,360,360,360,360,360,506,506,506,506,453,453,453,453,453,453,334,334,360,360,506,506
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,453,453,453,453,453,506,506,453,453,506,453,453,360,453,453,360,360,360,360,360,506,506,506,506,453,453,453,453,453,453,334,334,360,360,506,506
最大功率转速(rpm),5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,4600,4600,5200,5200,4600,5200,5200,4600,5200,5200,4600,4600,4600,4600,4600,4600,4600,4600,4600,5200,5200,5200,5200,5200,5200,5200,5200,4600,4600,4600,4600
最大功率(kW)_y,224,224,224,224,224,224,224,224,231,231,231,231,231,241,241,231,231,241,228,228,224,228,228,224,224,237,224,224,241,241,241,241,231,231,231,231,231,231,228,228,237,237,241,241
最大功率(kW)_x,224,224,224,224,224,224,224,224,231,231,231,231,231,241,241,231,231,241,228,228,224,228,228,224,224,237,224,224,241,241,241,241,231,231,231,231,231,231,228,228,237,237,241,241
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
