,1001763,1001764,1001765,1001766
燃料形式,柴油,柴油,柴油,柴油
燃油标号,0号,0号,0号,0号
供油方式,直喷,直喷,直喷,直喷
缸盖材料,铝,铝,铝,铝
缸体材料,铁,铁,铁,铁
环保标准,国III,国III,国III,国III
电机类型,-,-,-,-
电动机总功率(kW),-,-,-,-
电动机总扭矩(N·m),-,-,-,-
前电动机最大功率(kW),-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-
后电动机最大功率(kW),-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-
驱动电机数,-,-,-,-
电机布局,-,-,-,-
电池类型,-,-,-,-
工信部续航里程(km),-,-,-,-
电池容量(kWh),-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-
电池组质保,-,-,-,-
电池充电时间,-,-,-,-
快充电量(%),-,-,-,-
