Feature,41332,42130,42131,54619,54620,54621,54622,54623,54624,54625,54626,55495,56411,56412,58436,58437,59933,59956,59959,59960,59961,59962
缸径(mm),77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,6挡手动,6挡手动,6挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡手动,6挡手动,6挡手动,6挡干式双离合,6挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),20,-,20,18,18,18,18,18,18,18,18,20,20,20,20,20,17,18,18,17,18,17
疲劳驾驶提示,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,,,,,-,-,-,-,-,,,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,●,●,-,-,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
电动后备厢,-,-,-,●,●,-,-,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-
温度分区控制,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),55,55,55,57,57,57,57,57,57,57,57,55,55,55,55,55,57,57,57,57,57,57
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),180,180,180,185,185,185,185,185,185,185,185,180,180,180,180,180,190,190,190,190,190,190
最大马力(Ps),156,156,156,197,197,197,197,197,197,197,197,156,156,156,156,156,254,254,254,254,254,254
最大满载质量(kg),-,-,-,2195,2195,2195,2195,2195,2195,2195,2195,-,2055,2055,2055,2055,2195,2195,2195,2195,2195,2195
最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
最大扭矩(N·m)_y,230,230,230,290,290,290,290,290,290,290,290,230,230,230,230,230,390,390,390,390,390,390
最大扭矩(N·m)_x,230,230,230,290,290,290,290,290,290,290,290,230,230,230,230,230,390,390,390,390,390,390
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,115,115,115,145,145,145,145,145,145,145,145,115,115,115,115,115,187,187,187,187,187,187
最大功率(kW)_x,115,115,115,145,145,145,145,145,145,145,145,115,115,115,115,115,187,187,187,187,187,187
最大净功率(kW),108,108,108,140,140,140,140,140,140,140,140,108,108,108,108,108,180,180,180,180,180,180
无钥匙进入功能,-,-,-,,,,,,,,,-,-,-,,,,,,,,
无钥匙启动系统,-,-,-,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,●,●,-,-,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,
整车质保,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里,十年或20万公里
整备质量(kg),1520,1528,1530,1647,1660,1647,1660,1647,1660,1647,1660,1520,1520,1530,1545,1560,1662,1634,1634,1662,1634,1662
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
接近角(°),21,-,21,19,19,19,19,19,19,19,19,21,21,21,21,21,19,19,19,19,19,19
排量(mL),1498,1498,1498,1598,1598,1598,1598,1598,1598,1598,1598,1498,1498,1498,1498,1498,1998,1998,1998,1998,1998,1998
换挡形式,-,-,-,,,,,,,,,-,,,,,,,,,,
挡位个数,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,
手机无线充电功能,-,-,-,-,-,-,-,-,-,,,-,-,-,,,,,,,,
手机互联/映射,,,,,,,,,,,,,,,,,,,,,,
手机APP远程控制,-,-,-,,,,,,,,,-,-,-,-,-,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,,,,,,,,,-,-,-,-,-,,,,,,
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,
座椅布局,-,,,-,,-,,-,,-,,-,-,,-,,,-,-,,-,
座位数(个),5,6,7,5,7,5,7,5,7,5,7,5,5,7,5,7,7,5,5,7,5,7
并线辅助,-,-,-,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●
巡航系统,-,-,-,,,,,,,,,-,-,-,,,,,,,,
导航路况信息显示,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
宽度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,,,,,,,,,-,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,-,-,,,,,-,-,-,-,-,,,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
地图品牌,-,-,-,,,,,,,,,-,-,-,-,-,,,,,,
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,●,●,●,●,●,●,●,●,-,○,○,●,●,●,●,●,●,●,●
后轮距(mm),1603,1603,1603,1615,1615,1615,1615,1615,1615,1615,1615,1603,1603,1603,1595,1595,1605,1605,1605,1605,1605,1605
后轮胎规格,235/60 R18,235/60 R18,235/60 R18,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20
后排独立空调,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,●,●,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●
后备厢容积(L),1260-1680,89-1680,89-1680,438,-,438,-,438,-,438,-,1260-1680,1260-1680,89-1680,1260-1680,89-1680,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,6挡手动,6挡手动,6挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡手动,6挡手动,6挡手动,6挡干式双离合,6挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,-,-,-,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●
发动机特有技术,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,-,-,-,-,-,-
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRF4J16,SQRF4J16,SQRF4J16,SQRF4J16,SQRF4J16,SQRF4J16,SQRF4J16,SQRF4J16,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●
发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.6T 197马力 L4,1.6T 197马力 L4,1.6T 197马力 L4,1.6T 197马力 L4,1.6T 197马力 L4,1.6T 197马力 L4,1.6T 197马力 L4,1.6T 197马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4,2.0T 254马力 L4
压缩比,9.5,9.5,9.5,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.5,9.5,9.5,9.5,9.5,-,-,-,-,-,-
厂商指导价(元),7.99万,8.29万,8.29万,13.49万,13.79万,13.99万,14.29万,14.69万,14.99万,15.29万,15.59万,7.99万,8.69万,8.99万,10.99万,11.29万,17.09万,16.79万,14.19万,14.49万,14.69万,14.99万
厂商,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车,奇瑞汽车
卫星导航系统,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,机械液压助力,机械液压助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1608,1608,1608,1610,1610,1610,1610,1610,1610,1610,1610,1608,1608,1608,1600,1600,1600,1600,1600,1600,1600,1600
前轮胎规格,235/60 R18,235/60 R18,235/60 R18,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,235/60 R18,235/60 R18,235/60 R18,235/60 R18,235/60 R18,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20,255/45 R20
前方碰撞预警,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
前排座椅功能,-,-,-,,,-,-,,,,,-,-,-,-,-,,,,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
