Feature,1009124,1009125,1009126,1009127,1009128,1009129,1009130,1009131,1009132,1009133,1009136,1009137,1009138,1009139,1009142,1009143,1009144,1009145,1009146,1009147,1009148,1009149,1009365,1009366,1009367,1009368,1009369,1009370,1009371,1009372,1009424,1009425,1009426,1009427,1010054,1010055,1010056,1010057,1010058,1010059,1010060,1010061,1010062,1010063,1010064,1010065,1010066,1010067,1010068,1010069,1010533,1010534,1010535,1010536,1010537,1010538,1010539,1010540,1010542,1010866,1010867,1010872,1010873,1010878,1010879,1010883,1010884,1011425,1011426,1011427,1011428,1011429,1011430,1011431,1011432,1011433,1011434,1011435,1011436,1011437,1011438,1011439,1011440,1011441,1011442,1011443,1011444,1011445,1011446,1011447,1011448,1011449,1011450,1011451,1011452,1011453,1011454,1011455,1011456,1011457,1011458,1011459,1011460,1011461,1011462,1011463,1012050,1012051,1012052,1012053,1012093,1012094,1012095,1012096,1012583,1012584,1012585,1012586,1012587,1012588,1012589,1012590,1013899,1013900,1013901,1013902,1013903,1013904,1013905,1013906,1014416,1014417,1014418,1014419,1014420,1014421,1014422,1014423,1014424,1014425,1014426,1014427
车型名称,上汽大通MAXUS T70 2020款 2.0T柴油自动四驱舒适版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动四驱舒适版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动两驱舒适版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动两驱舒适版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动四驱舒适版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动四驱舒适版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动两驱舒适版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动两驱舒适版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动四驱旗舰型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动四驱旗舰型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动四驱精英型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动四驱精英型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动四驱舒享型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动四驱舒享型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动两驱精英型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动两驱精英型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动两驱舒享型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动两驱舒享型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动四驱精英型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动四驱精英型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动两驱精英型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动两驱精英型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动四驱纪念版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动四驱纪念版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动两驱纪念版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动两驱纪念版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动四驱纪念版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动四驱纪念版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动两驱纪念版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动两驱纪念版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动四驱舒享型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动四驱舒享型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动两驱舒享型标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动两驱舒享型长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动四驱澳洲版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动四驱澳洲版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动四驱澳洲版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动两驱澳洲版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油自动两驱澳洲版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动四驱澳洲版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动四驱澳洲版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动两驱澳洲版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T汽油手动两驱澳洲版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动两驱澳洲版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动两驱澳洲版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动四驱澳洲版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动四驱澳洲版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动两驱澳洲版标箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油手动两驱澳洲版长箱高底盘,上汽大通MAXUS T70 2020款 2.0T柴油自动四驱澳洲版标箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动两驱进取版标箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动两驱进取版长箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动四驱进取版标箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动四驱进取版长箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动两驱精英版标箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动两驱精英版长箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动四驱精英版标箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动四驱精英版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱旅行版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱精英版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱精英版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱精英版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱精英版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱精英版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱精英版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱精英版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱精英版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱智领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱智领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱智领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱智领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱智领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱智领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱智领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱智领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油自动四驱智领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油自动四驱智领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油自动四驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油自动四驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油自动两驱智领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油自动两驱智领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油自动两驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油自动两驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油手动四驱智领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油手动四驱智领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油手动四驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油手动四驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油手动两驱智领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油手动两驱智领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油手动两驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T汽油手动两驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动四驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动四驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动两驱创领版标箱高底盘,上汽大通MAXUS T70 2021款 2.4L汽油手动两驱创领版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱旅行版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱旅行版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱旅行版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱澳洲版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动四驱澳洲版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱澳洲版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动四驱澳洲版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱澳洲版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油自动两驱澳洲版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱澳洲版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T柴油手动两驱澳洲版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T改款柴油自动四驱进取版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T改款柴油自动四驱进取版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T改款柴油自动两驱进取版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T改款柴油自动两驱进取版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T改款柴油手动四驱进取版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T改款柴油手动四驱进取版长箱高底盘,上汽大通MAXUS T70 2021款 2.0T改款柴油手动两驱进取版标箱高底盘,上汽大通MAXUS T70 2021款 2.0T改款柴油手动两驱进取版长箱高底盘,上汽大通MAXUS T70 2022款 2.0T柴油自动四驱澳洲版标箱,上汽大通MAXUS T70 2022款 2.0T柴油自动四驱澳洲版长箱,上汽大通MAXUS T70 2022款 2.0T柴油自动两驱澳洲版标箱,上汽大通MAXUS T70 2022款 2.0T柴油自动两驱澳洲版长箱,上汽大通MAXUS T70 2022款 2.0T柴油手动四驱澳洲版标箱,上汽大通MAXUS T70 2022款 2.0T柴油手动四驱澳洲版长箱,上汽大通MAXUS T70 2022款 2.0T柴油手动两驱澳洲版标箱,上汽大通MAXUS T70 2022款 2.0T柴油手动两驱澳洲版长箱,上汽大通MAXUS T70 2022款 2.0T手动柴油四驱五周年纪念版精英版长箱平底,上汽大通MAXUS T70 2022款 2.0T手动柴油四驱五周年纪念版精英版长箱,上汽大通MAXUS T70 2022款 2.0T手动柴油四驱五周年纪念版精英版标箱,上汽大通MAXUS T70 2022款 2.0T手动柴油四驱五周年纪念版舒适版长箱平底,上汽大通MAXUS T70 2022款 2.0T手动柴油四驱五周年纪念版舒适版长箱,上汽大通MAXUS T70 2022款 2.0T手动柴油四驱五周年纪念版舒适版标箱,上汽大通MAXUS T70 2022款 2.0T手动柴油两驱五周年纪念版精英版长箱平底,上汽大通MAXUS T70 2022款 2.0T手动柴油两驱五周年纪念版精英版长箱,上汽大通MAXUS T70 2022款 2.0T手动柴油两驱五周年纪念版精英版标箱,上汽大通MAXUS T70 2022款 2.0T手动柴油两驱五周年纪念版舒适版长箱平底,上汽大通MAXUS T70 2022款 2.0T手动柴油两驱五周年纪念版舒适版长箱,上汽大通MAXUS T70 2022款 2.0T手动柴油两驱五周年纪念版舒适版标箱
车前雾灯,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,-,-,,,-,-,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1800x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,-,,,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,-,-,,,,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
