Feature,1006662,1006663,1006664,1006665,1006666,1006667,1006668,1006669,1006706,1006707,1006708,1006709,1006710,1006711,1006712,1006713,1007401,1007402,1007406,1007407,1007408,1007409,1007410,1007411,1007412,1007413,1007414,1007415,1007416,1007417,1007418,1007419,1007420,1007421,1007422,1007423,1007424,1007425,1008778,1008779,1009464,1009465,1009468,1009469,1009470,1009471,1009472,1009473,1009474,1009475,1009476,1009477,1010286,1010287,1010288,1010289,1010290,1010291,1010292,1010294,1010300,1010301,1010302,1010303,1010304,1010305,1010306,1010307,1010312,1010313,1010314,1010315,1011226,1011227,1011228,1011229,1011230,1011231,1011232,1011233,1011234,1011235,1011236,1011237,1011238,1011239,1011240,1011241,1012636,1012640,1012641,1012642,1012643,1012644,1012645,1012646,1013405,1013406,1013407,1013408,1013409,1013410,1013411,1013412
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,货车,皮卡,货车,货车,皮卡,货车,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,货车,皮卡,货车,货车,皮卡,货车,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-
车窗防夹手功能,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-
车型名称,江淮T8 2018款 2.0T柴油两驱豪华型标双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油两驱豪华型大双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油四驱尊贵型标双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油四驱尊贵型大双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油四驱豪华型标双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油四驱豪华型大双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油两驱尊贵型标双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油两驱尊贵型大双HFC4DB2-1D1,江淮T8 2019款 2.0T柴油四驱智联型标双HFC4DB2-1D1,江淮T8 2019款 2.0T柴油四驱智联型大双HFC4DB2-1D1,江淮T8 2019款 2.0T柴油两驱智联型标双HFC4DB2-1D1,江淮T8 2019款 2.0T柴油两驱智联型大双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油四驱舒适型标双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油四驱舒适型大双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油两驱舒适型标双HFC4DB2-1D1,江淮T8 2018款 2.0T柴油两驱舒适型大双HFC4DB2-1D1,江淮T8 2019款 2.0T汽油四驱尊贵型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油四驱尊贵型大双HFC4GA3-4D,江淮T8 2019款 2.0T探索版四驱尊贵型标双HFC4DB2-1D1,江淮T8 2019款 2.0T探索版四驱尊贵型标双HFC4GA3-4D,江淮T8 2019款 2.0T探索版四驱尊贵型大双HFC4DB2-1D1,江淮T8 2019款 2.0T探索版四驱尊贵型大双HFC4GA3-4D,江淮T8 2019款 2.0T汽油四驱智联型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油四驱智联型大双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱智联型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱智联型大双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱尊贵型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱尊贵型大双HFC4GA3-4D,江淮T8 2019款 2.0T汽油四驱豪华型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油四驱豪华型大双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱豪华型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱豪华型大双HFC4GA3-4D,江淮T8 2019款 2.0T汽油四驱舒适型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油四驱舒适型大双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱舒适型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱舒适型大双HFC4GA3-4D,江淮T8 2019款 2.0L汽油两驱豪华型标双HFC4GA3-3D,江淮T8 2019款 2.0L汽油两驱豪华型大双HFC4GA3-3D,江淮T8 2019款 2.0T探索版两驱尊贵型标双HFC4DB2-1D1,江淮T8 2019款 2.0T探索版两驱尊贵型大双HFC4DB2-1D1,江淮T8 2020款 2.0T柴油四驱豪华型标双HFC4DB2-2E,江淮T8 2020款 2.0T柴油四驱豪华型大双HFC4DB2-2E,江淮T8 2020款 2.0T柴油两驱豪华型标双HFC4DB2-2E,江淮T8 2020款 2.0T柴油两驱豪华型大双HFC4DB2-2E,江淮T8 2019款 2.0T汽油四驱尊享型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油四驱尊享型大双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱尊享型标双HFC4GA3-4D,江淮T8 2019款 2.0T汽油两驱尊享型大双HFC4GA3-4D,江淮T8 2019款 2.0T柴油四驱尊享型标双HFC4DB2-1D1,江淮T8 2019款 2.0T柴油四驱尊享型大双HFC4DB2-1D1,江淮T8 2019款 2.0T柴油两驱尊享型标双HFC4DB2-1D1,江淮T8 2019款 2.0T柴油两驱尊享型大双HFC4DB2-1D1,江淮T8 2021款 2.0T PRO 柴油四驱锐尚版标双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油四驱锐尚版大双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油两驱锐尚版标双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油两驱锐尚版大双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油四驱锐行版大双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油两驱锐行版标双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油两驱锐行版大双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油四驱锐行版标双HFC4DB2-2E,江淮T8 2021款 2.4T PRO 汽油四驱锐尚版标双4K22D4T,江淮T8 2021款 2.4T PRO 汽油四驱锐尚版大双4K22D4T,江淮T8 2021款 2.4T PRO 汽油两驱锐尚版标双4K22D4T,江淮T8 2021款 2.4T PRO 汽油两驱锐尚版大双4K22D4T,江淮T8 2021款 2.4T PRO 汽油四驱锐行版标双4K22D4T,江淮T8 2021款 2.4T PRO 汽油四驱锐行版大双4K22D4T,江淮T8 2021款 2.4T PRO 汽油两驱锐行版标双4K22D4T,江淮T8 2021款 2.4T PRO 汽油两驱锐行版大双4K22D4T,江淮T8 2020款 2.4T汽油四驱豪华型标双4K22D4T,江淮T8 2020款 2.4T汽油四驱豪华型大双4K22D4T,江淮T8 2020款 2.4T汽油两驱豪华型标双4K22D4T,江淮T8 2020款 2.4T汽油两驱豪华型大双4K22D4T,江淮T8 2021款 2.0T PRO 柴油四驱商务型标双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油四驱商务型大双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油两驱商务型标双HFC4DB2-2E,江淮T8 2021款 2.0T PRO 柴油两驱商务型大双HFC4DB2-2E,江淮T8 2021款 2.4T PRO 汽油四驱商务型标双4K22D4T,江淮T8 2021款 2.4T PRO 汽油四驱商务型大双4K22D4T,江淮T8 2021款 2.4T PRO 汽油两驱商务型标双4K22D4T,江淮T8 2021款 2.4T PRO 汽油两驱商务型大双4K22D4T,江淮T8 2020款 2.0T柴油四驱商务型标双HFC4DB2-2E,江淮T8 2020款 2.0T柴油四驱商务型大双HFC4DB2-2E,江淮T8 2020款 2.0T柴油两驱商务型标双HFC4DB2-2E,江淮T8 2020款 2.0T柴油两驱商务型大双HFC4DB2-2E,江淮T8 2020款 2.4T汽油四驱商务型标双4K22D4T,江淮T8 2020款 2.4T汽油四驱商务型大双4K22D4T,江淮T8 2020款 2.4T汽油两驱商务型标双4K22D4T,江淮T8 2020款 2.4T汽油两驱商务型大双4K22D4T,江淮T8 2022款 2.0T国际版柴油两驱豪华型标双HFC4DB2-2E,江淮T8 2022款 2.0T国际版柴油两驱豪华型大双HFC4DB2-2E,江淮T8 2022款 2.0T国际版柴油四驱尊贵型标双HFC4DB2-2E,江淮T8 2022款 2.0T国际版柴油四驱尊贵型大双HFC4DB2-2E,江淮T8 2022款 2.0T国际版柴油四驱豪华型标双HFC4DB2-2E,江淮T8 2022款 2.0T国际版柴油四驱豪华型大双HFC4DB2-2E,江淮T8 2022款 2.0T国际版柴油两驱尊贵型标双HFC4DB2-2E,江淮T8 2022款 2.0T国际版柴油两驱尊贵型大双HFC4DB2-2E,江淮T8 2022款 2.0T PRO 柴油四驱锐尚版标双HFC4DB2-2E,江淮T8 2022款 2.0T PRO 柴油四驱锐尚版大双HFC4DB2-2E,江淮T8 2022款 2.0T PRO 柴油两驱锐尚版标双HFC4DB2-2E,江淮T8 2022款 2.0T PRO 柴油两驱锐尚版大双HFC4DB2-2E,江淮T8 2022款 2.0T PRO 柴油四驱锐行版标双HFC4DB2-2E,江淮T8 2022款 2.0T PRO 柴油四驱锐行版大双HFC4DB2-2E,江淮T8 2022款 2.0T PRO 柴油两驱锐行版标双HFC4DB2-2E,江淮T8 2022款 2.0T PRO 柴油两驱锐行版大双HFC4DB2-2E
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
