Feature,1005430,1005431,1005432,1005433,1005436,1005437,1006211,1006212,1006516,1006517,1007082,1007083,1007084,1007085,1007086,1007087,1007088,1007089,1007090,1007091,1009235,1009236,1009237,1009238,1009239,1009240,1009241,1009242,1009243,1009244
后轮胎规格,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,盘式,盘式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,盘式,盘式,鼓式,鼓式,盘式,盘式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-
发动机型号,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,D19TCIE2,4G69S4N,4G69S4N,4G69S4N,4G69S4N,4G69S4N,4G69S4N,4G69S4N,4G69S4N,4G69S4N,4G69S4N,4K22D4T,4K22D4T,4K22D4T,4K22D4T,4K22D4T,4K22D4T,4K22D4T,4K22D4T,4K22D4T,4K22D4T
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4L 136马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
厂商指导价(元),10.58万,10.78万,9.98万,10.18万,12.08万,11.48万,12.28万,11.68万,15.18万,13.88万,12.88万,12.68万,10.28万,10.08万,11.48万,11.28万,8.98万,9.18万,8.48万,8.68万,13.48万,13.68万,11.58万,11.78万,11.98万,12.18万,10.08万,10.28万,9.68万,9.88万
厂商,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
前轮胎规格,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
