Feature,1011413,1011414,1012925,1012926,1012927,1012928,1012929,1012930,1013475,1013476,1013477,1013478,1014878,1014879,1014880,1014881,1014882,1014883,1014884,1014885,1015723,1015724,1015929,1015930,1015931,1015932
车型名称,中兴1949 2022款 2.3T竞技版柴油手动四驱尊贵型大双,中兴1949 2022款 2.3T商用版柴油手动四驱超豪华型大双,中兴1949 2022款 2.0T乘用版汽油自动四驱超豪华型标双,中兴1949 2022款 2.0T乘用版汽油自动四驱尊贵型标双,中兴1949 2022款 2.0T乘用版汽油自动两驱尊贵型标双,中兴1949 2022款 2.0T乘用版汽油自动两驱超豪华型标双,中兴1949 2022款 2.3T商用版柴油手动两驱尊贵型大双,中兴1949 2022款 2.3T商用版柴油手动两驱超豪华型大双,中兴1949 2022款 2.0T乘用版汽油自动四驱豪华型标双,中兴1949 2022款 2.0T乘用版汽油自动两驱豪华型标双,中兴1949 2022款 2.3T商用版柴油手动两驱豪华型大双,中兴1949 2022款 2.3T商用版柴油手动四驱豪华型大双,2023款 2.3T商用版柴油自动两驱豪华型大双,2023款 2.3T商用版柴油自动四驱豪华型大双,2023款 2.3T商用版柴油自动两驱超豪华型大双,2023款 2.3T商用版柴油自动四驱超豪华型大双,2023款 2.3T乘用版柴油自动两驱豪华型标双,2023款 2.3T乘用版柴油自动四驱豪华型标双,2023款 2.3T乘用版柴油自动两驱超豪华型标双,2023款 2.3T乘用版柴油自动四驱超豪华型标双,中兴1949 2023款 2.3T商用版柴油自动两驱舒适型大双,中兴1949 2023款 2.3T商用版柴油自动四驱舒适型大双,2023款 2.3T公务版柴油手动两驱豪华型大双,2023款 2.3T公务版柴油手动四驱豪华型大双,2023款 2.0T公务版汽油自动两驱超豪华型标双,2023款 2.0T公务版汽油自动四驱超豪华型标双
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,,,,
车内环境氛围灯,,,,,,,,,,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1810x1700x515,1810x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1810x1700x515,1810x1700x515,1530x1700x515,1530x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1530x1700x515,1530x1700x515
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,-,-,●,●,-,-,●,●,●,●
能源类型,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,铝合金,铝合金,铝合金,铝合金,未知,未知,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,0号,0号,92号,92号,92号,92号,0号,0号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号
燃料形式,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),150,150,170,170,170,170,150,150,170,170,150,150,150,150,150,150,150,150,150,150,150,150,150,150,170,170
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),163,163,197,197,197,197,163,163,197,197,163,163,163,163,163,163,163,163,163,163,163,163,163,163,197,197
最大载重质量(kg),495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,380,380,360,360,360,360,380,380,360,360,380,380,380,380,380,380,380,380,380,380,380,380,380,380,360,360
最大扭矩(N·m)_x,380,380,360,360,360,360,380,380,360,360,380,380,380,380,380,380,380,380,380,380,380,380,380,380,360,360
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,120,120,145,145,145,145,120,120,145,145,120,120,120,120,120,120,120,120,120,120,120,120,120,120,145,145
最大功率(kW)_x,120,120,145,145,145,145,120,120,145,145,120,120,120,120,120,120,120,120,120,120,120,120,120,120,145,145
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_x,-,-,-,-,-,-,-,-,-,-,-,-,2090,2190,2090,2190,2100,2200,2100,2200,2090,2190,-,-,-,-
排量(mL),2298,2298,1967,1967,1967,1967,2298,2298,1967,1967,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,1967,1967
挡位个数,6,6,8,8,8,8,6,6,8,8,6,6,8,8,8,8,8,8,8,8,8,8,6,6,8,8
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,,,,,,,-,-,-,-,-,-,,,-,-,,,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,8.1,8.3,8.1,8.3,8.1,8.3,8.1,8.3,8.1,8.3,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,
宽度(mm),2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,-,-,-,-
后轮胎规格,265/70 R18,265/70 R18,265/70 R18,265/70 R18,265/70 R18,265/70 R18,265/70 R18,265/70 R18,285/70 R17,285/70 R17,265/70 R18,265/70 R18,285/70 R17,285/70 R17,285/70 R17,285/70 R17,285/70 R17,285/70 R17,285/70 R17,285/70 R17,265/70 R17,265/70 R17,265/70 R18,265/70 R18,265/70 R18,265/70 R18
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架,整体桥非独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT)
变速箱,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,ZXDDi23-6A,ZXDDi23-6A,ZXDDi23-6A,ZXDDi23-6A,ZXDDi23-6A,ZXDDi23-6A,ZXDDi23-6A,ZXDDi23-6A,ZXDDi23-6A,ZXDDi23-6A,-,-,-,-
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.3T 163马力 L4,2.3T 163马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.3T 163马力 L4,2.0T 197马力 L4,2.0T 197马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),19.49万,16.89万,18.09万,20.99万,19.49万,16.79万,17.99万,15.59万,16.79万,15.49万,14.29万,15.59万,15.59万,16.89万,16.89万,18.19万,15.69万,16.99万,16.99万,18.29万,14.69万,15.59万,15.49万,17.29万,16.69万,18.49万
厂商,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,液压助力,液压助力,电动助力,电动助力,电动助力,电动助力,液压助力,液压助力,电动助力,电动助力,液压助力,液压助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,液压助力,液压助力,液压助力,液压助力,电动助力,电动助力
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,-,-,-,-
前轮胎规格,265/70 R18,265/70 R18,265/70 R18,265/70 R18,265/70 R18,265/70 R18,265/70 R18,265/70 R18,285/70 R17,285/70 R17,265/70 R18,265/70 R18,285/70 R17,285/70 R17,285/70 R17,285/70 R17,285/70 R17,285/70 R17,285/70 R17,285/70 R17,265/70 R17,265/70 R17,265/70 R18,265/70 R18,265/70 R18,265/70 R18
前排座椅功能,,,,,,,,,-,-,-,-,-,-,,,-,-,,,-,-,,,,
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
