Feature,25564,25565,25566,26581,26582,27017,27084,27087,27817,27975,28959,28960,31104,31146,31216,31217,31218,31219,31220
行李厢容积(L),460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,460-1015,-,-,460-1015
蓝牙/车载电话,-,●,●,●,●,●,-,●,●,-,●,●,●,●,-,●,-,●,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,●,-,●,●,●,●,●,●,●,●,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,●,-,●,●,-,-,●,-,●,●,●,●,-,-,-,●,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,铝合金,未知,铝合金,未知,未知,未知,未知,未知,未知,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,6挡手动,6挡手动,6挡手动,5挡AMT,5挡AMT,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,6挡手动,5挡AMT,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,5挡AMT
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2座,2座,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,手动●,手动●,自动●,手动●,自动●,手动●,手动●,手动●,自动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,●,-,●,●,-,-,●,-,●,●,●,●,-,-,-,●,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,●,-,●,●,-,-,●,-,●,●,●,●,-,-,-,●,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),137,137,137,137,137,150,150,150,150,137,150,137,150,150,150,150,150,150,137
最大扭矩转速(rpm),3600-4600,3600-4600,3600-4600,3600-4600,3600-4600,2000-3800,2000-3800,2000-3800,2000-3800,3600-4600,2000-3800,3600-4600,2000-3800,2000-3800,2000-3800,2000-3800,2000-3800,2000-3800,3600-4600
最大扭矩(N·m)_y,186,186,186,186,186,230,230,230,230,186,230,186,230,230,230,230,230,230,186
最大扭矩(N·m)_x,186,186,186,186,186,230,230,230,230,186,230,186,230,230,230,230,230,230,186
最大功率转速(rpm),5600,5600,5600,5600,5600,5500,5500,5500,5500,5600,5500,5600,5500,5500,5500,5500,5500,5500,5600
最大功率(kW)_y,101,101,101,101,101,110,110,110,110,101,110,101,110,110,110,110,110,110,101
最大功率(kW)_x,101,101,101,101,101,110,110,110,110,101,110,101,110,110,110,110,110,110,101
无钥匙进入系统,-,-,●,-,●,●,-,-,●,-,●,●,●,●,●,●,-,●,-
无钥匙启动系统,-,-,●,-,●,●,-,-,●,-,●,●,●,●,●,●,-,●,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,-,上下调节,-,-,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),-,-,-,1410,1410,-,-,-,1500,1375,1480,1470,1545,1545,1545,1545,1545,1570,1435
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1798,1798,1798,1798,1798,1451,1451,1451,1451,1798,1451,1798,1451,1451,1451,1451,1451,1451,1798
挡位个数,6,6,6,5,5,6,6,6,6,5,6,5,6,6,6,6,6,6,5
扬声器品牌,-,-,-,-,-,-,-,-,Infinity燕飞利仕,-,Infinity燕飞利仕,Infinity燕飞利仕,Infinity燕飞利仕,Infinity燕飞利仕,-,-,-,Infinity燕飞利仕,-
扬声器个数,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,8-9喇叭,4-5喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,4-5喇叭,6-7喇叭,4-5喇叭,8-9喇叭,4-5喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,织物,仿皮,仿皮,仿皮,仿皮,仿皮,织物,仿皮,仿皮,织物,仿皮,仿皮,仿皮,仿皮,织物,仿皮,织物,仿皮,织物
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.3,7.3,7.3,7.4,7.4,6.8,6.8,6.8,6.8,7.3,6.8,7.4,7.7,7.7,7.7,7.7,7,7.7,7.4
宽度(mm),1820,1820,1820,1820,1820,1820,1820,1820,1810,1820,1810,1820,1810,1810,1810,1810,1810,1810,1820
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,6.9,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,42.87,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,12.3,-,-,-,-,-
定速巡航,-,●,●,●,●,●,-,●,●,-,●,●,●,●,-,●,-,●,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,●,●,●,●,●,-,●,●,-,●,●,●,●,-,●,-,●,-
外接音源接口,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX+SD卡插槽,USB+SD卡插槽,USB+AUX,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB,USB+SD卡插槽,USB,USB+SD卡插槽,USB+AUX
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,-,●,-
后雨刷,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,●,-,●,●,-,-,●,-,●,●,●,●,-,-,-,●,-
后视镜加热,-,-,●,-,●,●,-,-,●,-,●,●,●,●,-,-,-,●,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,多连杆独立悬架,扭力梁式非独立悬架,多连杆独立悬架,多连杆独立悬架,梯形连杆式后悬架,梯形连杆式后悬架,梯形连杆式后悬架,梯形连杆式后悬架,梯形连杆式后悬架,梯形连杆式后悬架,扭力梁式非独立悬架
后座出风口,-,●,●,●,●,●,-,●,●,-,●,●,●,●,-,●,-,●,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),机械式自动变速箱(AMT),机械式自动变速箱(AMT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),机械式自动变速箱(AMT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),机械式自动变速箱(AMT)
变速箱,6挡手动,6挡手动,6挡手动,5挡AMT,5挡AMT,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,6挡手动,5挡AMT,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,5挡AMT
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,LJ479QNE2,LJ479QNE2,LJ479QNE2,LJ479QNE2,LJ479QNE2,LL5,LL5,LL5,LL5,LJ479QNE2,LL5,LJ479QNE2,LL5,LL5,LL5,LL5,LL5,LL5,LJ479QNE2
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.8L 137马力 L4,1.8L 137马力 L4,1.8L 137马力 L4,1.8L 137马力 L4,1.8L 137马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.8L 137马力 L4,1.5T 150马力 L4,1.8L 137马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.8L 137马力 L4
压缩比,10,10,10,10,10,-,-,-,-,10,-,10,-,-,-,-,-,-,10
厂商指导价(元),7.18万,7.78万,8.38万,8.18万,8.78万,8.78万,7.58万,8.18万,10.58万,6.98万,9.88万,10.58万,10.88万,11.58万,9.38万,10.08万,8.58万,11.78万,7.58万
厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,-,-,-,前●&nbsp;/&nbsp;后●,-
前/后排侧气囊,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全景摄像头,-,-,-,-,-,-,-,-,●,-,-,●,-,●,-,-,-,●,-
全景天窗,-,-,-,-,-,-,-,-,●,-,-,●,-,●,-,-,-,●,-
倒车视频影像,-,●,●,●,●,●,-,●,●,-,●,●,●,●,-,●,-,●,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
