Feature,53136,53558,53559,53560,53561,53562,53563,56652,56653,56654,56657,56658,56659,58974,59041,59042,59043,59044,59045,59046,59047,59048,59049,59052,59053,59522,59523,59524,59525,59657
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
百公里耗电量(kWh/100km),14.8,15.3,15.3,15.1,14.8,14.8,15.4,15.3,14.8,14.8,14.9,14.9,14.9,14.8,14.9,14.9,14.9,15.1,14.8,14.8,15.4,14.8,15.1,15.3,15.3,15.3,14.9,14.8,14.8,14.9
疲劳驾驶提示,●,-,●,-,-,●,●,-,-,●,-,-,●,●,-,●,●,-,-,●,●,●,-,-,●,-,-,●,-,-
电芯品牌,中航锂电,中航锂电,中航锂电,巨湾技研,中航锂电,中航锂电,孚能科技,中航锂电,中航锂电,中航锂电,孚能科技,孚能科技,孚能科技,中航锂电,孚能科技,孚能科技,孚能科技,巨湾技研,中航锂电,中航锂电,孚能科技,中航锂电,巨湾技研,中航锂电,中航锂电,中航锂电,孚能科技,中航锂电,中航锂电,孚能科技
电能当量燃料消耗量(L/100km),1.7,1.7,1.7,-,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),173,141,141,140,173,173,185,141,173,173,166,166,166,173,166,166,166,140,173,173,185,173,130,141,141,141,166,173,173,166
电池能量(kWh),80,71.8,71.8,72.1,80,80,95.8,71.8,80,80,69.9,69.9,69.9,80,69.9,69.9,69.9,72.1,80,80,95.8,80,71.8,71.8,71.8,71.8,69.9,80,80,69.9
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),350,350,350,350,350,350,320,350,350,350,350,350,350,350,350,350,350,350,350,350,320,350,350,350,350,350,350,350,350,350
电动机总功率(kW),165,165,165,165,165,165,200,165,165,165,165,165,165,165,165,165,165,165,165,165,200,165,165,165,165,165,165,165,165,165
电动机总功率(Ps),224,224,224,224,224,224,272,224,224,224,224,224,224,224,224,224,224,224,224,224,272,224,224,224,224,224,224,224,224,224
电动机(Ps),224,224,224,224,224,224,272,224,224,224,224,224,224,224,224,224,224,224,224,224,272,224,224,224,224,224,224,224,224,224
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,-,,-,-,,,-,-,,-,-,,,-,,,-,-,,,,-,-,,-,-,,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
热泵空调,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
满载最小离地间隙(mm),160,150,150,150,160,160,160,150,160,160,160,160,160,160,160,160,160,150,160,160,160,160,160,150,150,150,160,160,160,160
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
最小转弯半径(m),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
最大爬坡角度(°),16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
最大爬坡度(%),30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
最大满载质量(kg),2420,2450,2450,-,2420,2420,2490,2450,2420,2420,2350,2350,2350,2600,2350,2350,2550,2510,2420,2420,2490,2420,2540,2450,2450,2450,2350,2420,2420,2550
最大扭矩(N·m),350,350,350,350,350,350,320,350,350,350,350,350,350,350,350,350,350,350,350,350,320,350,350,350,350,350,350,350,350,350
最大功率(kW),165,165,165,165,165,165,200,165,165,165,165,165,165,165,165,165,165,165,165,165,200,165,165,165,165,165,165,165,165,165
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里
整备质量(kg),1960,2040,2040,-,1960,1960,2030,2040,1960,1960,1905,1905,1905,2030,1905,1905,1980,2055,1960,1960,2030,1960,2080,2040,2040,2040,1905,1960,1960,1980
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,,-,,-,-,,,-,-,,-,-,,,-,,,-,-,,,,-,-,,-,-,,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程控制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量百分比,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,80,-,-,-,-,-,-,-
快充电量(%),-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,80,-,-,-,-,-,-,-
快充时间(小时)_y,-,-,-,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,-,-,-,-,0.083,-,-,-,-,-,-,-
快充时间(小时)_x,-,-,-,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,-,-,-,-,0.083,-,-,-,-,-,-,-
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅布局,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,7
并线辅助,●,-,-,-,-,●,●,-,-,●,-,-,-,●,-,-,-,-,-,●,●,●,-,-,-,-,-,●,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外放电,●,-,●,-,-,●,●,-,-,●,-,-,●,●,-,●,●,-,-,●,●,●,-,-,●,-,-,●,-,-
宽度(mm),1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920
官方0-100km/h加速(s),7.6,7.9,7.9,7.9,7.6,7.6,6.9,7.9,7.6,7.6,7.9,7.9,7.9,7.6,7.9,7.9,7.9,7.9,7.6,7.6,6.9,7.6,7.9,7.9,7.9,7.9,7.9,7.6,7.6,7.9
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
