Feature,46738,46739,46740,46741,50216,50217,52025,52182,52258,52259,52260,52261,52281,52282,52283,54305,54306,54596,54597,54598,56390,56391,56957,56958,56959,56960,57207,57208,58654,58655,58656,58657,59201,59202,59203,59204,59208,59209
长*宽*高(mm),4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746,4700*1860*1746
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-
道路交通标识识别,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
远程启动功能,-,-,-,-,-,-,,,-,-,,,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,-,-,-,,,-,-,,,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-
车窗防夹手功能,-,-,-,-,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,-,-
车窗一键升降功能,-,-,-,-,-,-,,,,,,,-,,,,,,,,,,,,,,-,-,-,-,-,-,,,,,-,-
车型名称,瑞虎8 2020款 1.5TCI 手动特供版 5座,瑞虎8 2020款 1.5TCI 自动特供版 5座,瑞虎8 2020款 1.5TCI 手动特供版 7座,瑞虎8 2020款 1.5TCI 自动特供版 7座,瑞虎8 2020款 经典 1.5TCI 自动尊崇版 5座,瑞虎8 2020款 经典 1.5TCI 自动尊崇版 7座,瑞虎8 2021款 鲲鹏版 390TGDI 自动扶摇版,瑞虎8 2021款 鲲鹏版 290TGDI 自动扶摇版,瑞虎8 2021款 鲲鹏版 290TGDI 自动展翅版,瑞虎8 2021款 鲲鹏版 390TGDI 自动展翅版,瑞虎8 2021款 鲲鹏版 290TGDI 自动逐风版,瑞虎8 2021款 鲲鹏版 390TGDI 自动逐风版,瑞虎8 2021款 230TCI 手动时尚版,瑞虎8 2021款 230TCI 手动精英版,瑞虎8 2021款 230TCI 自动精英版,瑞虎8 2021款 鲲鹏版 290TGDI 自动逐风+版,瑞虎8 2021款 鲲鹏版 390TGDI 自动逐风+版,瑞虎8 2021款 2.0T 工匠派联名款 Ultra版,瑞虎8 2021款 2.0T 工匠派联名款 Basic版,瑞虎8 2021款 2.0T 工匠派联名款 Special版,瑞虎8 2021款 鲲鹏版 290TGDI 自动扶摇版+,瑞虎8 2021款 鲲鹏版 390TGDI 自动扶摇版+,瑞虎8 2021款 1.5TCI 手动西伯利亚版 5座,瑞虎8 2021款 1.6TGDI 自动西伯利亚版 5座,瑞虎8 2021款 1.5TCI 手动西伯利亚版 7座,瑞虎8 2021款 1.6TGDI 自动西伯利亚版 7座,瑞虎8 2022款 1.5TCI 自动新动版 5座,瑞虎8 2022款 1.5TCI 自动新动版 7座,瑞虎8 2022款 1.5TCI 手动特供版 5座,瑞虎8 2022款 1.5TCI 自动特供版 5座,瑞虎8 2022款1.5TCI 手动特供版 7座,瑞虎8 2022款 1.5TCI 自动特供版 7座,瑞虎8 2023款 230TCI 手动进阶版,瑞虎8 2023款 230TCI 自动进阶版,瑞虎8 2023款 鲲鹏版 290TGDI 自动卓越版,瑞虎8 2023款 鲲鹏版 290TGDI 自动超享版,瑞虎8 2022款 改款 1.5TCI 自动新动版 5座,瑞虎8 2022款 改款 1.5TCI 自动新动版 7座
车前雾灯,-,-,-,-,-,-,,,,,,,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,,,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,,,-,-,,,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,,-,-
车内化妆镜,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,-,-,-,-,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,-,-,-,-,-,,,-,-,,,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铝合金,铸铁,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铸铁,铸铁
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,6挡手动,6挡干式双离合,6挡手动,6挡干式双离合,6挡干式双离合,6挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡手动,6挡手动,6挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡手动,7挡湿式双离合,6挡手动,7挡湿式双离合,6挡干式双离合,6挡干式双离合,6挡手动,6挡湿式双离合,6挡手动,6挡湿式双离合,6挡手动,6挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡湿式双离合,6挡湿式双离合
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-
电动后备厢,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,,,-,-,,,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
满载最小离地间隙(mm),200,200,200,200,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,200,200,-,-,200,200,200,200,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),51,51,51,51,51,51,-,-,-,-,-,-,51,51,51,-,-,51,51,51,-,-,51,51,51,51,51,51,51,51,51,51,51,51,-,-,51,51
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),190,190,190,190,190,190,210,200,200,210,200,210,190,190,190,200,210,210,210,210,200,210,190,200,190,200,190,190,190,190,190,190,190,190,200,200,190,190
最大马力(Ps),156,156,156,156,156,156,254,197,197,254,197,254,156,156,156,197,254,254,254,254,197,254,156,197,156,197,156,156,156,156,156,156,156,156,197,197,156,156
最大满载质量(kg),2143,2143,2143,2143,2143,2143,2189,2143,2143,2189,2143,2189,2143,2143,2143,2143,2189,2189,2189,2189,2143,2189,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143
最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,1750-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,1750-4000,1750-4000,2000-4000,1750-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,1750-4000,1750-4000
最大扭矩(N·m)_y,230,230,230,230,230,230,390,290,290,390,290,390,230,230,230,290,390,390,390,390,290,390,230,290,230,290,230,230,230,230,230,230,230,230,290,290,230,230
最大扭矩(N·m)_x,230,230,230,230,230,230,390,290,290,390,290,390,230,230,230,290,390,390,390,390,290,390,230,290,230,290,230,230,230,230,230,230,230,230,290,290,230,230
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,115,115,115,115,115,115,187,145,145,187,145,187,115,115,115,145,187,187,187,187,145,187,115,145,115,145,115,115,115,115,115,115,115,115,145,145,115,115
最大功率(kW)_x,115,115,115,115,115,115,187,145,145,187,145,187,115,115,115,145,187,187,187,187,145,187,115,145,115,145,115,115,115,115,115,115,115,115,145,145,115,115
最大净功率(kW),108,108,108,108,108,108,180,136.5,136.5,180,136.5,180,108,108,108,136.5,180,180,180,180,136.5,180,108,140,108,140,108,108,108,108,108,108,108,108,136.5,136.5,108,108
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1509,1541,1541,1556,1541,1556,1587,1544,1544,1587,1544,1587,1509,1509,1541,1544,1587,1587,1587,1587,1544,1587,1509,1544,1541,1587,1541,1556,1509,1541,1541,1556,1509,1541,1544,1544,1541,1556
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
接近角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
排量(mL),1498,1498,1498,1498,1498,1498,1998,1598,1598,1998,1598,1998,1498,1498,1498,1598,1998,1998,1998,1998,1598,1998,1498,1598,1498,1598,1498,1498,1498,1498,1498,1498,1498,1498,1598,1598,1498,1498
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,6,7,6,7,6,6,6,6,6,6,6,6,7,7,6,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-
手机无线充电功能,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
手机互联/映射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机APP远程控制,-,-,-,-,-,-,,,-,-,,,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,,,,,,,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,,-,-
