,28066,29913,29914,33604,33605,33606,35075,35076,35077,35078
运动风格座椅,-,-,-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,整体放倒,整体放倒,整体放倒,-,-,整体放倒,整体放倒
前/后中央扶手,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,○,○,○,●,○,-,-,-,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
手机互联/映射,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,2-3喇叭,2-3喇叭,2-3喇叭,4-5喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,-,-,-,●,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
前雾灯,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗一键升降,主驾驶位,主驾驶位,-,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车窗防夹手功能,●,●,-,●,●,●,●,●,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,-,-,-,●,-,-,-,-,●
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车型名称,奇瑞eQ1 2017款 智炫版 2座,奇瑞eQ1 2017款 智享版 2座,奇瑞eQ1 2017款 智尚版,奇瑞eQ1 2018款 智享版 4座,奇瑞eQ1 2018款 智炫版 4座,奇瑞eQ1 2018款 小蚂蚁300 智享版 4座,奇瑞eQ1 2018款 小蚂蚁400 智尚版,奇瑞eQ1 2018款 小蚂蚁400 智享版 2座,奇瑞eQ1 2018款 小蚂蚁400 智享版 4座,奇瑞eQ1 2018款 小蚂蚁400 智炫版 4座
厂商指导价(元),16.59万,16.19万,15.59万,16.39万,16.79万,11.99万,13.41万,13.81万,14.01万,14.41万
厂商,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源
级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
上市时间,2016.10,2017.03,2017.03,2018.02,2018.02,2018.03,2018.07,2018.07,2018.07,2018.07
工信部纯电续驶里程(km),151,151,151,151,151,251,301,301,301,301
快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
慢充时间(小时)_x,8,8,8,8,8,6,7,7,7,7
快充电量百分比,80,80,80,80,80,80,80,80,80,80
最大功率(kW),30,30,30,30,30,30,30,30,30,30
最大扭矩(N·m),120,120,120,120,120,120,120,120,120,120
长*宽*高(mm),3200*1670*1550,3200*1670*1550,3200*1670*1550,3200*1670*1550,3200*1670*1550,3200*1670*1550,3200*1670*1550,3200*1670*1550,3200*1670*1550,3200*1670*1550
车身结构_x,3门2座两厢车,3门2座两厢车,3门2座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门2座两厢车,3门2座两厢车,3门4座两厢车,3门4座两厢车
最高车速(km/h),100,100,100,100,100,100,100,100,100,100
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-
实测续航里程(km),-,-,-,-,-,-,-,-,-,-
实测快充时间(小时),-,-,-,-,-,-,-,-,-,-
实测慢充时间(小时),-,-,-,-,-,-,-,-,-,-
整车质保,三年或12万公里,待查,待查,待查,待查,待查,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里
长度(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
宽度(mm),1670,1670,1670,1670,1670,1670,1670,1670,1670,1670
高度(mm),1550,1550,1550,1550,1550,1550,1550,1550,1550,1550
轴距(mm),2150,2150,2150,2150,2150,2150,2150,2150,2150,2150
前轮距(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
后轮距(mm),1430,1430,1430,1430,1430,1430,1430,1430,1430,1430
最小离地间隙(mm),135,135,135,135,135,135,125,125,125,125
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车门数(个),3,3,3,3,3,3,3,3,3,3
座位数(个),2,2,2,4,4,4,2,2,4,4
油箱容积(L),-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-
整备质量(kg),855,855,855,-,-,985,995,-,-,1015
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电动机总功率(kW),30,30,30,30,30,30,30,30,30,30
电动机总扭矩(N·m),120,120,120,120,120,120,120,120,120,120
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),30,30,30,30,30,30,30,30,30,30
后电动机最大扭矩(N·m),120,120,120,120,120,120,120,120,120,120
系统综合功率(kW),-,-,-,-,-,-,-,-,-,-
系统综合扭矩(N·m),-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
工信部续航里程(km),151,151,151,151,151,251,301,301,301,301
电池容量(kWh),18.2,18.2,18.2,18.2,18.2,32.2,38,38,38,38
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-
电池组质保,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里
快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
慢充时间(小时)_y,8,8,8,8,8,6,7,7,7,7
快充电量(%),80,80,80,80,80,80,80,80,80,80
挡位个数,1,1,1,1,1,1,1,1,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
驻车制动类型,电子驻车,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15
后轮胎规格,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15,165/65 R15
备胎规格,无,无,无,无,无,无,无,无,无,无
