,24146,24147,24148,24149,24150,24151,24152,24153,24154,24155,24156,24157,24158,24159,24160,24161,24162,24163,24164,24165,28192,28422,29546,29547,29548,29549,29550,29551,29552,29553,29554,29555,29556,29557,29558,29559,29560,29561,29562,29563,33230,33231,33232,33233,33234,33235,33236,33237,33238,33239,33240
最小离地间隙(mm),-,-,-,-,-,-,-,170,170,170,170,170,-,-,-,-,-,-,-,-,174,174,170,170,170,170,170,-,-,-,-,-,-,-,-,-,-,-,-,-,174,174,170,170,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,两厢车,两厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
行李厢容积(L),403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,450-900,450-900,450-900,450-900,450-900,450-900,450-900,450-900,450-900,450-900,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,403-1105,450-900,450-900,450-900,450-900,450-900,450-900,450-900,450-900,450-900,403-1105,403-1105,403-1105,403-1105,403-1105,450,450,450-900,450-900
整备质量(kg),1320,1320,1360,1320,1360,1410,1410,1390,1390,1430,1430,1430,1320,1320,1360,1320,1360,1410,1410,1410,1430,1390,1390,1390,1430,1430,1430,1320,1360,1320,1360,1410,1410,1320,1360,1320,1360,1410,1410,1410,1390,1430,1390,1430,1360,1375,1425,1320,1360,1375,1425
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,11,11,11,11,11,9.5,9.5,9.5,9.5,9.5,9.5,9.5,11,11,11,11,11,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,11,11,11,11,9.5,9.5,11,11,11,11,9.5,9.5,9.5,9.5,9.5,9.5,9.5,11,11,9.5,11,11,11,9.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),126,126,126,126,126,156,156,156,156,156,156,156,126,126,126,126,126,156,156,156,156,156,156,156,156,156,156,126,126,126,126,156,156,126,126,126,126,156,156,156,156,156,156,156,126,126,156,126,126,126,156
最大功率(kW)_y,93,93,93,93,93,115,115,115,115,115,115,115,93,93,93,93,93,115,115,115,115,115,115,115,115,115,115,93,93,93,93,115,115,93,93,93,93,115,115,115,115,115,115,115,93,93,115,93,93,93,115
最大功率转速(rpm),6150,6150,6150,6150,6150,5500,5500,5500,5500,5500,5500,5500,6150,6150,6150,6150,6150,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,6150,6150,6150,6150,5500,5500,6150,6150,6150,6150,5500,5500,5500,5500,5500,5500,5500,6150,6150,5500,6150,6150,6150,5500
最大扭矩(N·m)_y,155,155,155,155,155,210,210,210,210,210,210,210,155,155,155,155,155,210,210,210,230,230,230,230,230,230,230,155,155,155,155,230,230,155,155,155,155,230,230,230,230,230,230,230,155,155,230,155,155,155,230
最大扭矩转速(rpm),3900,3900,3900,3900,3900,1750-5000,1750-5000,1750-5000,1750-5000,1750-5000,1750-5000,1750-5000,3900,3900,3900,3900,3900,1750-5000,1750-5000,1750-5000,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,3900,3900,3900,3900,2500-4500,2500-4500,3900,3900,3900,3900,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,2500-4500,3900,3900,2500-4500,3900,3900,3900,2500-4500
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,双可变气门正时,双可变气门正时,双可变气门正时,双可变气门正时,双可变气门正时,双可变气门正时,双可变气门正时,-,-,-,-,双可变气门正时,双可变气门正时,-,-,-,-,双可变气门正时,双可变气门正时,双可变气门正时,双可变气门正时,双可变气门正时,双可变气门正时,双可变气门正时,-,-,双可变气门正时,-,-,-,双可变气门正时
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
变速箱类型,手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
简称,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,6挡手动,6挡双离合,6挡双离合,6挡双离合,6挡双离合,6挡手动,6挡双离合,6挡双离合,6挡双离合
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,205/60 R16,205/60 R16,205/60 R16,205/60 R16,205/60 R16,215/50 R17,225/45 R18,215/60 R17,215/60 R17,215/60 R17,215/55 R18,215/55 R18,205/60 R16,205/60 R16,205/60 R16,205/60 R16,205/60 R16,215/50 R17,215/50 R17,225/45 R18,215/55 R18,215/55 R18,215/60 R17,215/60 R17,215/60 R17,215/55 R18,215/55 R18,205/60 R16,205/60 R16,205/60 R16,205/60 R16,215/50 R17,225/45 R18,205/60 R16,205/60 R16,205/60 R16,205/60 R16,215/50 R17,215/50 R17,225/45 R18,215/55 R18,215/55 R18,215/60 R17,215/60 R17,205/60 R16,205/60 R16,225/45 R18,205/60 R16,205/60 R16,205/60 R16,225/45 R18
后轮胎规格,205/60 R16,205/60 R16,205/60 R16,205/60 R16,205/60 R16,215/50 R17,225/45 R18,215/60 R17,215/60 R17,215/60 R17,215/55 R18,215/55 R18,205/60 R16,205/60 R16,205/60 R16,205/60 R16,205/60 R16,215/50 R17,215/50 R17,225/45 R18,215/55 R18,215/55 R18,215/60 R17,215/60 R17,215/60 R17,215/55 R18,215/55 R18,205/60 R16,205/60 R16,205/60 R16,205/60 R16,215/50 R17,225/45 R18,205/60 R16,205/60 R16,205/60 R16,205/60 R16,215/50 R17,215/50 R17,225/45 R18,215/55 R18,215/55 R18,215/60 R17,215/60 R17,205/60 R16,205/60 R16,225/45 R18,205/60 R16,205/60 R16,205/60 R16,225/45 R18
备胎规格,无,非全尺寸,非全尺寸,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,无,非全尺寸,非全尺寸,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
