Feature,42104,42105,48651,48652,48653,48655,48656,48657,48658,48659,48660,48661,49615,49616,52746,56938,57449,57450,57451,57452,58700,59423,59502,59503
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,5挡手动,6挡手自一体,6挡手自一体,5挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,5挡手动,6挡手自一体,6挡手自一体,7挡干式双离合,5挡手动,7挡干式双离合,7挡干式双离合,7挡干式双离合,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),12.9,12.9,15,15,15,15,15,15,15,15,15,15,12.9,12.9,15,14,14,14,14,14,14,14,14,14
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,95号,95号,95号,95号,92号,92号,92号,95号,95号,95号,95号,95号,92号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
满载最小离地间隙(mm),122,122,126,126,126,126,126,126,126,126,126,126,122,122,126,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,●,●,-,●,●,●,-,-,-,●,-,-,-,-,-,●,-,-
液晶仪表尺寸,-,-,-,-,,,,,,,,,-,-,-,,,,,,,,,
油箱容积(L),55,55,50,50,50,50,50,50,50,50,50,50,55,55,50,50,50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),190,185,190,190,190,190,190,190,200,200,200,200,190,185,190,200,200,200,200,200,190,200,200,200
最小转弯半径(m),5.6,5.6,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.6,5.6,5.65,5.35,5.4,5.4,5.4,5.4,5.65,5.35,5.4,5.4
最大马力(Ps),112,112,113,113,113,113,113,113,116,116,150,150,112,112,113,150,116,116,116,116,113,160,116,116
最大满载质量(kg),1690,1720,1730,1700,1700,1730,1730,1730,1780,1780,1780,1780,1690,1720,1730,1800,1720,1740,1760,1760,1720,1810,1760,1760
最大扭矩转速(rpm),4000,4000,3900,3900,3900,3900,3900,3900,2000-3500,2000-3500,1750-3000,1750-3000,4000,4000,3900,1750-3000,2000-3500,2000-3500,2000-3500,2000-3500,3900,1750-4000,2000-3500,2000-3500
最大扭矩(N·m)_y,145,145,145,145,145,145,145,145,200,200,250,250,145,145,145,250,200,200,200,200,145,250,200,200
最大扭矩(N·m)_x,145,145,145,145,145,145,145,145,200,200,250,250,145,145,145,250,200,200,200,200,145,250,200,200
最大功率转速(rpm),6100,6100,6000,6000,6000,6000,6000,6000,5000,5000,5000-6000,5000-6000,6100,6100,6000,5000-6000,5000,5000,5000,5000,6000,5500,5000,5000
最大功率(kW)_y,82,82,83,83,83,83,83,83,85,85,110,110,82,82,83,110,85,85,85,85,83,118,85,85
最大功率(kW)_x,82,82,83,83,83,83,83,83,85,85,110,110,82,82,83,110,85,85,85,85,83,118,85,85
最大净功率(kW),82,82,83,83,83,83,83,83,85,85,110,110,82,82,83,110,85,85,85,85,83,118,85,85
无钥匙进入功能,-,-,-,-,-,-,,,-,,,,-,-,-,,-,-,,,-,,,
无钥匙启动系统,-,-,-,-,-,-,●,●,-,●,●,●,-,-,-,●,-,-,●,●,-,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1240,1275,1285,1245,1245,1285,1285,1285,1320,1320,1320,1320,1240,1275,1285,1338,1253,1283,1317,1317,1254,1344,1317,1317
接近角(°),14.2,14.2,16,16,16,16,16,16,16,16,16,16,14.2,14.2,16,16,16,16,16,16,16,16,16,16
排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1197,1197,1395,1395,1498,1498,1498,1395,1197,1197,1197,1197,1498,1498,1197,1197
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,5,6,6,5,5,6,6,6,7,7,7,7,5,6,6,7,5,7,7,7,6,7,7,7
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-
手机互联/映射,,,,,,,,,,,,,-,-,,,,,,,,,,
手机APP远程功能,-,-,,,,,,,,,,,-,-,,,,,,,,,,
感应雨刷功能,-,-,-,-,-,-,-,,-,-,-,,-,-,-,,-,-,-,-,-,,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,●,-,-
巡航系统,,,-,-,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,○,○,○,●,○,○,○,●,-,-,-,●,-,-,●,●,-,●,○,●
宽度(mm),1793,1793,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1793,1793,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815
官方0-100km/h加速(s),12.3,13.2,13.7,13.1,13.1,13.7,13.7,13.7,10.4,10.4,8.3,8.3,12.3,13.2,13.7,8.8,10.9,11,11,11,-,8.7,11,11
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,-,-,,,,,,,,,-,-,,,-,-,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1525,1525,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1525,1525,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
后轮胎规格,205/50 R17,205/50 R17,195/65 R15,195/65 R15,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,225/45 R17,195/65 R15,195/65 R15,205/55 R16,225/45 R17,195/65 R15,225/45 R17,205/55 R16,225/45 R17
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,-,-,-,-,-,●,-,-,-,●,●,●,-,●,-,-,-,-,-,●,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,-,-,-,-,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,-,●,●,●
后备厢容积(L),490,490,506,506,506,506,506,506,506,506,506,506,490,490,506,506,506,506,506,506,506,506,506,506
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),干式双离合变速箱(DCT),手动变速箱(MT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),手自一体变速箱(AT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
变速箱,5挡手动,6挡手自一体,6挡手自一体,5挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,5挡手动,6挡手自一体,6挡手自一体,7挡干式双离合,5挡手动,7挡干式双离合,7挡干式双离合,7挡干式双离合,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,米勒循环,-,-
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,EA211-DLF,EA211-DLF,EA211-DMB,EA211-DMB,EA211-DMB,EA211-DMB,EA211-DMB,EA211-DMB,EA211-DLS,EA211-DLS,EA211-DJS,EA211-DJS,EA211-DLF,EA211-DLF,EA211-DMB,EA211-DSB,EA211-DLS,EA211-DLS,EA211-DLS,EA211-DLS,EA211-DMB,EA211-DSV,EA211-DLS,EA211-DLS
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4,1.2T 116马力 L4,1.2T 116马力 L4,1.4T 150马力 L4,1.4T 150马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 113马力 L4,1.4T 150马力 L4,1.2T 116马力 L4,1.2T 116马力 L4,1.2T 116马力 L4,1.2T 116马力 L4,1.5L 113马力 L4,1.5T 160马力 L4,1.2T 116马力 L4,1.2T 116马力 L4
厂商指导价(元),10.68万,11.68万,12.30万,11.20万,12.40万,13.60万,14.00万,14.70万,13.90万,14.30万,15.00万,15.70万,9.88万,10.88万,13.53万,14.19万,11.29万,12.39万,13.19万,13.59万,12.29万,14.39万,12.79万,13.29万
厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
卫星导航系统,-,-,-,-,○,○,○,●,○,○,○,●,-,-,-,●,-,-,●,●,-,●,○,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1518,1518,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1518,1518,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546
前轮胎规格,205/50 R17,205/50 R17,195/65 R15,195/65 R15,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,225/45 R17,195/65 R15,195/65 R15,205/55 R16,225/45 R17,195/65 R15,225/45 R17,205/55 R16,225/45 R17
前方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,●,-,●,-,●
前排座椅功能,-,-,-,-,,,,,,,,,-,-,-,,-,-,,,-,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
