Feature,1013272,1013273,1013274,1013275,1013276,1013277,1013278,1013279,1013280,1013281,1013282,1013283,1013284,1013285,1013286,1014396,1014397,1014398,1014399,1015325,1015326,1015327
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝,铝,铝
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,未知,铸铁,铸铁,铸铁,铸铁,铁,铁,铁
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,,-,,,,,,,-,,-,,,,-,,-,,,,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,-,-,-,-,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
最大马力(Ps),136,136,136,136,136,136,160,160,160,160,160,160,163,163,163,150,150,150,150,150,150,150
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),3000-4400,3000-4400,3000-4400,3000-4400,3000-4400,3000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,1800-2600,1800-2600,1800-2600,4400,4400,4400,4400,4000-4800,4000-4800,4000-4800
最大扭矩(N·m)_y,185,185,185,185,185,185,230,230,230,230,230,230,390,390,390,204,204,204,204,204,204,204
最大扭矩(N·m)_x,185,185,185,185,185,185,230,230,230,230,230,230,390,390,390,204,204,204,204,204,204,204
最大功率转速(rpm),5000,5000,5000,5000,5000,5000,5500,5500,5500,5500,5500,5500,4000,4000,4000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,100,100,100,100,100,100,118,118,118,118,118,118,120,120,120,110,110,110,110,110,110,110
最大功率(kW)_x,100,100,100,100,100,100,118,118,118,118,118,118,120,120,120,110,110,110,110,110,110,110
无钥匙进入功能,-,-,-,-,,,,,-,-,-,-,,-,-,-,-,-,-,-,,-
无钥匙启动系统,-,-,-,-,○,○,○,○,-,-,-,-,○,-,-,-,-,-,-,-,○,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,-,-,-,-,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_x,1780,1885,1885,1885,1885,1885,1885,1885,1885,1780,1885,1885,1885,1885,1885,-,-,-,-,1885,1885,1885
排量(mL),1998,1998,1998,1998,1998,1998,2378,2378,2378,2378,2378,2378,1968,1968,1968,1998,1998,1998,1998,1998,1998,1998
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,
座位数(个),2,5/6,10,7/9,10,5-9,10,5-9,7/9,2,5/6,10,5-9,7/9,5/6,2,5/6,10,7/9,7-9,5-9,10
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,
宽度(mm),1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,○,○,○,○,-,-,-,-,○,-,-,○,○,○,○,○,○,○
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,
后风挡遮阳帘,-,-,-,-,○,○,○,○,-,-,-,-,○,-,-,-,-,-,-,-,○,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-
后轮距(mm),1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
后轮胎规格,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,205/70 R15,205/70 R15,205/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/75 R16,195/70 R15,195/70 R15
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,-,-,-
后排独立空调,-,○,○,●,○,○,○,○,●,-,○,○,○,●,○,-,○,○,●,●,○,○
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,,-,,-,,,-,-,-,,,-,-,-,-,,,,-
后排侧隐私玻璃,-,-,-,-,○,○,○,○,-,-,-,-,○,-,-,-,-,-,-,-,○,-
后排侧窗遮阳帘,-,-,-,-,,,,,-,-,-,-,,-,-,-,-,-,-,-,,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,○,○,●,○,○,○,○,●,-,○,○,○,●,○,-,○,○,●,●,○,○
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,4K22D4M,4K22D4M,4K22D4M,4K22D4M,4K22D4M,4K22D4M,4F20TC3,4F20TC3,4F20TC3,DAN20L,DAN20L,DAN20L,DAN20L,DAN20L,DAN20L,DAN20L
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,-,-,-
发动机,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,16.2,16.2,16.2,-,-,-,-,-,-,-
厂商指导价(元),8.91万,8.89万,9.20万,9.54万,12.18万,11.98万,12.58万,11.88万,9.85万,9.15万,9.13万,9.62万,13.58万,11.46万,10.41万,8.75万,8.73万,8.93万,9.42万,12.18万,12.19万,11.609万
厂商,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车
卫星导航系统,-,-,-,-,○,○,○,○,-,-,-,-,○,-,-,○,○,○,○,●,○,○
助力类型,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电子液压助力,电动液压助力,电动液压助力,电动液压助力
副座椅调节方式,,,,,,,,,,,,,,,,,,,,-,-,-
前轮距(mm),1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
前轮胎规格,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,205/70 R15,205/70 R15,205/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/75 R16,195/70 R15,195/70 R15
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,-,-,-,-,前○&nbsp;/&nbsp;后-,-,-,-,-,-,-,-,前○&nbsp;/&nbsp;后-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
准拖挂车总质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内后视镜功能,,,,,,,,,,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门形式,,,,,,,,,,,,,,,,,,,,,,
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,,
主/副驾驶座电动调节,-,-,-,-,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,-,-,-,-,主○&nbsp;/&nbsp;副○,-,-,-,-,-,-,-,主○&nbsp;/&nbsp;副○,-
主/副驾驶座安全气囊,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○
中控彩色屏幕,,,,,,,,,,,,,,,,,,,,,,
上市时间,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.02,2022.09,2022.09,2022.09,2022.09,2023.02,2023.02,2023.02
上坡辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
