,1003604,1003605,1003606,1003607,1003608,1003609,1003610,1003611,1003612,1003613,1003614,1003615,1003616,1003617,1003618,1003619,1003620,1003621,1003622,1003623,1003624,1003625,1003626,1003627
排量(mL),2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2237,2771,2771,2771,2771,2433,2433,2433,2433
进气形式,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
压缩比,16.9,8.8,16.9,8.8,16.9,8.8,16.9,8.8,16.9,8.8,16.9,8.8,16.9,8.8,16.9,8.8,16.9,16.9,16.9,16.9,17.5,17.5,17.5,17.5
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),93,91,93,91,93,91,93,91,93,91,93,91,93,91,93,91,93,93,93,93,90,90,90,90
行程(mm),102,86,102,86,102,86,102,86,102,86,102,86,102,86,102,86,102,102,102,102,100,100,100,100
最大马力(Ps),116,103,116,103,116,103,116,103,116,103,116,103,116,103,116,103,116,116,116,116,82,82,82,82
最大功率(kW)_y,85,76,85,76,85,76,85,76,85,76,85,76,85,76,85,76,85,85,85,85,60,60,60,60
最大功率转速(rpm),3600,4200-4600,3600,4200-4600,3600,4200-4600,3600,4200-4600,3600,4200-4600,3600,4200-4600,3600,4200-4600,3600,4200-4600,3600,3600,3600,3600,3600,3600,3600,3600
最大扭矩(N·m)_y,260,193,260,193,260,193,260,193,260,193,260,193,260,193,260,193,260,260,260,260,215,215,215,215
最大扭矩转速(rpm),1800-2400,2800-3200,1800-2400,2800-3200,1800-2400,2800-3200,1800-2400,2800-3200,1800-2400,2800-3200,1800-2400,2800-3200,1800-2400,2800-3200,1800-2400,2800-3200,1800-2400,1800-2400,1800-2400,1800-2400,2600,2600,2600,2600
燃料形式,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
燃油标号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,0号,0号,0号,0号,0号,0号,0号
供油方式,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
