Feature,1004008,1004040,1004041,1006034,1006035,1006036,1006037,1006038,1006039,1006040,1006041,1006042,1006043,1006044,1006045,1009102,1009103,1009104,1009679,1009680,1009681,1009682,1009683,1009684,1009685,1009686,1009687,1009688,1009689
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),2600-3200,2600-3200,2400-3600,2800-3200,2800-3200,2400-3600,2400-3600,2800-3200,2800-3200,2400-3600,3600-4400,3600-4400,2800-3200,2400-3600,2400-3600,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000,2800-4000
最大扭矩(N·m)_y,198,198,180,178,178,180,180,178,178,180,180,180,178,180,180,185,185,185,185,185,185,185,185,185,185,185,185,185,185
最大扭矩(N·m)_x,198,198,180,178,178,180,180,178,178,180,180,180,178,180,180,185,185,185,185,185,185,185,185,185,185,185,185,185,185
最大功率转速(rpm),4600,4600,4600-4800,4600,4200-4600,4600-4800,4600-4800,4600,4200-4600,4800-5000,5200,5200,4600,4600-4800,4600-4800,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600,5500-5600
最大功率(kW)_y,82,82,78,76,73.5,78,78,76,73.5,81,90,90,76,78,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100
最大功率(kW)_x,82,82,78,76,73.5,78,78,76,73.5,81,90,90,76,78,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),-,-,1997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),2,10,9,2,2,6,6,10,10,10,10,13,13,6,6,2/4,2/4,2/4,2/4,2/4,2/4,13,13,10,10,10,10,10,10
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1700,1700,1700,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
安全带未系提醒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,,,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,195/70 R15,195/70 R15,195/70 R15,185 R14LT,185 R14LT,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,185 R14LT,185 R14LT,185 R14LT,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,●,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,V22,V22,V19,4G21C,4G19,V19S,V19S,4G21C,4G19,V20,4G21D4C,4G21D4C,4G21C,V19S,V19S,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS,1TZS
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.2L 112马力 L4,2.2L 112马力 L4,2.0L 106马力 L4,2.0L 103马力 L4,2.0L 100马力 L4,2.0L 106马力 L4,2.0L 106马力 L4,2.0L 103马力 L4,2.0L 100马力 L4,2.0L 110马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 103马力 L4,2.0L 106马力 L4,2.0L 106马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4,2.0L 136马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),8.48万,9.38万,9.18万,6.18万,6.18万,6.50万,6.18万,6.76万,6.76万,7.66万,8.28万,7.53万,7.33万,6.85万,6.60万,7.48万,6.98万,7.28万,7.58万,7.14万,7.44万,8.77万,8.52万,8.07万,8.34万,7.82万,8.09万,7.72万,7.99万
厂商,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺,华晨雷诺
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,无助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,无助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,195/70 R15,195/70 R15,195/70 R15,185 R14LT,185 R14LT,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,185 R14LT,185 R14LT,185 R14LT,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,未知,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,未知,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
