Feature,1005446,1005447,1005486,1005487,1005488,1005489,1005931,1005932,1005933,1005934,1006489,1006490,1006491,1006492,1006567,1006568,1006569,1006570,1006571,1006572,1006573,1006574,1006695,1006696,1006697,1006698,1006699,1006700
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3480,3480,3480,3480,3480,3480,3780,3780,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,4,4,4,4,4,4,2,2,2,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,骐铃T100 2017款 2.2L豪华版JML1021A3NS单排V22,骐铃T100 2017款 2.2L创富版JML1021A3NS单排V22,骐铃T100 2017款 2.2L豪华版JML1031A3N双排V22,骐铃T100 2017款 2.2L创富版JML1031A3N双排V22,骐铃T100 2017款 2.2L三面开豪华版双排V22,骐铃T100 2017款 2.2L三面开创富版双排V22,骐铃T100 2017款 2.2L豪华版JML1032A3N双排V22,骐铃T100 2017款 2.2L创富版JML1032A3N双排V22,骐铃T100 2017款 2.2L豪华版JML1032A3NS单排V22,骐铃T100 2017款 2.2L创富版JML1032A3NS单排V22,骐铃T100 2018款 2.2L T100S 豪华版JML1032A3NS单排V22,骐铃T100 2018款 2.2L T100S 创富版JML1032A3NS单排V22,骐铃T100 2018款 2.2L T100S 豪华版JML1032A3N双排V22,骐铃T100 2018款 2.2L T100S 创富版JML1032A3N双排V22,骐铃T100 2018款 2.8T三面开豪华版双排JE493ZLQ5D,骐铃T100 2018款 2.8T三面开豪华版单排JE493ZLQ5D,骐铃T100 2018款 2.8T三面开创富版双排JE493ZLQ5D,骐铃T100 2018款 2.8T三面开创富版单排JE493ZLQ5D,骐铃T100 2018款 2.8T栏板豪华版双排JE493ZLQ5D,骐铃T100 2018款 2.8T栏板豪华版单排JE493ZLQ5D,骐铃T100 2018款 2.8T栏板创富版双排JE493ZLQ5D,骐铃T100 2018款 2.8T栏板创富版单排JE493ZLQ5D,骐铃T100 2018款 2.2L T100S 创富版JML1021A3N双排V22,骐铃T100 2018款 2.2L T100S 豪华版JML1021A3N双排V22,骐铃T100 2018款 2.2L T100S 豪华版JML1021A3NS单排V22,骐铃T100 2018款 2.2L T100S 创富版JML1021A3NS单排V22,骐铃T100 2018款 2.2L豪华版JML1021A3N双排V22,骐铃T100 2018款 2.2L创富版JML1021A3N双排V22
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),2700x1620x360,2700x1620x360,2020x1620x360,2020x1620x360,2020x1510x410,2020x1510x410,2020x1620x360,2020x1620x360,2700x1620x360,2700x1620x360,2700x1510x410,2700x1510x410,2020x1510x410,2020x1510x410,2020x1510x410,2700x1510x410,2020x1510x410,2700x1510x410,2020x1620x360,2700x1620x360,2020x1620x360,2700x1620x360,2020x1510x410,2020x1510x410,2700x1510x410,2700x1510x410,2020x1620x360,2020x1620x360
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动○,手动●,手动○,手动●,手动○,手动●,手动○,手动●,手动○,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),120,120,120,120,120,120,120,120,120,120,-,-,-,-,100,100,100,100,100,100,100,100,120,120,120,120,-,-
最小离地间隙(mm),175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
最大马力(Ps),112,112,112,112,112,112,112,112,112,112,112,112,112,112,106,106,106,106,106,106,106,106,112,112,112,112,112,112
最大载重质量(kg),495,495,670,670,670,670,745,745,995,995,995,995,745,745,745,895,745,895,745,895,745,895,495,495,495,495,495,495
最大扭矩转速(rpm),2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2000,2000,2000,2000,2000,2000,2000,2000,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600,2400-3600
最大扭矩(N·m)_y,185,185,185,185,185,185,198,198,198,198,198,198,198,198,225,225,225,225,225,225,225,225,198,198,198,198,198,198
最大扭矩(N·m)_x,185,185,185,185,185,185,198,198,198,198,198,198,198,198,225,225,225,225,225,225,225,225,198,198,198,198,198,198
最大功率转速(rpm),4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,3600,3600,3600,3600,3600,3600,3600,3600,4600,4600,4600,4600,4600,4600
最大功率(kW)_y,82,82,82,82,82,82,82,82,82,82,82,82,82,82,78,78,78,78,78,78,78,78,82,82,82,82,82,82
最大功率(kW)_x,82,82,82,82,82,82,82,82,82,82,82,82,82,82,78,78,78,78,78,78,78,78,82,82,82,82,82,82
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1545,1545,1595,1595,1595,1595,1595,1595,1545,1545,-,-,-,-,1695,-,1695,1670,1695,1670,1695,1670,1595,1595,1545,1545,-,-
排量(mL),2237,2237,2237,2237,2237,2237,2237,2237,2237,2237,2237,2237,2237,2237,2771,2771,2771,2771,2771,2771,2771,2771,2237,2237,2237,2237,2237,2237
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材料,仿皮,织物,仿皮,织物,仿皮,织物,仿皮,织物,仿皮,织物,仿皮,织物,仿皮,织物,仿皮,仿皮,织物,织物,仿皮,仿皮,织物,织物,织物,仿皮,仿皮,织物,仿皮,织物
座位数(个),2,2,5,5,5,5,5,5,2,2,2,2,5,5,5,2,5,2,5,2,5,2,5,5,2,2,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
定速巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,-,-,-,-,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
后轮胎规格,215/75 R15,205/65 R15,215/75 R15,205/65 R15,205/65 R15,205/65 R15,215/75 R15,205/65 R15,215/75 R15,205/65 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,205/65 R15,205/65 R15,205/65 R15,205/65 R15,205/65 R15,205/65 R15
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,●,●,-,●,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排车门开启方式,-,-,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-,平开门,平开门,平开门,-,平开门,-,平开门,-,平开门,-,平开门,平开门,-,-,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,V22,V22,V22,V22,V22,V22,V22,V22,V22,V22,V22,V22,V22,V22,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,JE493ZLQ5D,V22,V22,V22,V22,V22,V22
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.8T 106马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4,2.2L 112马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),5.96万,5.66万,6.16万,5.86万,6.26万,5.96万,6.26万,5.96万,6.06万,5.76万,6.16万,5.86万,6.36万,6.06万,7.78万,7.58万,7.48万,7.28万,7.68万,7.48万,7.38万,7.18万,5.96万,6.26万,6.06万,5.76万,6.16万,5.86万
厂商,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽,江铃集团轻汽
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前轮距(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,-,-,-,-,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
前轮胎规格,215/75 R15,205/65 R15,215/75 R15,205/65 R15,205/65 R15,205/65 R15,215/75 R15,205/65 R15,215/75 R15,205/65 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,215/75 R15,205/65 R15,205/65 R15,205/65 R15,205/65 R15,205/65 R15,205/65 R15
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
