Feature,1013560,1013884,1013885,1013886,1013887,1013888,1013889,1013890,1013891,1013892,1013893,1013894,1013895,1013896,1013897,1013898,1014043,1014044,1014045,1014046,1014047,1014048,1014049,1014050,1014051,1014052,1014053,1014054,1014055,1014056,1014057,1014058,1014059,1014060,1014061,1014062,1014063,1014064,1014065,1014066,1014067,1014068,1014069,1014070,1014071,1014072,1014073,1014074,1014075,1014076,1014077,1014078,1014097,1014098,1014099,1014179,1014180,1014181,1014182,1014279,1014280,1014281,1014282,1015437,1015779,1015923,1015924,1015925,1016550,1016551,1016552,1016553,1016554,1016555,1016556,1016557,1016558,1016559,1016560,1016561,1016562,1016563,1016564,1016565,1016566,1016567,1016568,1016569,1016570,1016571,1016572,1016573,1016574,1016575,1016576,1016577,1016578,1016579,1016580,1016581,1016582,1016583,1016593,1016594,1016595
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3150,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3400,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3400,3400,-,-,-,-,-,-,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,-,-,-,-,-,-,-,-,3150,3150,3150
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,○,-,-,○,○,-,-,○,○,-,-,○,○,-,-,○,○,○,-,-,○,○,-,-,○,○,-,-,○,○,-,-,-,-,○,○,-,-,○,○,-,-,○,○,-,-,○,○,○,○,○,○,-,-,-,-,-,-,-,●,●,●,●,●,-,○,●,○,-,○,-,○,-,○,-,○,-,○,-,○,-,○,-,○,-,○,-,-,-,○,-,-,○,-,-,○,-,○,-,○,-,○,-,○,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,-,-,-,-,-,-,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,-,-,-,-,-,-,-,-,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,-,-,-,-,-,-,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,-,-,-,-,-,-,-,-,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,锐骐7 2022款 2.3T自动四驱柴油旗舰型M9T,锐骐7 2022款 2.3T自动四驱柴油标准型M9T,锐骐7 2022款 2.3T自动四驱柴油标准型长货箱M9T,锐骐7 2022款 2.3T手动四驱柴油旗舰型M9T,锐骐7 2022款 2.3T手动四驱柴油旗舰型长货箱M9T,锐骐7 2022款 2.3T手动四驱柴油标准型M9T,锐骐7 2022款 2.3T手动四驱柴油标准型长货箱M9T,锐骐7 2022款 2.3T自动两驱柴油旗舰型M9T,锐骐7 2022款 2.3T自动两驱柴油旗舰型长货箱M9T,锐骐7 2022款 2.3T自动两驱柴油标准型M9T,锐骐7 2022款 2.3T自动两驱柴油标准型长货箱M9T,锐骐7 2022款 2.3T手动两驱柴油旗舰型M9T,锐骐7 2022款 2.3T手动两驱柴油旗舰型长货箱M9T,锐骐7 2022款 2.3T手动两驱柴油标准型M9T,锐骐7 2022款 2.3T手动两驱柴油标准型长货箱M9T,锐骐7 2022款 2.3T自动四驱柴油旗舰型长货箱M9T,锐骐7 2022款 2.0T手动两驱汽油旗舰型4K31,锐骐7 2022款 2.0T手动两驱汽油旗舰型长货箱4K31,锐骐7 2022款 2.0T手动两驱汽油标准型4K31,锐骐7 2022款 2.0T手动两驱汽油标准型长货箱4K31,锐骐7 2022款 2.0T自动四驱汽油旗舰型4K31,锐骐7 2022款 2.0T自动四驱汽油旗舰型长货箱4K31,锐骐7 2022款 2.0T自动四驱汽油标准型4K31,锐骐7 2022款 2.0T自动四驱汽油标准型长货箱4K31,锐骐7 2022款 2.0T手动四驱汽油旗舰型4K31,锐骐7 2022款 2.0T手动四驱汽油旗舰型长货箱4K31,锐骐7 2022款 2.0T手动四驱汽油标准型4K31,锐骐7 2022款 2.0T手动四驱汽油标准型长货箱4K31,锐骐7 2022款 2.0T自动两驱汽油旗舰型4K31,锐骐7 2022款 2.0T自动两驱汽油旗舰型长货箱4K31,锐骐7 2022款 2.0T自动两驱汽油标准型4K31,锐骐7 2022款 2.0T自动两驱汽油标准型长货箱4K31,锐骐7 2022款 2.3T自动四驱柴油标准型平底货箱M9T,锐骐7 2022款 2.3T自动四驱柴油标准型长货箱平底货箱M9T,锐骐7 2022款 2.3T手动四驱柴油旗舰型平底货箱M9T,锐骐7 2022款 2.3T手动四驱柴油旗舰型长货箱平底货箱M9T,锐骐7 2022款 2.3T手动四驱柴油标准型平底货箱M9T,锐骐7 2022款 2.3T手动四驱柴油标准型长货箱平底货箱M9T,锐骐7 2022款 2.3T自动两驱柴油旗舰型平底货箱M9T,锐骐7 2022款 2.3T自动两驱柴油旗舰型长货箱平底货箱M9T,锐骐7 2022款 2.3T自动两驱柴油标准型平底货箱M9T,锐骐7 2022款 2.3T自动两驱柴油标准型长货箱平底货箱M9T,锐骐7 2022款 2.3T手动两驱柴油旗舰型平底货箱M9T,锐骐7 2022款 2.3T手动两驱柴油旗舰型长货箱平底货箱M9T,锐骐7 2022款 2.3T手动两驱柴油标准型平底货箱M9T,锐骐7 2022款 2.3T手动两驱柴油标准型长货箱平底货箱M9T,锐骐7 2022款 2.3T自动四驱柴油旗舰型平底货箱M9T,锐骐7 2022款 2.3T自动四驱柴油旗舰型长货箱平底货箱M9T,锐骐7 2022款 2.0T自动四驱汽油旗舰型五连杆4K31,锐骐7 2022款 2.0T自动四驱汽油旗舰型五连杆长货箱4K31,锐骐7 2022款 2.3T自动四驱柴油旗舰型五连杆M9T,锐骐7 2022款 2.3T自动四驱柴油旗舰型五连杆长货箱M9T,锐骐7 2022款 2.0T自动四驱汽油智尊型4K31,锐骐7 2022款 2.0T自动四驱汽油智尊型五连杆4K31,锐骐7 2022款 2.0T自动两驱汽油智尊型4K31,锐骐7 2022款 2.3T手动四驱柴油智臻型M9T,锐骐7 2022款 2.0T自动四驱汽油智臻型4K31,锐骐7 2022款 2.0T手动四驱汽油智臻型4K31,锐骐7 2022款 2.0T自动两驱汽油智臻型4K31,锐骐7 2022款 2.0T运动版自动四驱汽油标准型4K31,锐骐7 2022款 2.0T运动版手动四驱汽油标准型4K31,锐骐7 2022款 2.3T运动版自动四驱柴油标准型M9T,锐骐7 2022款 2.3T运动版手动四驱柴油标准型M9T,2023款 虎啸 2.3T自动四驱柴油旗舰型M9T,锐骐7 2023款 2.0T自动两驱汽油智驾型4K31,锐骐7 2023款 虎啸 2.0T自动四驱汽油标准型4K31,锐骐7 2023款 虎啸 2.0T自动四驱汽油旗舰型4K31,锐骐7 2023款 虎啸 2.3T自动四驱柴油标准型M9T,锐骐7 2023款 2.3T手动两驱柴油标准型,锐骐7 2023款 2.3T手动两驱柴油旗舰型,锐骐7 2023款 2.3T自动两驱柴油标准型,锐骐7 2023款 2.3T自动两驱柴油旗舰型,锐骐7 2023款 2.3T手动四驱柴油标准型,锐骐7 2023款 2.3T手动四驱柴油旗舰型,锐骐7 2023款 2.3T自动四驱柴油标准型,锐骐7 2023款 2.3T自动四驱柴油旗舰型,锐骐7 2023款 2.3T手动两驱柴油标准型长货箱,锐骐7 2023款 2.3T手动两驱柴油旗舰型长货箱,-,-,-,-,-,-,锐骐7 2023款 2.0T自动两驱汽油标准型,锐骐7 2023款 2.0T自动两驱汽油旗舰型,锐骐7 2023款 2.0T自动两驱汽油尊贵型,锐骐7 2023款 2.0T自动两驱汽油智驾型,锐骐7 2023款 2.0T手动四驱汽油标准型,锐骐7 2023款 2.0T手动四驱汽油旗舰型,锐骐7 2023款 2.0T手动四驱汽油尊贵型,锐骐7 2023款 2.0T自动四驱汽油标准型,锐骐7 2023款 2.0T自动四驱汽油旗舰型,锐骐7 2023款 2.0T自动四驱汽油尊贵型,-,-,-,-,-,-,-,-,锐骐7 2023款 2.0T手动两驱汽油标准型,锐骐7 2023款 2.0T手动两驱汽油旗舰型,锐骐7 2023款 2.0T手动两驱汽油尊贵型
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,-,-,-,-,-,-,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,-,-,-,-,-,-,-,-,非承载式,非承载式,非承载式
货箱尺寸(mm),1510x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1760x1562x475,-,-,-,-,-,-,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,-,-,-,-,-,-,-,-,1510x1562x475,1510x1562x475,1510x1562x475
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,-,-,-,-,95.7,-,95.7,92,95.7,95.7,95.7,95.7,95.7,92,92,-,-,-,-,-,92,92,92,92,92,92,92,92,92,92,-,-,-,-,-,-,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,-,-,-,-,-,-,-,-,95.7,95.7,95.7
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,●,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,-,●,●,-,●,-,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,●,●,●,-,-,●,●,-,-,●,●,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
