Feature,52725,52726,52727,52739,52740,52741,53806,53807,53808,53809,53810,53811,53815,53816,53817,53818,53819,53820,53821,53822,53823,53824,53825,53826,53827,53828,53829,53830,54473
车型名称,MINI 2022款 1.5T COOPER 黑标特别版,MINI 2022款 1.5T COOPER 黑标特别版 五门版,MINI 2022款 1.5T COOPER CABRIO 黑标特别版,MINI 2022款 2.0T COOPER S 黑标特别版,MINI 2022款 2.0T COOPER S 黑标特别版 五门版,MINI 2022款 2.0T COOPER S CABRIO 黑标特别版,MINI 2022款 1.5T COOPER The Coopers 纪念版,MINI 2022款 2.0T COOPER S The Coopers 纪念版,MINI 2022款 1.5T COOPER 五门版 The Coopers 纪念版,MINI 2022款 2.0T COOPER S 五门版 The Coopers 纪念版,MINI 2022款 1.5T COOPER CABRIO The Coopers 纪念版,MINI 2022款 2.0T COOPER S CABRIO The Coopers 纪念版,MINI 2022款 改款 1.5T ONE,MINI 2022款 改款 1.5T ONE 五门版PLUS,MINI 2022款 改款 1.5T COOPER 经典派,MINI 2022款 改款 1.5T COOPER 经典派 五门版,MINI 2022款 改款 1.5T COOPER 艺术家,MINI 2022款 改款 1.5T COOPER 艺术家 五门版,MINI 2022款 改款 2.0T COOPER S 经典派,MINI 2022款 改款 2.0T COOPER S 经典派 五门版,MINI 2022款 改款 2.0T COOPER S 艺术家,MINI 2022款 改款 2.0T COOPER S 艺术家 五门版,MINI 2022款 改款 2.0T COOPER S 赛车手,MINI 2022款 改款 1.5T COOPER CABRIO 经典派,MINI 2022款 改款 1.5T COOPER CABRIO Sidewalk,MINI 2022款 改款 2.0T COOPER S CABRIO 经典派,MINI 2022款 改款 2.0T COOPER S CABRIO 艺术家,MINI 2022款 改款 2.0T COOPER S CABRIO Sidewalk,MINI 2022款 1.5T Camden 限量版 五门版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,
车内化妆镜,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
车内中控锁,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
行程(mm),94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6
行李厢容积(L),211-731,278-941,160-215,211-731,278-941,160-215,211-731,211-731,278-941,278-941,160-215,160-215,211-731,278-941,211-731,278-941,211-731,278-941,211-731,278-941,211-731,278-941,211-731,160-215,160-215,160-215,160-215,160-215,278-941
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
芯片总算力,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,○,○,-,○,○,●,○,○,○,○,-,-,-,-,○,○,○,○,○,○,○,○,○,○,●,●,●,●,●
自动头灯,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
缺气保用轮胎,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动可调踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
激光雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,●,●,-,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
涉水感应系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),3,3,3,4,4,4,3,4,3,4,3,4,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,4,3
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),210,207,205,235,235,230,210,235,207,235,205,230,193,192,210,207,210,207,235,235,235,235,235,205,205,230,230,230,207
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),136,136,136,192,192,192,136,192,136,192,136,192,102,102,136,136,136,136,192,192,192,192,192,136,136,192,192,192,136
最大扭矩转速(rpm),1480-4100,1480-4100,1480-4100,1350-4600,1350-4600,1350-4600,1480-4100,1350-4600,1480-4100,1350-4600,1480-4100,1350-4600,1380-3600,1380-3600,1480-4100,1480-4100,1480-4100,1480-4100,1350-4600,1350-4600,1350-4600,1350-4600,1350-4600,1480-4100,1480-4100,1350-4600,1350-4600,1350-4600,1480-4100
最大扭矩(N·m)_y,220,220,220,280,280,280,220,280,220,280,220,280,190,190,220,220,220,220,280,280,280,280,280,220,220,280,280,280,220
最大扭矩(N·m)_x,220,220,220,280,280,280,220,280,220,280,220,280,190,190,220,220,220,220,280,280,280,280,280,220,220,280,280,280,220
最大功率转速(rpm),4500-6500,4500-6500,4500-6500,5000-6000,5000-6000,5000-6000,4500-6500,5000-6000,4500-6500,5000-6000,4500-6500,5000-6000,3900-6500,3900-6500,4500-6500,4500-6500,4500-6500,4500-6500,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,4500-6500,4500-6500,5000-6000,5000-6000,5000-6000,4500-6500
最大功率(kW)_y,100,100,100,141,141,141,100,141,100,141,100,141,75,75,100,100,100,100,141,141,141,141,141,100,100,141,141,141,100
最大功率(kW)_x,100,100,100,141,141,141,100,141,100,141,100,141,75,75,100,100,100,100,141,141,141,141,141,100,100,141,141,141,100
最大净功率(kW),100,100,100,141,141,141,100,141,100,141,100,141,75,75,100,100,100,100,141,141,141,141,141,100,100,141,141,141,100
最低荷电状态油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,,,-,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无框设计车门,●,-,-,●,-,●,●,●,-,-,-,-,●,-,●,-,●,-,●,-,●,-,●,●,●,●,●,●,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,●,●,●,-,●,-,●,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,-
方向盘加热,○,○,-,○,○,○,○,○,○,○,-,-,-,-,○,○,○,○,○,○,○,○,○,○,●,○,○,●,-
方向盘位置调节,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1241,1300,1327,1278,1338,1375,1241,1278,1300,1338,1327,1375,1232,1291,1241,1300,1241,1300,1278,1338,1278,1338,1278,1327,1327,1375,1375,1375,1300
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
摄像头数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1499,1499,1499,1998,1998,1998,1499,1998,1499,1998,1499,1998,1499,1499,1499,1499,1499,1499,1998,1998,1998,1998,1998,1499,1499,1998,1998,1998,1499
挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
扬声器品牌名称,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,,,-,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,-
手机互联/映射,,,-,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
座椅布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座位数(个),4,5,4,4,5,4,4,4,5,5,4,4,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
尾门玻璃独立开启,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,○,○,-,○,○,○,○,○,○,○,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
宽度(mm),1727,1727,1727,1727,1727,-,1727,1727,1727,1727,1727,-,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,-,-,-,1727
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-50km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),8.1,8.3,8.7,6.7,6.8,7.1,8.1,6.7,8.3,6.8,8.7,7.1,10.3,10.6,8.1,8.3,8.1,8.3,6.7,6.8,6.7,6.8,6.7,8.7,8.7,7.1,7.1,7.1,8.3
安全带未系提醒,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
天窗类型,,,-,,,-,,,,,-,-,,,,,,,,,,,,-,-,-,-,-,
大灯高度可调,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多层隔音玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
备胎规格,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,-,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,●
后轮距(mm),1501,1501,1501,1485,1485,-,1501,1485,1501,1485,1501,-,1501,1501,1501,1501,1501,1501,1485,1485,1485,1485,1485,1501,1501,-,-,-,1501
后轮胎规格,205/45 R17,205/45 R17,205/45 R17,205/40 R18,205/40 R18,205/40 R18,205/40 R18,205/40 R18,205/40 R18,205/40 R18,205/40 R18,205/40 R18,195/55 R16,195/55 R16,205/45 R17,205/45 R17,205/45 R17,205/45 R17,205/45 R17,205/45 R17,205/40 R18,205/40 R18,205/40 R18,205/45 R17,205/45 R17,205/45 R17,205/40 R18,205/45 R17,205/45 R17
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅防下滑气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
