Feature,35986,37944,37945,37946,37947,37948,37949,37950,37951,38038,38039,38040,38041,38042,38043,38044,38045,38250,38251,38252,38257,38260,39134,39135,39197,39198
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,LED,LED,卤素,卤素,LED,LED,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,LED,LED,卤素,卤素,LED,LED,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686,2686
转向辅助灯,●,-,-,●,●,-,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●
转向头灯,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,旅行车,旅行车,旅行车,旅行车,旅行车,旅行车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,旅行车,旅行车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座旅行车,5门5座旅行车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车型名称,明锐 2019款 1.5L 手动标准版 国V,明锐 2019款 TSI280 DSG智行豪华版 国VI,明锐 2019款 TSI280 DSG智行旗舰版 国VI,明锐 2019款 旅行车 TSI230 DSG舒适版 国V,明锐 2019款 旅行车 TSI230 DSG豪华版 国V,明锐 2019款 旅行车 TSI280 DSG豪华版 国V,明锐 2019款 旅行车 TSI280 DSG豪华版 国VI,明锐 2019款 旅行车 TSI280 DSG旗舰版 国V,明锐 2019款 旅行车 TSI280 DSG旗舰版 国VI,明锐 2019款 1.5L 手动智行舒适版 国V,明锐 2019款 1.5L 自动智行舒适版 国V,明锐 2019款 TSI230 DSG智行舒适版 国V,明锐 2019款 1.5L 手动智行豪华版 国V,明锐 2019款 1.5L 自动智行豪华版 国V,明锐 2019款 TSI230 DSG智行豪华版 国V,明锐 2019款 TSI280 DSG智行豪华版 国V,明锐 2019款 TSI280 DSG智行旗舰版 国V,明锐 2019款 1.5L 手动标准版 国VI,明锐 2019款 1.5L 手动智行舒适版 国VI,明锐 2019款 1.5L 自动智行舒适版 国VI,明锐 2019款 1.5L 手动智行豪华版 国VI,明锐 2019款 1.5L 自动智行豪华版 国VI,明锐 2019款 TSI230 DSG智行舒适版 国VI,明锐 2019款 TSI230 DSG智行豪华版 国VI,明锐 2019款 旅行车 TSI230 DSG舒适版 国VI,明锐 2019款 旅行车 TSI230 DSG豪华版 国VI
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,●,●,-,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,-,●,●,-,●,-,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),590-1580,590-1580,590-1580,610-1740,610-1740,610-1740,610-1740,610-1740,610-1740,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,590-1580,610-1740,610-1740
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
自动头灯,-,●,●,-,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,-,●,●,-,●,-,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,5挡手动,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,5挡手动,6挡手自一体,7挡双离合,5挡手动,6挡手自一体,7挡双离合,7挡双离合,7挡双离合,5挡手动,5挡手动,6挡手自一体,5挡手动,6挡手自一体,7挡双离合,7挡双离合,7挡双离合,7挡双离合
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,自动●,手动●,手动●,手动●,手动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,●,●,-,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,-,●,●,-,●,-,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
电动天窗,-,●,●,-,●,●,●,●,●,○,○,○,●,●,●,●,●,-,○,○,●,●,○,●,-,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国VI,国VI,国V,国V,国V,国VI,国V,国VI,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,95号,95号,95号,95号,95号,95号,95号,95号,92号,92号,95号,92号,92号,95号,95号,95号,92号,92号,92号,92号,92号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),50,51,51,50,50,50,51,50,51,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),185,200,200,193,193,205,200,205,200,185,185,198,185,185,198,210,210,185,185,185,185,185,198,198,193,193
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),116,150,150,116,116,150,150,150,150,116,116,116,116,116,116,150,150,113,113,113,113,113,116,116,116,116
最大扭矩转速(rpm),4000,1750-3000,1750-3000,1800-3700,1800-3700,1750-3000,1750-3000,1750-3000,1750-3000,4000,4000,1800-3700,4000,4000,1800-3700,1750-3000,1750-3000,3900,3900,3900,3900,3900,1800-3700,1800-3700,1800-3700,1800-3700
最大扭矩(N·m)_y,150,250,250,200,200,250,250,250,250,150,150,200,150,150,200,250,250,145,145,145,145,145,200,200,200,200
最大扭矩(N·m)_x,150,250,250,200,200,250,250,250,250,150,150,200,150,150,200,250,250,145,145,145,145,145,200,200,200,200
最大功率转速(rpm),6000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000,5000,6000,6000,5000,5000,5000,6000,6000,6000,6000,6000,5000,5000,5000,5000
最大功率(kW)_y,85,110,110,85,85,110,110,110,110,85,85,85,85,85,85,110,110,83,83,83,83,83,85,85,85,85
最大功率(kW)_x,85,110,110,85,85,110,110,110,110,85,85,85,85,85,85,110,110,83,83,83,83,83,85,85,85,85
无钥匙进入系统,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1210,1300,1300,1295,1295,1330,1330,1330,1330,1210,1245,1275,1210,1245,1275,1300,1300,1210,1210,1245,1210,1245,1275,1275,1295,1295
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1498,1395,1395,1197,1197,1395,1395,1395,1395,1498,1498,1197,1498,1498,1197,1395,1395,1498,1498,1498,1498,1498,1197,1197,1197,1197
挡位个数,5,7,7,7,7,7,7,7,7,5,6,7,5,6,7,7,7,5,5,6,5,6,7,7,7,7
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
感应雨刷,-,●,●,-,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,-,●,●,-,●,-,●
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,织物,皮/织物混搭,真皮,织物,皮/织物混搭,皮/织物混搭,皮/织物混搭,真皮,真皮,织物,织物,织物,皮/织物混搭,皮/织物混搭,皮/织物混搭,皮/织物混搭,真皮,织物,织物,织物,皮/织物混搭,皮/织物混搭,织物,皮/织物混搭,织物,皮/织物混搭
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),5.8,5.5,5.5,5.4,5.4,5.9,5.7,5.9,5.7,5.8,5.6,5.2,5.8,5.6,5.2,5.5,5.5,5.8,5.8,5.6,5.8,5.6,5.3,5.3,5.5,5.5
导航路况信息显示,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
宽度(mm),1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.3,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.69,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.81,-,-,-,-,-,-,-,-,-,-
定速巡航,-,●,●,-,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,-,●,●,-,●,-,●
官方0-100km/h加速(s),11.9,8.5,8.5,10.7,10.7,8.7,8.7,8.7,8.7,11.9,12.9,10.5,11.9,12.9,10.5,8.5,8.5,12.5,12.5,14.1,12.5,14.1,11.6,11.6,11.6,11.6
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,●,●,-,-,-,-,-,-,○,○,○,●,●,●,●,●,-,○,○,●,●,○,●,-,-
后雨刷,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,205/55 R16,225/45 R17 ,225/45 R17 ,205/55 R16,205/55 R16,225/45 R17 ,225/45 R17 ,225/45 R17 ,225/45 R17 ,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,225/45 R17 ,225/45 R17 ,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16
后视镜记忆,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
后视镜加热,-,●,●,-,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,-,●,●,-,●,-,●
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手自一体变速箱(AT),双离合变速箱(DCT),手动变速箱(MT),手自一体变速箱(AT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
变速箱,5挡手动,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,5挡手动,6挡手自一体,7挡双离合,5挡手动,6挡手自一体,7挡双离合,7挡双离合,7挡双离合,5挡手动,5挡手动,6挡手自一体,5挡手动,6挡手自一体,7挡双离合,7挡双离合,7挡双离合,7挡双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,-,EA211,EA211,-,-,EA211,EA211,EA211,EA211,-,-,-,-,-,-,EA211,EA211,-,-,-,-,-,-,-,-,-
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
