,1002011,1002012,1002434,1002435,1002440,1002441,1002442,1002443
厂商,陕汽通家,陕汽通家,陕汽通家,陕汽通家,陕汽通家,陕汽通家,陕汽通家,陕汽通家
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2013.12,2013.11,2014.05,2014.05,2014.07,2014.07,2014.07,2014.07
最大功率(kW)_x,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-
发动机,2.2L 103马力 L4,2.2L 103马力 L4,2.2L 103马力 L4,2.2L 103马力 L4,2.2L 103马力 L4,2.2L 103马力 L4,2.2L 103马力 L4,2.2L 103马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),5090×1750×1720,5090×1750×1720,5465×1750×1720,5465×1750×1720,5090×1750×1780,5090×1750×1780,5465×1750×1720,5465×1750×1720
车身结构_x,皮卡,皮卡,皮卡,皮卡,货车,货车,皮卡,皮卡
最高车速(km/h),130,130,130,130,130,130,130,130
工信部综合油耗(L/100km),10,10,10,10,10,10,10,10
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),5090,5090,5465,5465,5090,5090,5465,5465
宽度(mm),1750,1750,1750,1750,1750,1750,1750,1750
高度(mm),1720,1720,1720,1720,1780,1780,1720,1720
轴距(mm),3025,3025,3380,3380,3025,3025,3380,3380
前轮距(mm),1443,1443,1443,1443,1500,1500,1443,1443
后轮距(mm),1452,1452,1452,1452,1510,1510,1452,1452
最小离地间隙(mm),195,195,195,195,240,240,195,195
整备质量(kg),1480,1480,1480,1480,1480,1480,1480,1480
车身结构_y,皮卡,皮卡,皮卡,皮卡,货车,货车,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),60,60,60,60,60,60,60,60
货箱尺寸(mm),1480x1470x450,1480x1470x450,1830x1470x450,1830x1470x450,1480x1470x450,1480x1470x450,1830x1470x450,1830x1470x450
最大载重质量(kg),500,500,500,500,500,500,500,500
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
前悬架类型,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,215/75 R15,215/75 R15,215/75 R15,215/75 R15,235/75 R15,235/75 R15,215/75 R15,215/75 R15
后轮胎规格,215/75 R15,215/75 R15,215/75 R15,215/75 R15,235/75 R15,235/75 R15,215/75 R15,215/75 R15
发动机型号,JM491Q-ME,JM491Q-ME,JM491Q-ME,JM491Q-ME,JM491Q-ME,JM491Q-ME,JM491Q-ME,JM491Q-ME
排量(mL),2237,2237,2237,2237,2237,2237,2237,2237
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知
压缩比,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
配气机构,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),103,103,103,103,103,103,103,103
最大功率(kW)_y,76,76,76,76,76,76,76,76
最大功率转速(rpm),4200-4600,4200-4600,4200-4600,4200-4600,4200-4600,4200-4600,4200-4600,4200-4600
最大扭矩(N·m)_y,193,193,193,193,193,193,193,193
最大扭矩转速(rpm),2200-2800,2200-2800,2200-2800,2200-2800,2200-2800,2200-2800,2200-2800,2200-2800
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
电机类型,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
