Feature,1009780,1009886,1009887,1010161,1010162,1010163,1011511,1011574,1011575,1011576,1011577,1011578,1011579,1011580,1011581,1011582,1011583,1011584,1011585,1011586,1011587,1011588,1011589,1011591,1011593,1011594,1011595,1011596,1011670,1011671,1011828,1011829,1012002,1012003,1012004,1012005,1012006,1012007,1012008,1012009,1012010,1012011,1012012,1012013,1012014,1012015,1012016,1012017,1012848
车顶行李架,○,●,●,-,-,-,●,○,○,○,○,-,-,-,-,●,○,-,-,-,○,-,-,○,-,-,-,○,●,●,○,○,-,-,-,-,-,-,-,○,○,○,○,○,○,-,-,-,●
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,-,●,●,-,●,●,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,锐骐6 2020款 2.3T自动四驱厢式车豪华型国VI标准货箱M9T,锐骐6 2020款 2.3T自动四驱柴油越野版M9T,锐骐6 2020款 2.3T手动四驱柴油越野版M9T,锐骐6 2020款 2.3T都市版自动柴油两驱豪华型M9T,锐骐6 2020款 2.3T都市版手动柴油两驱标准型M9T,锐骐6 2020款 2.4L都市版手动汽油两驱标准型2TZD,锐骐6 2021款 2.3T自动柴油四驱穿越版标准型M9T,锐骐6 2021款 2.3T自动四驱柴油旗舰型M9T,锐骐6 2021款 2.3T自动四驱柴油豪华型M9T,锐骐6 2021款 2.3T手动四驱柴油旗舰型M9T,锐骐6 2021款 2.3T手动四驱柴油标准型M9T,锐骐6 2021款 2.3T自动两驱柴油旗舰型M9T,锐骐6 2021款 2.3T自动两驱柴油豪华型M9T,锐骐6 2021款 2.3T手动两驱柴油豪华型M9T,锐骐6 2021款 2.3T手动两驱柴油标准型M9T,锐骐6 2021款 2.4L手动四驱汽油旗舰型2TZD,锐骐6 2021款 2.4L手动四驱汽油标准型2TZD,锐骐6 2021款 2.4L手动两驱汽油旗舰型2TZD,锐骐6 2021款 2.4L手动两驱汽油豪华型2TZD,锐骐6 2021款 2.4L手动两驱汽油标准型2TZD,锐骐6 2021款 2.4L手动四驱汽油标准型长货箱2TZD,锐骐6 2021款 2.4L手动两驱汽油豪华型长货箱2TZD,锐骐6 2021款 2.4L手动两驱汽油标准型长货箱2TZD,锐骐6 2021款 2.3T手动四驱柴油标准型长货箱M9T,锐骐6 2021款 2.3T手动两驱柴油豪华型长货箱M9T,锐骐6 2021款 2.3T手动两驱柴油标准型长货箱M9T,锐骐6 2021款 2.3T自动两驱柴油豪华型长货箱M9T,锐骐6 2021款 2.3T自动四驱柴油豪华型长货箱M9T,锐骐6 2021款 2.3T自动四驱柴油红色越野版M9T,锐骐6 2021款 2.3T手动四驱柴油红色越野版M9T,锐骐6 2021款 2.3T手动四驱柴油豪华型长货箱M9T,锐骐6 2021款 2.3T手动四驱柴油豪华型M9T,锐骐6 2021款 2.3T手动两驱柴油标准型平底货箱M9T,锐骐6 2021款 2.3T手动两驱柴油标准型平底长货箱M9T,锐骐6 2021款 2.3T手动两驱柴油豪华型平底货箱M9T,锐骐6 2021款 2.3T手动两驱柴油豪华型平底长货箱M9T,锐骐6 2021款 2.3T自动两驱柴油豪华型平底货箱M9T,锐骐6 2021款 2.3T自动两驱柴油豪华型平底长货箱M9T,锐骐6 2021款 2.3T自动两驱柴油旗舰型平底货箱M9T,锐骐6 2021款 2.3T手动四驱柴油标准型平底货箱M9T,锐骐6 2021款 2.3T手动四驱柴油标准型平底长货箱M9T,锐骐6 2021款 2.3T手动四驱柴油旗舰型平底货箱M9T,锐骐6 2021款 2.3T自动四驱柴油旗舰型平底货箱M9T,锐骐6 2021款 2.3T自动四驱柴油豪华型平底货箱M9T,锐骐6 2021款 2.3T自动四驱柴油豪华型平底长货箱M9T,锐骐6 2021款 2.3T都市版自动柴油四驱豪华型M9T,锐骐6 2021款 2.3T都市版手动柴油四驱标准型M9T,锐骐6 2021款 2.4L都市版手动汽油四驱标准型2TZD,锐骐6 2021款 2.3T手动柴油四驱穿越版标准型M9T
车前雾灯,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1470x1562x1090,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562475
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,-,●,●,-,●,●,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,柴油
胎压监测功能,,,-,,-,-,,,,,-,,,,-,,-,,,-,-,,-,-,,-,,,,-,-,-,-,-,,,,,,-,-,,,,,,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,铸铁,未知,未知,未知,未知,未知,未知,未知,未知,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铸铁,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,8挡自动,8挡自动,6挡手动,8挡自动,6挡手动,5挡手动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,5挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,-,●,●,-,●,●,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,0号,0号,0号,0号,0号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),-,170,170,170,170,150,-,170,170,170,170,170,170,170,170,150,150,150,150,150,150,150,150,170,170,170,170,170,-,-,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),207,207,207,207,207,207,212,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,213,213,213,213,213,213,213,213,213,213,213,213,213,207,207,207,212
最大马力(Ps),163,163,163,163,163,158,163,163,163,163,163,163,163,163,163,158,158,158,158,158,158,158,158,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,158,163
最大载重质量(kg),450,460,460,490,490,490,400,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,460,460,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,400
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,380,380,380,380,380,235,380,380,380,380,380,380,380,380,380,235,235,235,235,235,235,235,235,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,235,380
最大扭矩(N·m)_x,380,380,380,380,380,235,380,380,380,380,380,380,380,380,380,235,235,235,235,235,235,235,235,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,235,380
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,120,120,120,120,120,116,120,120,120,120,120,120,120,120,120,116,116,116,116,116,116,116,116,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,116,120
最大功率(kW)_x,120,120,120,120,120,116,120,120,120,120,120,120,120,120,120,116,116,116,116,116,116,116,116,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,116,120
无钥匙进入功能,-,-,-,-,-,-,-,,-,,-,,-,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,●,-,●,-,●,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,●,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,-,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,1990,1975,1855,1840,1715,-,1960,1960,1945,1945,1855,1855,1840,1840,1815,1815,1715,1715,1715,1865,1765,1765,1995,1890,1890,1905,2010,-,-,1995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),2298,2298,2298,2298,2298,2438,2298,2298,2298,2298,2298,2298,2298,2298,2298,2438,2438,2438,2438,2438,2438,2438,2438,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2438,2298
挡位个数,8,8,6,8,6,5,8,8,8,6,6,8,8,6,6,5,5,5,5,5,5,5,5,6,6,6,8,8,8,6,6,6,6,6,6,6,8,8,8,6,6,6,8,8,8,8,6,5,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
