,24674,26744,26745,30289,31466,31467,31468
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V
电动机总功率(kW),38,38,38,-,-,-,-
电动机总扭矩(N·m),205,205,205,-,-,-,-
前电动机最大功率(kW),38,38,38,-,-,-,-
前电动机最大扭矩(N·m),205,205,205,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-
挡位个数,6,6,6,6,7,7,6
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),双离合变速箱(DCT),双离合变速箱(DCT),手自一体变速箱(AT)
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,7挡双离合,7挡双离合,6挡手自一体
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,脚刹,脚刹,电子驻车,脚刹,电子驻车,电子驻车
前轮胎规格,215/55 R17,205/65 R16,205/65 R16,235/45 R18,215/55 R17,215/55 R17,215/55 R17
后轮胎规格,215/55 R17,205/65 R16,205/65 R16,235/45 R18,215/55 R17,215/55 R17,215/55 R17
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
