Feature,15851,15956,15957,15958,15959,15960,15961,15975,15976,16346,16347,18033,18034
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,89.3,89.3,89.3,89.3,-,-,89.3,89.3,89.3,89.3,89.3,89.3
行李厢容积(L),452,452,452,452,452,452,452,452,452,452,452,452,452
蓝牙/车载电话,●,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,-,-,●,●,●,●,-,-,-,-,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,80,80,80,80,-,-,80,80,80,80,80,80
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,6挡双离合,5挡手动,6挡双离合,5挡手动,6挡双离合,5挡手动,6挡双离合,5挡手动,5挡手自一体,5挡手动,5挡手自一体,5挡手动,6挡双离合
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,手动●,手动●,手动●,手动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,-,-,●,●,●,●,●,●,-,-,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV+OBD,国IV+OBD,国IV+OBD,国IV+OBD,国IV(国V),国IV(国V)
牵引力控制(ASR/TCS/TRC等),●,-,-,●,●,●,●,-,-,-,-,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,-,-,-,-,●,●,-,-,-,-,-,-
油箱容积(L),62,62,62,62,62,62,62,62,62,62,62,62,62
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),205,188,188,188,188,205,205,188,188,188,188,188,188
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),160,133,133,133,133,160,160,133,133,133,133,133,133
最大扭矩转速(rpm),2000-4500,4800,4800,4800,4800,2000-4500,2000-4500,4800,4800,4800,4800,4800,4800
最大扭矩(N·m)_y,215,170,170,170,170,215,215,170,170,170,170,170,170
最大扭矩(N·m)_x,215,170,170,170,170,215,215,170,170,170,170,170,170
最大功率转速(rpm),5500,6000,6000,6000,6000,5500,5500,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,118,98,98,98,98,118,118,98,98,98,98,98,98
最大功率(kW)_x,118,98,98,98,98,118,118,98,98,98,98,98,98
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,●,-,●,-,●,-,●,-,●,-,●,-,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1530,1483,1525,1485,1527,1488,1530,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1796,1795,1795,1795,1795,1796,1796,1795,1795,1795,1795,1795,1795
挡位个数,6,5,6,5,6,5,6,5,5,5,5,5,6
扬声器数量,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材质,真皮,织物,织物,真皮,真皮,真皮,真皮,真皮,真皮,织物,织物,真皮,真皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),8,7.9,8.2,7.7,8,7.7,8,-,-,-,-,7.7,8
宽度(mm),1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827
实测油耗(L/100km),-,-,-,-,11.2,-,11.1,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,43.05,-,40.16,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,12.99,-,10.06,-,-,-,-,-,-
定速巡航,●,-,-,●,●,●,●,●,●,-,-,●,●
官方0-100km/h加速(s),10,12.2,13,12.2,13,9.2,10,-,-,-,-,12.2,13
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,-,-,-,-,●,●,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
后风挡遮阳帘,●,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,215/50 R17,205/55 R16,205/55 R16,215/55 R16,215/55 R16,215/50 R17,215/50 R17,205/55 R16,205/55 R16,205/55 R16,205/55 R16,215/55 R16,215/55 R16
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,-,-,●,●,●,●,●,●,-,-,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,●,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后座出风口,●,-,-,●,●,●,●,●,●,-,-,●,●
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),手动变速箱(MT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手动变速箱(MT),双离合变速箱(DCT)
变速箱,6挡双离合,5挡手动,6挡双离合,5挡手动,6挡双离合,5挡手动,6挡双离合,5挡手动,5挡手自一体,5挡手动,5挡手自一体,5挡手动,6挡双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,DVVT,DVVT,DVVT,DVVT,-,-,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT
发动机型号,-,18K4G,18K4G,18K4G,18K4G,-,-,18K4G,18K4G,18K4G,18K4G,18K4G,18K4G
发动机启停技术,●,-,-,●,●,●,●,-,-,-,-,●,●
发动机,1.8T 160马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.8T 160马力 L4,1.8T 160马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.8L 133马力 L4
压缩比,-,10.5,10.5,10.5,10.5,-,-,10.5,10.5,10.5,10.5,10.5,10.5
厂商指导价(元),18.28万,11.88万,13.18万,12.38万,13.68万,13.88万,15.18万,10.78万,11.98万,9.98万,11.18万,11.68万,12.98万
厂商,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,215/50 R17,205/55 R16,205/55 R16,215/55 R16,215/55 R16,215/50 R17,215/50 R17,205/55 R16,205/55 R16,205/55 R16,205/55 R16,215/55 R16,215/55 R16
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-
全景摄像头,-,-,-,-,-,-,-,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-,-,-,-,-,-,-,-
倒车视频影像,●,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,-,-,●,●,●,●,-,-,-,-,●,●
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2013.05,2013.05,2013.05,2013.05,2013.05,2013.05,2013.05,2013.06,2013.06,2013.06,2013.06,2014.01,2014.01
上坡辅助,●,-,-,●,●,●,●,-,-,-,-,●,●
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,-,-,●,●,●,●,-,-,-,-,-,-
CD/DVD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-
