,33947,33948,33949,33950,33951,33952,33953,33954,33955,33956,35804,35805,35806,35807,35808,35809,35810,35811,35812,35813
后轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1770,1770,1870,1870,1800,1800,1800,1800,1950,1950,1770,1770,1870,1870,1800,1800,1800,1800,1950,1950
发动机型号,274 920,274 920,274 920,274 920,274 920,274 920,274 920,274 920,276 823,276 823,274 920,274 920,274 920,274 920,274 920,274 920,274 920,274 920,276 823,276 823
排量(mL),1991,1991,1991,1991,1991,1991,1991,1991,2996,2996,1991,1991,1991,1991,1991,1991,1991,1991,2996,2996
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,双涡轮增压,双涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,双涡轮增压,双涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,V,V,L,L,L,L,L,L,L,L,V,V
气缸数(个),4,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4,6,6
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),184,184,184,184,245,245,245,245,272,272,184,184,184,184,245,245,245,245,272,272
最大功率(kW)_y,135,135,135,135,180,180,180,180,200,200,135,135,135,135,180,180,180,180,200,200
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大扭矩(N·m)_y,300,300,300,300,370,370,370,370,400,400,300,300,300,300,370,370,370,370,400,400
最大扭矩转速(rpm),1200-4000,1200-4000,1200-4000,1200-4000,1300-4000,1300-4000,1300-4000,1300-4000,1300-4500,1300-4500,1200-4000,1200-4000,1200-4000,1200-4000,1300-4000,1300-4000,1300-4000,1300-4000,1300-4500,1300-4500
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,欧V,国V(国VI),国V(国VI),国V(国VI),国V(国VI),国V(国VI),国V(国VI),国V(国VI),国V(国VI),国V(国VI),国V(国VI)
挡位个数,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱
四驱形式,-,-,全时四驱,全时四驱,-,-,-,-,全时四驱,全时四驱,-,-,全时四驱,全时四驱,-,-,-,-,全时四驱,全时四驱
中央差速器结构,-,-,多片离合器,多片离合器,-,-,-,-,多片离合器,多片离合器,-,-,多片离合器,多片离合器,-,-,-,-,多片离合器,多片离合器
前悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/40 R19,245/40 R19,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/40 R19,245/40 R19
后轮胎规格,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,275/35 R19,275/35 R19,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,275/35 R19,275/35 R19
备胎规格,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
