,26011,26013,26014,26015,28600,29770,29771,29772,29773,29774,29775,29776,29777,29778,29779,29780,29865,29866,29867,29868,29869,29870,32858,33270,33414,33415
上市时间,2016.04,2016.04,2016.04,2016.04,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2018.01,2018.01,2018.01,2018.01
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,110,110,110,110,145,145,145,145,145,145,145,145,145,145,145,145,145,145,120,120,120,120,124,124,124,124
最大扭矩(N·m)_x,210,210,210,210,315,315,315,315,315,315,315,315,315,315,315,315,315,315,350,350,350,350,285,285,285,285
发动机,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,1.5T 169马力 L4,1.5T 169马力 L4,1.5T 169马力 L4,1.5T 169马力 L4
变速箱,6挡手动,6挡自动,6挡手动,6挡自动,7挡双离合,6挡手动,6挡手动,7挡双离合,7挡双离合,6挡手动,6挡手动,6挡手动,6挡手动,7挡双离合,7挡双离合,7挡双离合,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,7挡双离合,7挡双离合,7挡双离合,7挡双离合
长*宽*高(mm),4549*1835*1700,4549*1835*1700,4549*1835*1700,4549*1835*1700,4589*1835*1700,4589*1835*1700,4589*1835*1700,4589*1835*1700,4589*1835*1700,4589*1835*1700,4589*1835*1700,4549*1835*1700,4549*1835*1700,4549*1835*1700,4549*1835*1700,4549*1835*1700,4549*1835*1700,4549*1835*1700,4589*1835*1700,4589*1835*1700,4589*1835*1700,4589*1835*1700,4590*1845*1700,4549*1835*1700,4590*1845*1700,4549*1835*1700
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),175,175,175,175,190,190,190,190,190,190,190,190,190,190,190,190,190,190,180,180,180,180,180,180,180,180
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,13.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.78,-,-,-
实测100-0km/h制动(m),-,-,-,43.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.62,-,-,-
工信部综合油耗(L/100km),7.6,7.9,7.6,7.9,8.5,8.3,8.3,8.5,8.3,8.5,8.5,8.3,8.3,8.3,8.3,8.3,8.5,8.5,6.5,6.5,6.6,6.6,6.8,6.8,6.8,6.8
实测油耗(L/100km),-,-,-,9.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.8,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4549,4549,4549,4549,4589,4589,4589,4589,4589,4589,4589,4549,4549,4549,4549,4549,4549,4549,4589,4589,4589,4589,4590,4549,4590,4549
宽度(mm),1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1845,1835,1845,1835
高度(mm),1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
轴距(mm),2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
前轮距(mm),1565,1565,1565,1565,-,-,-,-,-,-,-,1565,1565,1565,1565,1565,1565,1565,-,-,-,-,-,-,-,-
后轮距(mm),1565,1565,1565,1565,-,-,-,-,-,-,-,1565,1565,1565,1565,1565,1565,1565,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,170,170,170
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,GW4G15B,GW4G15B,GW4G15B,GW4G15B,4C20,4C20,4C20,4C20,4C20,4C20,4C20,4C20,4C20,4C20,4C20,4C20,4C20,4C20,4D20D,4D20D,4D20D,4D20D,GW4B15,GW4B15,GW4B15,GW4B15
排量(mL),1497,1497,1497,1497,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1996,1996,1996,1996,1499,1499,1499,1499
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),150,150,150,150,197,197,197,197,197,197,197,197,197,197,197,197,197,197,163,163,163,163,169,169,169,169
最大功率(kW)_y,110,110,110,110,145,145,145,145,145,145,145,145,145,145,145,145,145,145,120,120,120,120,124,124,124,124
最大功率转速(rpm),5600,5600,5600,5600,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,4000,4000,4000,4000,5000-5600,5000-5600,5000-5600,5000-5600
最大扭矩(N·m)_y,210,210,210,210,315,315,315,315,315,315,315,315,315,315,315,315,315,315,350,350,350,350,285,285,285,285
最大扭矩转速(rpm),2200-4500,2200-4500,2200-4500,2200-4500,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,2000-3600,1600-2800,1600-2800,1600-2800,1600-2800,1400-3000,1400-3000,1400-3000,1400-3000
发动机特有技术,-,-,-,-,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,双VVT,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,6,6,6,6,7,6,6,7,7,6,6,6,6,7,7,7,6,6,6,6,6,6,7,7,7,7
变速箱类型,手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
简称,6挡手动,6挡自动,6挡手动,6挡自动,7挡双离合,6挡手动,6挡手动,7挡双离合,7挡双离合,6挡手动,6挡手动,6挡手动,6挡手动,7挡双离合,7挡双离合,7挡双离合,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,7挡双离合,7挡双离合,7挡双离合,7挡双离合
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱
四驱形式,-,-,-,-,-,-,-,-,-,适时四驱,适时四驱,-,-,-,-,-,适时四驱,适时四驱,-,-,适时四驱,适时四驱,-,-,-,-
中央差速器结构,-,-,-,-,-,-,-,-,-,多片离合器,多片离合器,-,-,-,-,-,多片离合器,多片离合器,-,-,多片离合器,多片离合器,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/65 R17,225/55 R19,225/65 R17,225/55 R19,225/55 R19,225/65 R17,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/65 R17,225/65 R17,225/65 R17
后轮胎规格,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/65 R17,225/55 R19,225/65 R17,225/55 R19,225/55 R19,225/65 R17,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/55 R19,225/65 R17,225/65 R17,225/65 R17
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
