Feature,1004594,1004598,1004602,1004606,1004611,1004613,1004615,1004617,1005280,1005281,1005282,1005284,1005679,1005680,1005681,1008097,1008099,1008101,1008103,1008105,1008107,1009540,1009541,1009549,1009552,1009935,1009936,1009937,1009938,1009939,1009940,1009941,1009942,1009943,1009944,1009945,1009946,1009947,1009948,1009949,1009950,1009951,1009952,1011720,1011721,1011722,1011996,1011997,1011998,1011999,1012000,1012001,1014531,1014533,1014535,1014537,1015043,1015276,1015277,1015278,1015279,1015280,1015281,1015282,1015283,1015284,1015285,1015286,1015287,1015288,1015289,1015290,1015291,1015292,1015293,1015294,1015295,1015296,1015297,1015298,1015299,1015300,1015301,1015302,1015303,1015304,1015305,1015306,1015307,1015308,1015309,1015310,1015311,1015312,1015313,1015442,1015443,1015444,1015445
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2933,3300,2933,3300,2933,3300,2933,3300,2933,2933,2933,2933,2933,3300,2933,2933,2933,2933,3300,3300,3300,3300,3300,3300,3300,2933,2933,2933,2933,2933,2933,2933,2933,2933,2933,2933,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,2933,2933,2933,2933,2933,3300,3300,3300,3300,2933,2933,2933,2933,3300,3300,3300,3300,2933,3300,3300,3300,3300,2933,2933,3300,3300,2933,2933,2933,3300,3300,3300,3300,2933,2933,3300,3300,3300,3300,3300,3300,3300,3300
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,货车,货车,客车,客车,货车,货车,客车,货车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,货车,客车,客车,客车,货车,客车,货车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,货车,货车,客车,客车,货车,货车,客车,货车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,客车,客车,客车,货车,客车,客车,客车,货车,客车,货车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,全顺 2017款 2.0T柴油多功能商用车短轴低顶国V,全顺 2017款 2.0T柴油多功能商用车中轴中顶国V,全顺 2017款 2.0T柴油厢式运输车短轴低顶国V,全顺 2017款 2.0T柴油厢式运输车中轴中顶国V,全顺 2017款 2.0T汽油多功能商用车短轴低顶国V,全顺 2017款 2.0T汽油多功能商用车中轴中顶国V,全顺 2017款 2.0T汽油厢式运输车短轴低顶国V,全顺 2017款 2.0T汽油厢式运输车中轴中顶国V,全顺 2017款 2.0T汽油多功能商用车短轴中顶国V,全顺 2017款 2.0T汽油厢式运输车短轴中顶国V,全顺 2017款 2.0T柴油多功能商用车短轴中顶国V,全顺 2017款 2.0T柴油厢式运输车短轴中顶国V,全顺 2017款 2.0T汽油自动多功能商用车短轴低顶国V,全顺 2017款 2.0T汽油自动多功能商用车中轴中顶国V,全顺 2017款 2.0T汽油自动多功能商用车短轴中顶国V,全顺 2019款 2.0T柴油商旅型短轴低顶7座国VI,全顺 2019款 2.0T柴油商旅型短轴低顶8座国VI,全顺 2019款 2.0T柴油商旅型短轴低顶9座国VI,全顺 2019款 2.0T柴油商旅型中轴中顶7座国VI,全顺 2019款 2.0T柴油商旅型中轴中顶8座国VI,全顺 2019款 2.0T柴油商旅型中轴中顶9座国VI,全顺 2020款 2.0T柴油多功能商用车中轴低顶上掀尾门国V,全顺 2020款 2.0T柴油多功能商用车中轴低顶上掀尾门国VI,全顺 2020款 2.0T柴油多功能商用车中轴低顶双开尾门国VI,全顺 2020款 2.0T柴油多功能商用车中轴低顶双开尾门国V,全顺 2019款 2.0T柴油多功能商用车短轴低顶6座国VI,全顺 2019款 2.0T柴油厢式运输车短轴低顶3座国VI,全顺 2019款 2.0T汽油自动多功能商用车短轴低顶6座国VI,全顺 2019款 2.0T汽油多功能商用车短轴低顶6座国VI,全顺 2019款 2.0T汽油自动商旅型短轴低顶7座国VI,全顺 2019款 2.0T汽油自动商旅型短轴低顶9座国VI,全顺 2019款 2.0T柴油厢式运输车短轴中顶3座国VI,全顺 2019款 2.0T柴油多功能商用车短轴中顶6座国VI,全顺 2019款 2.0T汽油自动多功能商用车短轴中顶6座国VI,全顺 2019款 2.0T汽油多功能商用车短轴中顶6座国VI,全顺 2019款 2.0T汽油厢式运输车短轴中顶3座国VI,全顺 2019款 2.0T柴油多功能商用车中轴中顶6座国VI,全顺 2019款 2.0T柴油厢式运输车中轴中顶3座国VI,全顺 2019款 2.0T汽油自动多功能商用车中轴中顶6座国VI,全顺 2019款 2.0T汽油多功能商用车中轴中顶6座国VI,全顺 2019款 2.0T汽油厢式运输车中轴中顶3座国VI,全顺 2019款 2.0T汽油自动商旅型中轴中顶7座国VI,全顺 2019款 2.0T汽油自动商旅型中轴中顶9座国VI,全顺 2020款 2.0T柴油商旅型中轴中顶10-12座国VI,全顺 2020款 2.0T汽油自动商旅型中轴中顶10-12座国VI,全顺 2020款 2.0T汽油商旅型中轴中顶10-12座国VI,全顺 2021款 2.0T柴油手动高级营运商旅型中轴中顶7座国VI,全顺 2021款 2.0T柴油手动高级营运商旅型中轴中顶8座国VI,全顺 2021款 2.0T柴油手动高级营运商旅型中轴中顶9座国VI,全顺 2021款 2.0T汽油自动高级营运商旅型中轴中顶7座国VI,全顺 2021款 2.0T汽油自动高级营运商旅型中轴中顶8座国VI,全顺 2021款 2.0T汽油自动高级营运商旅型中轴中顶9座国VI,全顺 2022款 2.0T汽油自动多功能商用车中轴低顶上掀尾门国VI,全顺 2022款 2.0T汽油自动多功能商用车中轴低顶双开尾门国VI,全顺 2022款 2.0T汽油多功能商用车中轴低顶上掀尾门国VI,全顺 2022款 2.0T汽油多功能商用车中轴低顶双开尾门国VI,2023款 2.0T柴油自动多功能商用车短轴中顶5/6座,2023款 2.0T柴油手动厢式货车短轴低顶3座,2023款 2.0T汽油手动厢式货车短轴低顶3座,2023款 2.0T柴油手动厢式货车短轴中顶3座,2023款 2.0T汽油手动厢式货车短轴中顶3座,2023款 2.0T柴油手动厢式货车中轴低顶3座,2023款 2.0T汽油手动厢式货车中轴低顶3座,2023款 2.0T柴油手动厢式货车中轴中顶3座,2023款 2.0T汽油手动厢式货车中轴中顶3座,2023款 2.0T柴油手动多功能商用车短轴低顶5/6座,2023款 2.0T汽油手动多功能商用车短轴低顶5/6座,2023款 2.0T柴油手动多功能商用车短轴中顶5/6座,2023款 2.0T汽油手动多功能商用车短轴中顶5/6座,2023款 2.0T柴油手动多功能商用车中轴低顶5/6座,2023款 2.0T汽油手动多功能商用车中轴低顶5/6座,2023款 2.0T柴油手动多功能商用车中轴中顶5/6座,2023款 2.0T汽油手动多功能商用车中轴中顶5/6座,2023款 2.0T柴油手动商旅型短轴低顶7/8/9座,2023款 2.0T柴油手动商旅型中轴低顶7/8/9座,2023款 2.0T汽油手动商旅型中轴低顶7/8/9座,2023款 2.0T柴油手动商旅型中轴中顶7/8/9座,2023款 2.0T汽油手动商旅型中轴中顶7/8/9座,2023款 2.0T柴油自动厢式货车短轴低顶3座,2023款 2.0T柴油自动厢式货车短轴中顶3座,2023款 2.0T柴油自动厢式货车中轴低顶3座,2023款 2.0T柴油自动厢式货车中轴中顶3座,2023款 2.0T柴油自动多功能商用车短轴低顶5/6座,2023款 2.0T汽油自动多功能商用车短轴低顶5/6座,2023款 2.0T汽油自动多功能商用车短轴中顶5/6座,2023款 2.0T柴油自动多功能商用车中轴低顶5/6座,2023款 2.0T汽油自动多功能商用车中轴低顶5/6座,2023款 2.0T柴油自动多功能商用车中轴中顶5/6座,2023款 2.0T汽油自动多功能商用车中轴中顶5/6座,2023款 2.0T柴油自动商旅型短轴低顶7/8/9座,2023款 2.0T汽油自动商旅型短轴低顶7/8/9座,2023款 2.0T柴油自动商旅型中轴低顶7/8/9座,2023款 2.0T汽油自动商旅型中轴低顶7/8/9座,2023款 2.0T柴油自动商旅型中轴中顶7/8/9座,2023款 2.0T汽油自动商旅型中轴中顶7/8/9座,全顺 2023款 2.0T柴油手动商旅型中轴中顶10/11/12座,全顺 2023款 2.0T柴油自动商旅型中轴中顶10/11/12座,全顺 2023款 2.0T汽油手动商旅型中轴中顶10/11/12座,全顺 2023款 2.0T汽油自动商旅型中轴中顶10/11/12座
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,汽油,汽油
