,1003754,1003892,1003893,1003894,1003895,1003896,1003897,1003898,1003899,1003900,1003901,1003902,1003903,1003904
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,-,○,○,-,●,●,●,●,●,●,●,●,○,○
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,-,-,-,-,●,●,●,●,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,●,●,●,●,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动○,手动○,手动○,手动○,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动○,手动○
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,○,○,○,○,●,●,●,●,●,●,●,●,○,○
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,北汽威旺306 2016款 1.0L基本型7座LJ465,北汽威旺306 2016款 1.2L基本型5座A12国IV,北汽威旺306 2016款 1.2L基本型5座A12国V,北汽威旺306 2016款 1.0L基本型5座LJ465,北汽威旺306 2016款 1.2L豪华型7座A12国IV,北汽威旺306 2016款 1.2L豪华型7座A12国V,北汽威旺306 2016款 1.2L豪华型5座A12国IV,北汽威旺306 2016款 1.2L豪华型5座A12国V,北汽威旺306 2016款 1.2L舒适型7座A12国IV,北汽威旺306 2016款 1.2L舒适型7座A12国V,北汽威旺306 2016款 1.2L舒适型5座A12国IV,北汽威旺306 2016款 1.2L舒适型5座A12国V,北汽威旺306 2016款 1.2L基本型7座A12国IV,北汽威旺306 2016款 1.2L基本型7座A12国V
厂商指导价(元),3.18万,3.74万,3.74万,3.18万,4.64万,4.64万,4.64万,4.64万,4.15万,4.15万,4.15万,4.15万,3.74万,3.74万
厂商,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2015.12,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.0L 61马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.0L 61马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4,1.2L 86马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907,4030×1636×1907
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
最高车速(km/h),125,125,125,125,125,125,125,125,125,125,125,125,125,125
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
宽度(mm),1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
高度(mm),1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
前轮距(mm),1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386,1386
后轮距(mm),1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408
最小离地间隙(mm),150,150,150,150,150,150,150,150,150,150,150,150,150,150
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),7,5,5,5,7,7,5,5,7,7,5,5,7,7
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧
助力类型,无助力,无助力,无助力,无助力,液压助力,液压助力,液压助力,液压助力,无助力,无助力,无助力,无助力,无助力,无助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14
后轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14
发动机型号,LJ465,-,-,LJ465,-,-,-,-,-,-,-,-,-,-
排量(mL),-,1199,1199,-,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,10,10,-,10,10,10,10,10,10,10,10,10,10
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),61,86,86,61,86,86,86,86,86,86,86,86,86,86
最大功率(kW)_y,45,63.5,63.5,45,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5
最大功率转速(rpm),-,6000,6000,-,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,85,108,108,85,108,108,108,108,108,108,108,108,108,108
最大扭矩转速(rpm),-,4400,4400,-,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国IV,国IV,国V,国IV,国IV,国V,国IV,国V,国IV,国V,国IV,国V,国IV,国V
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-
