Feature,46576,46577,46578,46582,46583,46585,46588,48234,48235,50389,50390,54170,60658,61195,61196,61197,61198
燃料形式,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,油电混合,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
灯光特色功能,-,-,,,,,,,,,,,,-,-,,
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
油箱容积(L),72.5,72.5,72.5,72.5,65,65,65,65,65,72.5,65,72.5,65,65,65,65,65
气缸数(个),4,4,4,4,6,6,6,6,6,4,6,4,4,4,4,4,4
气缸排列形式,L,L,L,L,V,V,V,V,V,L,V,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),200,200,200,200,200,180,180,200,180,200,180,200,210,200,200,200,200
最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.5,5.9,5.9,5.9,5.9
最大马力(Ps),231,231,231,231,262,262,262,262,262,231,262,231,271,189,189,189,189
最大满载质量(kg),2500,2500,2575,2575,2715,2840,2840,2715,2840,2575,2840,2575,-,-,-,-,-
最大扭矩转速(rpm),1800-4000,1800-4000,1800-4000,1800-4000,4600,4600,4600,4600,4600,1800-4000,4600,1800-4000,2000-3000,4300-4500,4300-4500,4300-4500,4300-4500
最大扭矩(N·m)_y,350,350,350,350,335,335,335,335,335,350,335,350,460,241,241,241,241
最大扭矩(N·m)_x,350,350,350,350,-,-,-,-,-,350,-,350,-,-,-,-,-
最大功率转速(rpm),5200-5600,5200-5600,5200-5600,5200-5600,6000,6000,6000,6000,6000,5200-5600,6000,5200-5600,5800,6000,6000,6000,6000
最大功率(kW)_y,170,170,170,170,193,193,193,193,193,170,193,170,199,139,139,139,139
最大功率(kW)_x,170,170,170,170,230,230,230,230,230,170,230,170,273,184,184,184,184
最大净功率(kW),170,170,170,170,193,193,193,193,193,170,193,170,-,-,-,-,-
无钥匙进入功能,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
方向盘材质,,,,,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,-,-,-,-,-,-,●,-,-,-,-,-,○,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,四年或10万公里,六年或15万公里,四年或10万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里
整备质量(kg),1945,1945,2040,2040,2165,2250,2240,2165,2250,2040,2240,2040,2155,1965,1965,2035,2035
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
接近角(°),16.7,16.7,16.7,16.7,16.5,16.6,16.6,16.5,16.6,16.9,16.6,16.7,-,-,-,-,-
排量(mL),1998,1998,1998,1998,3456,3456,3456,3456,3456,1998,3456,1998,2393,2487,2487,2487,2487
换挡形式,,,,,,,,,,,,,,,,,
挡位个数,6,6,6,6,无级变速,无级变速,无级变速,无级变速,无级变速,6,无级变速,6,6,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,,-,-,,,,,,,,-,-,-,-
手机无线充电功能,-,,,,,,,-,-,,,,,-,-,,
手机互联/映射,,,,,,,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,,,,,,,,,,,,,,,
感应后备厢,-,-,-,●,-,-,●,-,-,-,●,-,●,-,-,●,●
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,
座椅布局,-,-,-,-,-,,,-,,-,,-,-,-,-,-,-
座位数(个),5,5,5,5,5,7,6,5,7,5,6,5,5,5,5,5,5
并线辅助,-,-,-,●,●,●,●,●,●,●,-,-,○,-,-,-,●
巡航系统,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
宽度(mm),1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1920,1920,1920,1920,1920
官方0-100km/h加速(s),9.2,9.2,9.5,9.5,7.7,8,8,7.7,8,9.5,8,9.5,6.2,8.1,8.1,7.9,7.9
安全带未系提醒,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,,,,,,,,,,
多媒体/充电接口,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,电动四驱,-,-,电动四驱,电动四驱
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1640,1640,1640,1640,1640,1630,1630,1640,1630,1640,1630,1640,-,-,-,-,-
后轮胎规格,235/65 R18,235/65 R18,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/50 R21,235/60 R19,235/60 R19,235/50 R21,235/50 R21
后电动机最大扭矩(N·m),-,-,-,-,139,139,139,139,139,-,139,-,168,-,-,121,121
后电动机最大功率(kW),-,-,-,-,50,50,50,50,50,-,50,-,75,-,-,40,40
后方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,●
后排独立空调,-,-,-,-,-,●,●,-,●,-,●,-,●,●,●,●,●
后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,●,-,●,●,-,●,-,●,-,○,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,●,●,●,●,●,●,●,●,●,●,○,-,-,-,-
后排侧窗遮阳帘,-,-,-,,-,-,,-,-,,,-,,-,-,-,-
后悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),506-1579,506-1579,506-1579,506-1579,506-1579,-,-,506-1579,-,506-1579,-,506-1579,612,612,612,612,612
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,,-,-,,-,-,,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),手自一体变速箱(AT),电子无级变速箱(E-CVT),手自一体变速箱(AT),手自一体变速箱(AT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手自一体,E-CVT无级变速,6挡手自一体,6挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,双VVT-iW,-,-,-,-,-
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,8AR-FTS,8AR-FTS,8AR-FTS,8AR-FTS,2GR-FXS,2GR-FXS,2GR-FXS,2GR-FXS,2GR-FXS,8AR-FTS,2GR-FXS,8AR-FTS,T24A-FTS,A25B-FXS,A25B-FXS,A25B-FXS,A25B-FXS
发动机启停技术,●,●,●,●,-,-,-,-,-,●,-,●,-,-,-,-,-
发动机,2.0T 231马力 L4,2.0T 231马力 L4,2.0T 231马力 L4,2.0T 231马力 L4,3.5L 262马力 V6,3.5L 262马力 V6,3.5L 262马力 V6,3.5L 262马力 V6,3.5L 262马力 V6,2.0T 231马力 L4,3.5L 262马力 V6,2.0T 231马力 L4,2.4T 271马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4,2.5L 189马力 L4
压缩比,10,10,10,10,13,13,13,13,13,10,13,10,11,14,14,14,14
厂商指导价(元),40.50万,44.20万,47.90万,58.50万,65.70万,67.90万,80.10万,70.20万,72.40万,53.60万,75.60万,50.90万,61.90万,40.50万,44.20万,47.90万,55.90万
厂商,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯
卫星导航系统,-,-,-,●,-,-,●,●,●,●,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶座垫式气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,
前轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,-,-,-,-,-
前轮胎规格,235/65 R18,235/65 R18,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/55 R20,235/50 R21,235/60 R19,235/60 R19,235/50 R21,235/50 R21
前电动机最大扭矩(N·m),-,-,-,-,335,335,335,335,335,-,335,-,292,270,270,270,270
前电动机最大功率(kW),-,-,-,-,123,123,123,123,123,-,123,-,64,134,134,134,134
前方碰撞预警,-,●,●,●,●,●,●,●,●,●,●,●,○,-,-,-,●
前排座椅功能,-,,,,,,,,,,,,,-,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
