Feature,1013698,1013699,1013700,1013701,1013702,1013703,1013704,1013705,1013706,1013707,1013708,1013709,1013710,1013711,1013712,1013713,1013714,1013715,1013716,1013717,1013718,1013719,1013720,1013721,1013722,1013723,1013724,1013725,1013726,1013727,1013728,1013729,1014022,1014023
车型名称,金刚炮 2022款 2.0T手动柴油两驱创业型长箱GW4D20M,金刚炮 2022款 2.0T手动柴油两驱创业型标箱GW4D20M,金刚炮 2022款 2.0T手动柴油两驱创业型长箱平箱GW4D20M,金刚炮 2022款 2.0T手动柴油两驱精英型长箱平箱GW4D20M,金刚炮 2022款 2.0T手动柴油两驱精英型长箱GW4D20M,金刚炮 2022款 2.0T手动柴油两驱精英型标箱GW4D20M,金刚炮 2022款 2.0T手动柴油两驱领航型长箱GW4D20M,金刚炮 2022款 2.0T手动柴油两驱领航型标箱GW4D20M,金刚炮 2022款 2.0T手动柴油四驱创业型长箱GW4D20M,金刚炮 2022款 2.0T手动柴油四驱创业型标箱GW4D20M,金刚炮 2022款 2.0T手动柴油四驱创业型长箱平箱GW4D20M,金刚炮 2022款 2.0T手动柴油四驱精英型长箱GW4D20M,金刚炮 2022款 2.0T手动柴油四驱精英型标箱GW4D20M,金刚炮 2022款 2.0T手动柴油四驱精英型长箱平箱GW4D20M,金刚炮 2022款 2.0T手动柴油四驱领航型长箱GW4D20M,金刚炮 2022款 2.0T手动柴油四驱领航型标箱GW4D20M,金刚炮 2022款 2.0T手动汽油两驱创业型长箱GW4C20B,金刚炮 2022款 2.0T手动汽油两驱创业型标箱GW4C20B,金刚炮 2022款 2.0T手动汽油两驱创业型长箱平箱GW4C20B,金刚炮 2022款 2.0T手动汽油两驱精英型长箱平箱GW4C20B,金刚炮 2022款 2.0T手动汽油两驱精英型长箱GW4C20B,金刚炮 2022款 2.0T手动汽油两驱精英型标箱GW4C20B,金刚炮 2022款 2.0T手动汽油两驱领航型长箱GW4C20B,金刚炮 2022款 2.0T手动汽油两驱领航型标箱GW4C20B,金刚炮 2022款 2.0T手动汽油四驱创业型长箱GW4C20B,金刚炮 2022款 2.0T手动汽油四驱创业型标箱GW4C20B,金刚炮 2022款 2.0T手动汽油四驱创业型长箱平箱GW4C20B,金刚炮 2022款 2.0T手动汽油四驱精英型长箱平箱GW4C20B,金刚炮 2022款 2.0T手动汽油四驱精英型长箱GW4C20B,金刚炮 2022款 2.0T手动汽油四驱精英型标箱GW4C20B,金刚炮 2022款 2.0T手动汽油四驱领航型长箱GW4C20B,金刚炮 2022款 2.0T手动汽油四驱领航型标箱GW4C20B,金刚炮 2022款 2.0T手动柴油四驱药商版长箱平箱GW4D20M,金刚炮 2022款 2.0T手动柴油两驱药商版长箱平箱GW4D20M
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1820x1500x495,1550x1500x495,1820x1500x470,1820x1500x470,1820x1500x495,1550x1500x495,1820x1500x495,1550x1500x495,1820x1500x495,1550x1500x495,1820x1500x470,1820x1500x495,1550x1500x495,1820x1500x470,1820x1500x495,1550x1500x495,1820x1500x495,1550x1500x495,1820x1500x470,1820x1500x470,1820x1500x495,1550x1500x495,1820x1500x495,1550x1500x495,1820x1500x495,1550x1500x495,1820x1500x470,1820x1500x470,1820x1500x495,1550x1500x495,1820x1500x495,1550x1500x495,1820x1500x470,1820x1500x470
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●
自动头灯,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油
胎压监测功能,-,-,-,,,,,,-,-,-,,,,,,-,-,-,,,,,,-,-,-,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),155,-,155,164,164,-,164,-,150,-,150,160,160,-,160,160,170,-,-,-,170,-,170,-,165,165,165,-,165,-,165,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),150,150,150,163,163,163,163,163,150,150,150,163,163,163,163,163,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,163,163
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),2750,-,2750,2750,2750,-,2750,-,2840,-,2840,2840,2840,-,2840,2840,2706,-,-,-,2706,-,2706,-,2780,2785,2780,-,2780,-,2780,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,330,330,330,400,400,400,400,400,330,330,330,400,400,400,400,400,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,400,400
最大扭矩(N·m)_x,330,330,330,400,400,400,400,400,330,330,330,400,400,400,400,400,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,400,400
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,110,110,110,120,120,120,120,120,110,110,110,120,120,120,120,120,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,120,120
最大功率(kW)_x,110,110,110,120,120,120,120,120,110,110,110,120,120,120,120,120,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,120,120
无钥匙进入功能,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-
无钥匙启动系统,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),1925,-,1925,1925,1925,-,1925,-,2015,-,2015,2015,2015,-,2015,2015,1881,-,-,-,1881,-,1881,-,1955,1960,1955,-,1955,-,1955,-,-,-
排量(mL),1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1996,1996
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.7,-,7.7,7.9,7.9,-,7.9,-,8.1,-,8.1,8.2,8.2,-,8.2,8.2,9.2,-,-,-,9.2,-,9.2,-,9.5,9.5,9.5,-,9.5,-,9.5,-,-,-
巡航系统,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,,-,-
宽度(mm),1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,235/65 R17,235/65 R17,235/65 R17,235/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,235/65 R17,235/65 R17,235/65 R17,245/65 R17,245/65 R17,235/65 R17,245/65 R17,245/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,235/65 R17,235/65 R17,235/65 R17,235/65 R17,245/65 R17,245/65 R17,245/65 R17,245/65 R17,235/65 R17,235/65 R17
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,通风盘式,通风盘式,盘式,盘式,盘式,盘式,盘式,盘式,通风盘式,通风盘式,盘式,盘式,盘式,盘式,盘式,盘式,通风盘式,通风盘式,盘式,盘式,盘式,盘式,盘式,盘式,通风盘式,通风盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-
