Feature,30187,30448,30449,30450,30451,30452,30453,30534,31643,36440,37238,37239,37240,37241,37242,37243,37244,37245,37246
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
电动天窗,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,●,-,-,-,-,●,●,-,-,●,○,-,-,●,-,●,●,○,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,95号,92号,95号,92号,95号,95号,95号,95号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),175,155,155,175,175,175,175,175,175,265,155,234,148,234,265,265,265,148,155
最大扭矩转速(rpm),3900,4600,4600,3900,3900,3900,3900,3900,3900,3000-4250,4600,2500-4500,4600,2500-4500,3000-4250,3000-4250,3000-4250,4600,4600
最大扭矩(N·m)_y,228,190,190,228,228,228,228,228,228,400,190,350,190,350,400,400,400,190,190
最大扭矩(N·m)_x,228,190,190,228,228,228,228,228,228,400,190,350,190,350,400,400,400,190,190
最大功率转速(rpm),6450,6200,6200,6450,6450,6450,6450,6450,6450,5200,6200,5000,6250,5000,5200,5200,5200,6250,6200
最大功率(kW)_y,128.5,114,114,128.5,128.5,128.5,128.5,128.5,128.5,195,114,172,109,172,195,195,195,109,114
最大功率(kW)_x,128.5,114,114,128.5,128.5,128.5,128.5,128.5,128.5,195,114,172,109,172,195,195,195,109,114
无钥匙进入系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1875,1735,1735,1745,1855,1875,1875,1745,1855,1875,1735,1765,1710,1765,1875,1875,1975,1735,1710
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),2360,1995,1995,2360,2360,2360,2360,2360,2360,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
挡位个数,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
扬声器品牌,ALPINE阿尔派,-,-,-,-,ALPINE阿尔派,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,10-11喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,10-11喇叭,6-7喇叭,6-7喇叭,6-7喇叭,10-11喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,10-11喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-,-,-,-,-,●,-,●,●,●,●,●,●,-,●
感应雨刷,●,-,-,-,-,●,●,-,-,●,-,●,●,●,-,●,●,-,●
感应后备厢,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,真皮,织物,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,●,-,-,-,-,●,●,-,-,●,○,-,-,-,-,-,●,○,-
工信部综合油耗(L/100km),8.5,8.3,8.3,8.1,8.5,8.5,8.5,8.1,8.5,8.2,8.3,7.9,8.2,7.9,8.2,8.2,9.2,8.3,8.2
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1859,1859,1859,1859,1859,1859,1859,1859,1859,1865,1859,1865,1865,1865,1865,1865,1904,1859,1865
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
定速巡航,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,-,-,-,●,●,●,-,●,-,○,-,-,-,-,-,-,○,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX+SD卡插槽,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX+SD卡插槽,USB+AUX
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,适时四驱,-,-,-,适时四驱,适时四驱,适时四驱,-,适时四驱,适时四驱,-,-,-,-,适时四驱,适时四驱,适时四驱,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,225/60 R18,225/60 R17,225/60 R17,225/60 R17,225/60 R18,225/60 R18,225/60 R18,225/60 R17,225/60 R18,235/50 R19,225/60 R17,225/60 R17,225/60 R17,225/60 R18,225/60 R17,225/60 R18,245/65 R17,225/60 R17,225/60 R17
后视镜记忆,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,●,-,-,●,●,●,●,●,●,●,○,●,●,●,-,●,●,○,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后桥限滑差速器/差速锁,限滑差速器,-,-,-,限滑差速器,限滑差速器,限滑差速器,-,限滑差速器,-,-,-,-,-,-,-,差速锁,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,●,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,●,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,MultiAir电控液压进气系统,-,-,MultiAir电控液压进气系统,MultiAir电控液压进气系统,MultiAir电控液压进气系统,MultiAir电控液压进气系统,MultiAir电控液压进气系统,MultiAir电控液压进气系统,-,-,-,-,-,-,-,-,-,-
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,2.4L 175马力 L4,2.0L 155马力 L4,2.0L 155马力 L4,2.4L 175马力 L4,2.4L 175马力 L4,2.4L 175马力 L4,2.4L 175马力 L4,2.4L 175马力 L4,2.4L 175马力 L4,2.0T 265马力 L4,2.0L 155马力 L4,2.0T 234马力 L4,2.0L 148马力 L4,2.0T 234马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.0L 148马力 L4,2.0L 155马力 L4
压缩比,10,10.2,10.2,10,10,10,10,10,10,-,10.2,-,-,-,-,-,-,-,10.2
厂商指导价(元),31.98万,20.98万,21.98万,23.58万,25.98万,27.58万,26.98万,22.98万,24.98万,27.98万,18.58万,22.28万,19.68万,23.98万,23.98万,24.98万,31.98万,18.58万,19.68万
厂商,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep,广汽菲克Jeep
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,225/60 R18,225/60 R17,225/60 R17,225/60 R17,225/60 R18,225/60 R18,225/60 R18,225/60 R17,225/60 R18,235/50 R19,225/60 R17,225/60 R17,225/60 R17,225/60 R18,225/60 R17,225/60 R18,245/65 R17,225/60 R17,225/60 R17
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,前●&nbsp;/&nbsp;后-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
