,28281,28282,28283,28301,28302,28303,28304,28305,28306,28307,28308,28309,28310,28311,28312,28313,28314,28315,28316,28317,28318,28319,28320
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,真皮,真皮,织物,织物,真皮,真皮,真皮,真皮,织物,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,●,-,-,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,●,●,-,●
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,前●&nbsp;/&nbsp;后-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
定位互动服务,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,●,-,-,-,●,●,●,-,-,●,●,●,-,●,●,●,-,●,●,●,●,●
外接音源接口,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽,USB+AUX+SD卡插槽
CD/DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭
近光灯,卤素,氙气,卤素,卤素,卤素,氙气,氙气,氙气,卤素,卤素,氙气,氙气,氙气,卤素,氙气,氙气,氙气,卤素,氙气,氙气,氙气,氙气,氙气
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,●,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,-,-,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,●,●,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,●,-,-,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,●,●,-,●
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,●,-,-,-,●,●,●,-,-,●,●,●,-,●,●,●,-,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,-,●,-,-,-,●,●,●,-,-,●,●,●,-,●,●,●,-,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜记忆,-,●,-,-,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,●,●,-,●
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,●,-,-,-,●,●,●,-,-,●,●,●,-,●,●,●,-,-,-,-,●,●
后排侧隐私玻璃,●,●,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,●,-,-,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,●,●,-,●
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,格越 2017款 3.0L 7座四驱舒适版,格越 2017款 3.0L 7座四驱旗舰版,格越 2017款 2.0T 7座四驱领先版,格越 2017款 2.0T 7座两驱领先版,格越 2017款 2.0T 7座两驱舒适版,格越 2017款 2.0T 7座两驱豪华版,格越 2017款 2.0T 7座四驱旗舰版,格越 2017款 2.0T 7座两驱旗舰豪华科技套件,格越 2017款 2.2T 7座两驱领先版,格越 2017款 2.2T 7座两驱舒适版,格越 2017款 2.2T 7座两驱豪华版,格越 2017款 2.2T 7座两驱旗舰版,格越 2017款 2.2T 7座两驱旗舰豪华科技套件,格越 2017款 2.0T 7座四驱舒适版,格越 2017款 2.0T 7座四驱豪华版,格越 2017款 2.0T 7座两驱旗舰版,格越 2017款 2.0T 7座四驱旗舰豪华科技套件,格越 2017款 2.2T 7座四驱舒适版,格越 2017款 2.2T 7座四驱豪华版,格越 2017款 2.2T 7座四驱旗舰版,格越 2017款 2.2T 7座四驱旗舰豪华科技套件,格越 2017款 3.0L 7座四驱豪华版,格越 2017款 3.0L 7座四驱旗舰豪华科技套件
厂商指导价(元),32.98万,37.38万,27.80万,25.90万,28.56万,31.38万,34.73万,34.23万,25.60万,31.28万,34.18万,35.68万,37.08万,30.46万,33.28万,32.83万,36.13万,32.48万,35.38万,36.88万,38.28万,35.88万,38.78万
厂商,现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口),现代(进口)
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油
上市时间,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11,2016.11
最大功率(kW)_x,194,194,177,177,177,177,177,177,147,147,147,147,147,177,177,177,177,147,147,147,147,194,194
最大扭矩(N·m)_x,306,306,350,350,350,350,350,350,440,440,440,440,440,350,350,350,350,440,440,440,440,306,306
发动机,3.0L 264马力 V6,3.0L 264马力 V6,2.0T 241马力 L4,2.0T 241马力 L4,2.0T 241马力 L4,2.0T 241马力 L4,2.0T 241马力 L4,2.0T 241马力 L4,2.2T 200马力 L4,2.2T 200马力 L4,2.2T 200马力 L4,2.2T 200马力 L4,2.2T 200马力 L4,2.0T 241马力 L4,2.0T 241马力 L4,2.0T 241马力 L4,2.0T 241马力 L4,2.2T 200马力 L4,2.2T 200马力 L4,2.2T 200马力 L4,2.2T 200马力 L4,3.0L 264马力 V6,3.0L 264马力 V6
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
长*宽*高(mm),4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1685,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695,4915*1885*1695
