Feature,1013043,1013078,1013079,1013080,1013081,1013082,1013083,1013084,1013085,1013086,1013087,1013088,1013089,1013090,1013091,1013092,1013093,1013094,1013095,1013096,1013097,1013098,1013099,1013100,1013101,1013102,1013103,1013104,1013105,1013106,1013107,1013108,1013109,1013110,1013111,1013112,1013113,1013114,1013115,1013116,1013117,1013118,1013119,1013120,1013121,1013122,1013123,1013124,1013125,1013126,1013127,1013128,1013129,1013130,1013131,1013132,1013795,1013796
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,○,○,○,○,○,○,○,○,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,○,○,○,○,○,○
车型名称,将军F9 2022款 2.0T柴油自动四驱尊享型标箱4F20TC,将军F9 2022款 2.0T柴油自动四驱尊享型长箱4F20TC,将军F9 2022款 2.0T柴油自动两驱尊享型标箱4F20TC,将军F9 2022款 2.0T柴油自动两驱尊享型长箱4F20TC,将军F9 2022款 2.0T柴油自动四驱豪华型标箱4F20TC,将军F9 2022款 2.0T柴油自动四驱豪华型长箱4F20TC,将军F9 2022款 2.0T柴油自动两驱豪华型标箱4F20TC,将军F9 2022款 2.0T柴油自动两驱豪华型长箱4F20TC,将军F9 2022款 2.0T柴油自动四驱乐享型标箱4F20TC,将军F9 2022款 2.0T柴油自动四驱乐享型长箱4F20TC,将军F9 2022款 2.0T柴油自动两驱乐享型标箱4F20TC,将军F9 2022款 2.0T柴油自动两驱乐享型长箱4F20TC,将军F9 2022款 2.0T柴油手动四驱旗舰型标箱4F20TC,将军F9 2022款 2.0T柴油手动四驱旗舰型长箱4F20TC,将军F9 2022款 2.0T柴油手动两驱旗舰型标箱4F20TC,将军F9 2022款 2.0T柴油手动两驱旗舰型长箱4F20TC,将军F9 2022款 2.0T柴油手动四驱尊享型标箱4F20TC,将军F9 2022款 2.0T柴油手动四驱尊享型长箱4F20TC,将军F9 2022款 2.0T柴油手动两驱尊享型标箱4F20TC,将军F9 2022款 2.0T柴油手动两驱尊享型长箱4F20TC,将军F9 2022款 2.0T柴油手动四驱豪华型标箱4F20TC,将军F9 2022款 2.0T柴油手动四驱豪华型长箱4F20TC,将军F9 2022款 2.0T柴油手动两驱豪华型标箱4F20TC,将军F9 2022款 2.0T柴油手动两驱豪华型长箱4F20TC,将军F9 2022款 2.0T柴油手动四驱乐享型标箱4F20TC,将军F9 2022款 2.0T柴油手动四驱乐享型长箱4F20TC,将军F9 2022款 2.0T柴油手动两驱乐享型标箱4F20TC,将军F9 2022款 2.0T柴油手动两驱乐享型长箱4F20TC,将军F9 2022款 2.0T柴油手动四驱精英型标箱4F20TC,将军F9 2022款 2.0T柴油手动四驱精英型长箱4F20TC,将军F9 2022款 2.0T柴油手动两驱精英型标箱4F20TC,将军F9 2022款 2.0T柴油手动两驱精英型长箱4F20TC,将军F9 2022款 2.0T汽油手动四驱旗舰型标箱4G20TI5,将军F9 2022款 2.0T汽油手动两驱旗舰型标箱4G20TI5,将军F9 2022款 2.0T汽油手动四驱尊享型标箱4G20TI5,将军F9 2022款 2.0T汽油手动两驱尊享型标箱4G20TI5,将军F9 2022款 2.0T汽油手动四驱豪华型标箱4G20TI5,将军F9 2022款 2.0T汽油手动两驱豪华型标箱4G20TI5,将军F9 2022款 2.0T汽油手动四驱乐享型标箱4G20TI5,将军F9 2022款 2.0T汽油手动四驱乐享型长箱4G20TI5,将军F9 2022款 2.0T汽油手动两驱乐享型标箱4G20TI5,将军F9 2022款 2.0T汽油手动两驱乐享型长箱4G20TI5,将军F9 2022款 2.0T汽油手动四驱精英型标箱4G20TI5,将军F9 2022款 2.4L汽油手动四驱精英型标箱4K22,将军F9 2022款 2.0T汽油手动四驱精英型长箱4G20TI5,将军F9 2022款 2.4L汽油手动四驱精英型长箱4K22,将军F9 2022款 2.0T汽油手动两驱精英型标箱4G20TI5,将军F9 2022款 2.4L汽油手动两驱精英型标箱4K22,将军F9 2022款 2.0T汽油手动两驱精英型长箱4G20TI5,将军F9 2022款 2.4L汽油手动两驱精英型长箱4K22,将军F9 2022款 2.0T汽油自动四驱旗舰型标箱4G20TI5,将军F9 2022款 2.0T汽油自动两驱旗舰型标箱4G20TI5,将军F9 2022款 2.0T汽油自动四驱尊享型标箱4G20TI5,将军F9 2022款 2.0T汽油自动两驱尊享型标箱4G20TI5,将军F9 2022款 2.0T汽油自动四驱豪华型标箱4G20TI5,将军F9 2022款 2.0T汽油自动两驱豪华型标箱4G20TI5,将军F9 2022款 2.0T汽油自动两驱民族华章版标箱4G20TI5,将军F9 2022款 2.0T柴油手动四驱民族华章版标箱4F20TC
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,,,,,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,○,○,○,○,-,-,-,-,-,-,-,-,●,●,●,●,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,●,●,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,238,238,238,238,238,238,238,238,238,238,238,160,238,160,238,160,238,160,238,238,238,238,238,238,238,163
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
