Feature,1006095,1006096,1006097,1006098,1006099,1006100,1006101,1006102,1006103,1006104,1006105,1006106,1006107,1006108,1006109,1006110,1006726,1006727,1006728,1006729,1006730,1006731,1006732,1006733,1006734,1006735,1006736,1006737,1006738,1006741,1006742,1006743,1006744,1006745,1006746,1006755,1006756,1006757,1006758,1006759,1006760,1006761,1006762,1006763,1006764,1006765,1006766,1006767,1006768,1006769,1006770,1006771,1006772,1006774,1006775,1006776,1006777,1006832,1006833,1006834,1006835,1006836,1006837,1007307,1007308,1007309,1007310,1007311,1007312,1007313,1007314,1007315,1007316,1007317,1007318,1007319,1007320,1007321,1007322,1007323,1007324,1007325,1007326,1007327,1007328,1007329,1007330,1007331,1007777,1007778,1007779,1007780,1007781,1007782,1007783,1007784,1007785,1007786,1007787,1007788,1007789,1007790,1007791,1007792,1007793,1007794,1007795,1007796,1007797,1007798,1007799,1007800
车型名称,拓陆者 2018款 2.4L E5 四驱精英型4G69S4M,拓陆者 2018款 2.8T E5 四驱精英型4J28TC4,拓陆者 2018款 2.4L E5 四驱精英型长轴4G69S4M,拓陆者 2018款 2.8T E5 四驱精英型长轴4J28TC4,拓陆者 2018款 2.4L E5 四驱舒适型4G69S4M,拓陆者 2018款 2.8T E5 四驱舒适型4J28TC4,拓陆者 2018款 2.4L E5 四驱舒适型长轴4G69S4M,拓陆者 2018款 2.8T E5 四驱舒适型长轴4J28TC4,拓陆者 2018款 2.4L E5 两驱精英型4G69S4M,拓陆者 2018款 2.8T E5 两驱精英型4J28TC4,拓陆者 2018款 2.4L E5 两驱精英型长轴4G69S4M,拓陆者 2018款 2.8T E5 两驱精英型长轴4J28TC4,拓陆者 2018款 2.4L E5 两驱舒适型4G69S4M,拓陆者 2018款 2.8T E5 两驱舒适型4J28TC4,拓陆者 2018款 2.4L E5 两驱舒适型长轴4G69S4M,拓陆者 2018款 2.8T E5 两驱舒适型长轴4J28TC4,拓陆者 2018款 2.8T S系列改款柴油四驱自动至尊版国V,拓陆者 2018款 2.8T S系列改款柴油四驱自动精英版国V,拓陆者 2018款 2.8T S系列改款柴油两驱自动至尊版国V,拓陆者 2018款 2.8T S系列改款柴油两驱自动精英版国V,拓陆者 2018款 2.8T S系列柴油四驱精英版6MT国V,拓陆者 2018款 2.8T S系列柴油四驱舒适版6MT国V,拓陆者 2018款 2.8T S系列柴油两驱精英版6MT国V,拓陆者 2018款 2.8T S系列柴油两驱舒适版6MT国V,拓陆者 2018款 2.8T S系列柴油四驱至尊版国V,拓陆者 2018款 2.8T S系列柴油四驱舒适版国V,拓陆者 2018款 2.8T S系列柴油四驱精英版国V,拓陆者 2018款 2.8T S系列柴油两驱至尊版国V,拓陆者 2018款 2.8T S系列柴油两驱领航版国V,拓陆者 2018款 2.0T S系列汽油四驱精英版国V 4G20TI4,拓陆者 2018款 2.0T S系列汽油两驱至尊版国V 4G20TI4,拓陆者 2018款 2.4L S系列汽油两驱精英版国V 4G69S4M,拓陆者 2018款 2.0T S系列汽油两驱精英版国V 4G20TI4,拓陆者 2018款 2.4L S系列汽油四驱至尊版国V 4G69S4M,拓陆者 2018款 2.0T S系列汽油四驱至尊版国V 4G20TI4,拓陆者 2018款 2.8T E3柴油四驱精英型国V 4J28TC4,拓陆者 2018款 2.8T E3柴油四驱精英型国V长轴 4J28TC4,拓陆者 2018款 2.8T E3柴油四驱舒适型国V 4J28TC4,拓陆者 2018款 2.8T E3柴油四驱舒适型国V长轴 4J28TC4,拓陆者 2018款 2.8T E3柴油两驱精英型国V 4J28TC4,拓陆者 2018款 2.8T E3柴油两驱精英型国V长轴 4J28TC4,拓陆者 2018款 2.8T E3柴油两驱舒适型国V 4J28TC4,拓陆者 2018款 2.8T E3柴油两驱舒适型国V长轴 4J28TC4,拓陆者 2018款 2.4L E3汽油四驱精英型国V 4G69S4M,拓陆者 2018款 2.4L E3汽油四驱精英型国V长轴 4G69S4M,拓陆者 2018款 2.4L E3汽油四驱舒适型国V 4G69S4M,拓陆者 2018款 2.4L E3汽油四驱舒适型国V长轴 4G69S4M,拓陆者 2018款 2.4L E3汽油两驱精英型国V 4G69S4M,拓陆者 2018款 2.4L E3汽油两驱精英型国V长轴 4G69S4M,拓陆者 2018款 2.4L E3汽油两驱舒适型国V 4G69S4M,拓陆者 2018款 2.4L E3汽油两驱舒适型国V长轴 4G69S4M,拓陆者 2018款 2.8T E3单排柴油四驱精英型国V 4J28TC4,拓陆者 2018款 2.8T E3单排柴油四驱舒适型国V 4J28TC4,拓陆者 2018款 2.4L E3单排汽油四驱舒适型国V 4G69S4M,拓陆者 2018款 2.4L E3单排汽油两驱精英型国V 4G69S4M,拓陆者 2018款 2.4L E3单排汽油两驱舒适型国V 4G69S4M,拓陆者 2018款 2.4L E3单排汽油四驱精英型国V 4G69S4M,拓陆者 2018款 2.0T S系列汽油自动四驱精锐版国V,拓陆者 2018款 2.0T S系列汽油自动四驱精英版国V,拓陆者 2018款 2.0T S系列汽油自动四驱舒适版国V,拓陆者 2018款 2.0T S系列汽油自动两驱精锐版国V,拓陆者 2018款 2.0T S系列汽油自动两驱精英版国V,拓陆者 2018款 2.0T S系列汽油自动两驱舒适版国V,拓陆者 2019款 2.0T E7 手动两驱静享版高配标箱4F20TC2,拓陆者 2019款 2.0T E7 手动两驱静享版高配长箱4F20TC2,拓陆者 2019款 2.0T E7 手动两驱静享版中配标箱4F20TC2,拓陆者 2019款 2.0T E7 手动两驱静享版中配长箱4F20TC2,拓陆者 2019款 2.0T E7 手动四驱静享版中配标箱4F20TC2,拓陆者 2019款 2.0T E7 手动四驱静享版中配长箱4F20TC2,拓陆者 2019款 2.0T E7 手动四驱静享版高配标箱4F20TC2,拓陆者 2019款 2.0T E7 手动四驱静享版高配长箱4F20TC2,拓陆者 2019款 2.0T E7 自动四驱城市版中配4G20TI3,拓陆者 2019款 2.0T E7 自动四驱城市版高配4G20TI3,拓陆者 2019款 2.0T E7 自动两驱城市版高配4G20TI3,拓陆者 2019款 2.0T E7 自动两驱城市版中配4G20TI3,拓陆者 2019款 2.0T E7 自动两驱城市版低配4G20TI3,拓陆者 2019款 2.0T E7 手动四驱城市版中配4G20TI4,拓陆者 2019款 2.0T E7 手动四驱城市版高配4G20TI4,拓陆者 2019款 2.0T E7 手动两驱城市版高配4G20TI4,拓陆者 2019款 2.0T E7 手动两驱城市版中配4G20TI4,拓陆者 2019款 2.8T E7 自动四驱越野版高配,拓陆者 2019款 2.8T E7 自动四驱越野版中配,拓陆者 2019款 2.8T E7 自动两驱越野版中配,拓陆者 2019款 2.8T E7 自动两驱越野版高配,拓陆者 2019款 2.8T E7 手动四驱越野版高配,拓陆者 2019款 2.8T E7 手动四驱越野版中配,拓陆者 2019款 2.8T E7 手动两驱越野版高配,拓陆者 2019款 2.8T E7 手动两驱越野版中配,拓陆者 2019款 2.4L E3 70周年四驱舒适版高货台短轴4G69S4M,拓陆者 2019款 2.4L E3 70周年四驱舒适版高货台长轴4G69S4M,拓陆者 2019款 2.4L E3 70周年两驱舒适版高货台短轴4G69S4M,拓陆者 2019款 2.4L E3 70周年两驱舒适版高货台长轴4G69S4M,拓陆者 2019款 2.4L E3 70周年四驱精英版高货台短轴4G69S4M,拓陆者 2019款 2.4L E3 70周年四驱精英版高货台长轴4G69S4M,拓陆者 2019款 2.4L E3 70周年两驱精英版高货台短轴4G69S4M,拓陆者 2019款 2.4L E3 70周年两驱精英版高货台长轴4G69S4M,拓陆者 2019款 2.8T E3 70周年四驱舒适版高货台短轴4J28TC4,拓陆者 2019款 2.8T E3 70周年四驱舒适版高货台长轴4J28TC4,拓陆者 2019款 2.8T E3 70周年两驱舒适版高货台短轴4J28TC4,拓陆者 2019款 2.8T E3 70周年两驱舒适版高货台长轴4J28TC4,拓陆者 2019款 2.8T E3 70周年四驱精英版高货台短轴4J28TC4,拓陆者 2019款 2.8T E3 70周年四驱精英版高货台长轴4J28TC4,拓陆者 2019款 2.8T E3 70周年两驱精英版高货台短轴4J28TC4,拓陆者 2019款 2.8T E3 70周年两驱精英版高货台长轴4J28TC4,拓陆者 2019款 2.8T E3 70周年两驱精英版低货台短轴4J28TC4,拓陆者 2019款 2.8T E3 70周年两驱精英版低货台长轴4J28TC4,拓陆者 2019款 2.8T E3 70周年两驱舒适版低货台短轴4J28TC4,拓陆者 2019款 2.8T E3 70周年两驱舒适版低货台长轴4J28TC4,拓陆者 2019款 2.4L E3 70周年两驱精英版低货台短轴4G69S4M,拓陆者 2019款 2.4L E3 70周年两驱精英版低货台长轴4G69S4M,拓陆者 2019款 2.4L E3 70周年两驱舒适版低货台短轴4G69S4M,拓陆者 2019款 2.4L E3 70周年两驱舒适版低货台长轴4G69S4M
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,2315x1580x440,2315x1580x440,2315x1580x440,2315x1580x440,2315x1580x440,2315x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1805x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520x1580x440,1520×1580×440,1520×1580×440,1520×1580×440,1520×1580×440,1520×1580×440,1520×1580×440,1520×1580×440,1520x1580x440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,●,-,●,●,●,●,●,-,●,-,-,●,●,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,-,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,●,-,-,●,●,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,●,-,●,-,●,-,●,-,●,-,-,●,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,手动●,自动●,手动●,自动●,自动●,自动●,自动●,自动●,手动●,手动●,自动●,手动●,手动●,自动●,手动●,手动●,自动●,自动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,-,-,●,-,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
