Feature,1017563,1017564,1018458,1018459,1018460,1018461,1018462,1018463,1018464,1018465,1018949,1018950,1018951,1018952,1018953,1018954,1018955,1019037,1019038,1019039,1019040,1019041,1019042,1019043,1019538,1020572,1020573,1020574,1020575,1020576,1020577,1020578,1020579,1020580,1020581,1020582,1020583,1020584,1020585,1020586,1020587,1020588,1020589,1020590,1020591,1020592,1020593,1020594,1020595,1020596,1020597,1020598,1020599,1020600,1020601,1020602,1020603
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道路交通标识识别,-,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,,-,-,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3600,3100,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3100,3600,3600,3600,3600,3600,3600,3100,3600,3600,3600,3100,3100,3100,3100,3600,3600,3600,3600,3600,3600,3100,3600,3600,3600,3100,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3850,3850
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道居中保持,-,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,-,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,客车,货车,货车,货车,货车,货车,客车,客车,客车,货车,货车,货车,客车,客车,客车,客车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,客车,货车,货车,货车,货车,货车,客车,客车,客车,货车,货车,货车,客车,客车,客车,客车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,2024款 创富版中轴低顶51kWh,2024款 智富版短轴中顶66kWh,远程超级VAN 2024款 创富版中轴中顶51kWh,远程超级VAN 2024款 创富版中轴高顶51kWh,远程超级VAN 2024款 创富版中轴低顶66kWh,远程超级VAN 2024款 创富版中轴中顶66kWh,远程超级VAN 2024款 创富版中轴高顶66kWh,远程超级VAN 2024款 智富版中轴低顶66kWh,远程超级VAN 2024款 智富版中轴中顶66kWh,远程超级VAN 2024款 智富版中轴高顶66kWh,远程超级VAN 2024款 创富版中轴低顶83kWh,远程超级VAN 2024款 创富版中轴中顶83kWh,远程超级VAN 2024款 创富版中轴高顶83kWh,远程超级VAN 2024款 智富版短轴中顶83kWh,远程超级VAN 2024款 智富版中轴低顶83kWh,远程超级VAN 2024款 智富版中轴中顶83kWh,远程超级VAN 2024款 智富版中轴高顶83kWh,远程超级VAN 2024款 创富版中轴低顶68kWh,远程超级VAN 2024款 创富版中轴中顶68kWh,远程超级VAN 2024款 创富版中轴高顶68kWh,远程超级VAN 2024款 智富版短轴中顶68kWh,远程超级VAN 2024款 智富版中轴低顶68kWh,远程超级VAN 2024款 智富版中轴中顶68kWh,远程超级VAN 2024款 智富版中轴高顶68kWh,远程超级VAN 2024款 智富版行动派短轴中顶51kWh,远程超级VAN 2025款 智富版行动派51kWh,远程超级VAN 2025款 智富版短轴中顶68kWh智芯,远程超级VAN 2025款 智富版短轴中顶68kWh宁德时代,远程超级VAN 2025款 智富版中轴低顶68kWh智芯,远程超级VAN 2025款 智富版中轴低顶68kWh宁德时代,远程超级VAN 2025款 智富版中轴中顶68kWh智芯,远程超级VAN 2025款 智富版中轴中顶68kWh宁德时代,远程超级VAN 2025款 智富版中轴高顶68kWh智芯,远程超级VAN 2025款 智富版中轴高顶68kWh宁德时代,远程超级VAN 2025款 智富版短轴中顶83kWh,远程超级VAN 2025款 智富版中轴低顶83kWh,远程超级VAN 2025款 智富版中轴中顶83kWh,远程超级VAN 2025款 智富版中轴高顶83kWh,远程超级VAN 2025款 悦程版短轴低顶83kWh,远程超级VAN 2025款 悦程版中轴中顶83kWh,远程超级VAN 2025款 悦程版中轴高顶83kWh,远程超级VAN 2025款 悦程版中轴中顶106kWh,远程超级VAN 2025款 悦程版中轴高顶106kWh,远程超级VAN 2025款 创富版中轴低顶51kWh,远程超级VAN 2025款 创富版中轴中顶51kWh,远程超级VAN 2025款 创富版中轴高顶51kWh,远程超级VAN 2025款 创富版中轴低顶智芯68kWh,远程超级VAN 2025款 创富版中轴低顶宁德68kWh,远程超级VAN 2025款 创富版中轴中顶智芯68kWh,远程超级VAN 2025款 创富版中轴中顶宁德68kWh,远程超级VAN 2025款 创富版中轴高顶智芯68kWh,远程超级VAN 2025款 创富版中轴高顶宁德68kWh,远程超级VAN 2025款 创富版中轴低顶83kWh,远程超级VAN 2025款 创富版中轴中顶83kWh,远程超级VAN 2025款 创富版中轴高顶83kWh,远程超级VAN 2025款 创富版长轴高顶83kWh,远程超级VAN 2025款 创富版长轴高顶106kWh
车前雾灯,-,,-,-,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3190x1795x1440,-,3190x1795x1640,3190x1795x1960,3190x1795x1440,3190x1795x1640,3190x1795x1960,-,-,-,-,-,-,-,-,-,-,3190x1795x1440,3190x1795x1640,3190x1795x1960,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3190x1795x1440,3190x1795x1640,3190x1795x1960,3190x1795x1440,3190x1795x1440,3190x1795x1640,3190x1795x1640,3190x1795x1960,3190x1795x1960,3190x1795x1440,3190x1795x1640,3190x1795x1960,3695x1795x1960,3695x1795x1960
语音识别控制系统,-,,-,-,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●
自动头灯,-,●,-,-,-,-,-,●,●,●,-,-,-,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电芯品牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),51,66,51,51,66,66,66,66,66,66,83,83,83,83,83,83,83,68,68,68,68,68,68,68,51,51,68,68,68,68,68,68,68,68,83,83,83,83,83,83,83,106,106,51,51,51,68,68,68,68,68,68,83,83,83,83,106
电池类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电池慢充电量范围(%)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池慢充电量范围(%)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,15-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池慢充时间(小时)_y,-,10,-,-,10,10,10,10,10,10,7.6,7.6,7.6,7.6,7.6,7.6,7.6,8.5,8.5,8.5,8.5,8.5,8.5,8.5,-,7.2,10,8.5,10,8.5,10,8.5,10,8.5,7.6,7.6,7.6,7.6,7.5,7.6,7.6,9.5,9.5,-,-,-,10,8.5,10,8.5,10,8.5,7.6,7.6,7.6,7.6,9.5
电池慢充时间(小时)_x,-,10,-,-,10,10,10,10,10,10,7.6,7.6,7.6,7.6,7.6,7.6,7.6,8.5,8.5,8.5,8.5,8.5,8.5,8.5,-,7.2,10,8.5,10,8.5,10,8.5,10,8.5,7.6,7.6,7.6,7.6,7.5,7.6,7.6,9.5,9.5,-,-,-,10,8.5,10,8.5,10,8.5,7.6,7.6,7.6,7.6,9.5
电池快充电量范围(%)_y,-,-,-,-,-,-,-,-,-,-,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-,-,-,-,-,-,-,-,-,20-80,20-80,20-80,20-80,20-80
电池快充电量范围(%)_x,-,-,-,-,-,-,-,-,-,-,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-,-,-,-,-,-,-,-,-,20-80,20-80,20-80,20-80,20-80
电池快充时间(小时)_y,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.52,0.5,0.52,0.5,0.52,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.53,0.5,0.5,0.65,0.65,0.6,0.6,0.6,0.52,0.5,0.52,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.65
电池快充时间(小时)_x,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.52,0.5,0.52,0.5,0.52,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.53,0.5,0.5,0.65,0.65,0.6,0.6,0.6,0.52,0.5,0.52,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.65
电池冷却方式,风冷,液冷,风冷,风冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,风冷,风冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,风冷,风冷,风冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),163,272,163,163,272,272,272,272,272,272,231,231,231,231,231,231,231,231,231,231,231,231,231,231,163,163,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,163,163,163,231,231,231,231,231,231,231,231,231,231,231
电动机总扭矩(N·m),240,343,240,240,343,343,343,343,343,343,336,336,336,336,336,336,336,336,336,336,336,336,336,336,240,240,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,240,240,240,336,336,336,336,336,336,336,336,336,336,336
电动机总功率(kW),120,200,120,120,200,200,200,200,200,200,170,170,170,170,170,170,170,170,170,170,170,170,170,170,120,120,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,120,120,120,170,170,170,170,170,170,170,170,170,170,170
电动机(Ps),163,272,163,163,272,272,272,272,272,272,231,231,231,231,231,231,231,231,231,231,231,231,231,231,163,163,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,163,163,163,231,231,231,231,231,231,231,231,231,231,231
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●
满载最小离地间隙(mm),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,135,135,135,135,135,150,150,150,150,150,150,150,150,150,150,150,150,150,150
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最高车速(km/h),100,135,100,100,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,100,100,135,135,135,135,135,135,135,135,135,135,135,135,140,135,135,135,135,100,100,100,135,135,135,135,135,135,135,135,135,135,135
最小转弯半径(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),3510,3495,3510,3510,3850,3850,3850,3495,3495,3495,3850,3850,3850,3495,3495,3495,3495,3850,3850,3850,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,2870,3495,3495,3495,3495,3510,3510,3510,3850,3850,3850,3850,3850,3850,3850,3850,3850,4050,4050
最大扭矩(N·m),240,343,240,240,343,343,343,343,343,343,336,336,336,336,336,336,336,336,336,336,336,336,336,336,240,240,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,240,240,240,336,336,336,336,336,336,336,336,336,336,336
