Feature,1010426,1010427,1010428,1010429,1010430,1010431,1010433,1010434,1010435,1010436,1010437,1010438,1010439,1010440,1010441,1010442,1010452,1010453,1010454,1010455,1010456,1010457,1010458,1010459,1010460,1010461,1010462,1010463,1010464,1010465,1010466,1010467,1010485,1010486,1010487,1010488,1010489,1010490,1010491,1010492,1010497,1010498,1010499,1010500,1010501,1010502,1011922,1011923,1011924,1011925,1011926,1011927,1011928,1011929,1011930,1011931,1011932,1011933,1011934,1011935,1011936,1011937,1011938,1011939,1011940,1012558,1012559,1012560,1012561,1014198,1014199,1014200,1014201,1014202,1014203,1014204,1014205,1014206,1014207,1014208,1014209,1014210,1014211,1014212,1014213,1014214,1014215
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3300,3300,3000,3000,3000,3000,3950,3950,3950,3950,3300,3300,3300,3300,3300,3000,3950,3950,3950,3950,3950,3950,3300,3300,3300,3300,3300,3300,3000,3000,3000,3000,3950,3950,3300,4350,3950,3950,3300,4350,3000,3300,3300,3000,3300,3300,3000,3000,3000,3000,3300,3300,3300,3000,3000,3000,3000,3300,3000,3300,3300,3000,3000,3000,3000,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,2,4,2,2,2,4,2,2,2,2,4,2,2,4,5,4,5,4,5,4,5,5,5,5,5,4,4,5,4,5,4,5,4,5,5,5,5,5,4,5,4,5,2,4,2,2,2,4,4,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,○,○,●,●,○,○,●,●,●,●,●,○,○,○,●,●,○,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,○,○,○,●,●,○,○,○,●,●,●,●,●,●,○,●,●,○,○
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,依维柯欧胜 2021款 3.0T 自动超瑞长轴短悬高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动超瑞长轴短悬高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动超瑞短轴低顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动超瑞短轴低顶手动门F1C,依维柯欧胜 2021款 3.0T 自动超瑞短轴高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动超瑞短轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动商瑞加长轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动商瑞加长轴高顶电动门F1C,依维柯欧胜 2021款 3.0T 手动商瑞加长轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 手动商瑞加长轴高顶电动门F1C,依维柯欧胜 2021款 3.0T 自动商瑞长轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动商瑞长轴高顶电动门F1C,依维柯欧胜 2021款 3.0T 手动商瑞长轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 手动商瑞长轴高顶电动门F1C,依维柯欧胜 2021款 3.0T 自动商瑞长轴短悬高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动商瑞短轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动运瑞加长轴单排高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动运瑞加长轴单排高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动运瑞加长轴双排高顶手动门F1C,依维柯欧胜 2021款 3.0T 手动运瑞加长轴单排高顶手动门F1C,依维柯欧胜 2021款 3.0T 手动运瑞加长轴单排高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 手动运瑞加长轴双排高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动运瑞长轴高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动运瑞长轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 手动运瑞长轴高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 手动运瑞长轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动运瑞长轴短悬高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动运瑞长轴短悬高顶手动门F1C,依维柯欧胜 2021款 3.0T 自动运瑞短轴低顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动运瑞短轴低顶手动门F1C,依维柯欧胜 2021款 3.0T 自动运瑞短轴高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动运瑞短轴高顶手动门F1C,依维柯欧胜 2021款 3.0T 手动专业底盘6吨加长轴单排底盘F1C,依维柯欧胜 2021款 3.0T 手动专业底盘6吨加长轴双排底盘F1C,依维柯欧胜 2021款 3.0T 手动专业底盘7吨长轴单排底盘F1C,依维柯欧胜 2021款 3.0T 手动专业底盘7吨超长轴单排底盘F1C,依维柯欧胜 2021款 3.0T 自动专业底盘6吨加长轴单排底盘F1C,依维柯欧胜 2021款 3.0T 自动专业底盘6吨加长轴双排底盘F1C,依维柯欧胜 2021款 3.0T 自动专业底盘7吨长轴单排底盘F1C,依维柯欧胜 2021款 3.0T 自动专业底盘7吨超长轴单排底盘F1C,依维柯欧胜 2021款 3.0T 自动专业底盘4.5吨短轴单排底盘F1C,依维柯欧胜 2021款 3.0T 自动专业底盘4.5吨长轴单排底盘F1C,依维柯欧胜 2021款 3.0T 自动专业底盘4.5吨长轴双排底盘F1C,依维柯欧胜 2021款 3.0T 手动专业底盘4.5吨短轴单排底盘F1C,依维柯欧胜 2021款 3.0T 手动专业底盘4.5吨长轴单排底盘F1C,依维柯欧胜 2021款 3.0T 手动专业底盘4.5吨长轴双排底盘F1C,依维柯欧胜 2021款 2.0T 手动超瑞短轴低顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动超瑞短轴低顶手动门F1A,依维柯欧胜 2021款 2.0T 手动超瑞短轴高顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动超瑞短轴高顶手动门F1A,依维柯欧胜 2021款 2.0T 手动超瑞长轴短悬高顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动超瑞长轴短悬高顶手动门F1A,依维柯欧胜 2021款 2.0T 手动高级营运乘用车长轴短悬高顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动高级营运乘用车短轴低顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动高级营运乘用车短轴高顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动中级营运乘用车短轴低顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动中级营运乘用车短轴高顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动商瑞长轴短悬高顶手动门F1A,依维柯欧胜 2021款 2.0T 手动商瑞短轴高顶手动门F1A,依维柯欧胜 2021款 2.0T 手动运瑞长轴短悬高顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动运瑞长轴短悬高顶手动门F1A,依维柯欧胜 2021款 2.0T 手动运瑞短轴低顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动运瑞短轴低顶手动门F1A,依维柯欧胜 2021款 2.0T 手动运瑞短轴高顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动运瑞短轴高顶手动门F1A,依维柯欧胜 2021款 3.0T 手动超瑞长轴高顶侧拉门F1C（仅用于改装）,依维柯欧胜 2021款 3.0T 自动超瑞长轴高顶侧拉门F1C（仅用于改装）,依维柯欧胜 2021款 3.0T 自动商瑞长轴高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 手动商瑞长轴高顶侧拉门F1C,依维柯欧胜 2021款 2.0T 手动超瑞长轴短悬低顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动超瑞长轴短悬低顶手动门F1A,依维柯欧胜 2021款 3.0T 自动超瑞长轴短悬低顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动超瑞长轴短悬低顶手动门F1C,依维柯欧胜 2021款 2.0T 手动高级营运乘用车长轴短悬低顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动专业底盘4.2吨长轴单排底盘F1A,依维柯欧胜 2021款 2.0T 手动专业底盘4.2吨长轴双排底盘F1A,依维柯欧胜 2021款 3.0T 自动C型房车专业底盘长轴高顶F1C,依维柯欧胜 2021款 3.0T 自动C型房车专业底盘7吨长轴高顶F1C,依维柯欧胜 2021款 3.0T 手动C型房车专业底盘长轴高顶F1C,依维柯欧胜 2021款 3.0T 自动B型房车专业底盘长轴短悬高顶F1C,依维柯欧胜 2021款 3.0T 自动B型房车专业底盘长轴高顶F1C,依维柯欧胜 2021款 3.0T 自动M1专用平台车长轴高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 手动M1专用平台车长轴高顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动M1专用平台车长轴短悬低顶侧拉门F1C,依维柯欧胜 2021款 3.0T 自动M1专用平台车长轴短悬高顶侧拉门F1C,依维柯欧胜 2021款 2.0T 手动M1专用平台车长轴短悬低顶侧拉门F1A,依维柯欧胜 2021款 2.0T 手动M1专用平台车长轴短悬高顶侧拉门F1A
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,○,○,○,○,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
