Feature,59602
后排座椅电动放倒,●
后排座椅放倒形式,
后排小桌板,●
后排多媒体屏幕数量,
后排侧隐私玻璃,●
后排侧窗遮阳帘,
后悬架类型,
后座出风口,●
后备厢容积(L),500-1067
后制动器类型,
可见即可说,●
可变悬架功能,
变速箱类型,固定齿比变速箱
厂商指导价(元),52.98万
厂商,理想汽车
卫星导航系统,●
匝道自动驶出(入),●
助力类型,
副驾驶位后排可调节按钮,●
副驾屏幕类型,
副驾屏幕分辨率,
副驾屏幕像素密度,
副驾娱乐屏尺寸,
副座椅调节方式,
前轮距(mm),1703
前轮胎规格,
前电动机最大扭矩(N·m),232
前电动机最大功率(kW),155
前电动机型号,CYS210XY1P1
前电动机品牌,华为技术
前方碰撞预警,●
前方感知摄像头像素,
前方感知摄像头,
前排座椅功能,
前排中间气囊,●
前悬架类型,
前制动器类型,
前/后驻车雷达,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内置行车记录仪,●
内后视镜功能,
全液晶仪表盘,●
全国覆盖城市（个）,153+
充电站（座）,701+
充电桩（根）,3260+
充电桩价格（元）,5000
倒车车侧预警系统,●
信号灯识别,●
侧滑门形式,
低速行车警告,●
主座椅调节方式,
主动闭合式进气格栅,●
主动刹车/主动安全系统,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕类型,
中控屏幕尺寸,
中控屏幕分辨率,
中控屏幕像素密度,
上市时间,2024.03
上坡辅助,●
三电系统质保,
Wi-Fi热点,●
WLTC纯电续航里程(km)_y,575
WLTC纯电续航里程(km)_x,575
USB/Type-C最大充电功率,
USB/Type-C接口数量,
OTA升级,●
LED日间行车灯,●
ISOFIX儿童座椅接口,●
HUD抬头数字显示,●
DOW开门预警,●
CLTC纯电续航里程(km)_y,710
CLTC纯电续航里程(km)_x,710
ABS防抱死,●
4G/5G网络,
220V/230V电源,●
